adjective	frequency
good	241
own	181
such	177
other	169
many	139
same	133
true	115
great	115
present	108
more	90
certain	78
very	77
long	76
little	59
whole	58
past	56
much	56
holy	48
happy	47
eternal	46
human	45
better	45
spiritual	44
invisible	43
first	39
evil	37
deep	36
able	36
corporeal	35
full	34
false	33
vain	32
sweet	32
light	31
beautiful	30
less	29
faithful	29
wise	28
secret	26
miserable	26
visible	25
high	25
greater	25
strong	24
old	24
proud	23
like	23
wonderful	22
unchangeable	22
pure	22
mine	22
free	22
inward	21
former	21
right	20
alone	20
small	19
short	19
saith	19
poor	19
most	19
foul	19
innumerable	18
ignorant	18
equal	18
coeternal	18
subject	17
perfect	17
mighty	17
inner	17
future	17
different	17
dead	17
new	16
lower	16
last	16
earthly	16
clear	16
changeable	16
young	15
ill	15
delighted	15
carnal	15
bodily	15
weak	14
righteous	14
open	14
necessary	14
fair	14
doth	14
several	13
few	13
empty	13
due	13
ashamed	13
absent	13
worse	12
temporal	12
pleasing	12
least	12
incorruptible	12
excellent	12
double	12
bitter	12
wretched	11
sober	11
single	11
sick	11
pleased	11
only	11
mutable	11
mortal	11
merciful	11
humble	11
heavy	11
contrary	11
unknown	10
silent	10
sad	10
rich	10
mayest	10
inmost	10
higher	10
heavenly	10
fit	10
earnest	10
dry	10
capable	10
best	10
aught	10
angry	10
wondrous	9
wicked	9
unhappy	9
sudden	9
sacrilegious	9
real	9
ready	9
precious	9
liberal	9
inferior	9
highest	9
grievous	9
givest	9
gavest	9
formlessness	9
common	9
chief	9
worthy	8
vast	8
unable	8
third	8
strange	8
slight	8
second	8
mere	8
lowest	8
longer	8
lesser	8
lawful	8
large	8
intent	8
intellectual	8
hidden	8
hard	8
foolish	8
darksome	8
current	8
curious	8
catholic	8
blind	8
beloved	8
admirable	8
wouldest	7
void	7
various	7
varied	7
superior	7
sound	7
shorter	7
scarce	7
plain	7
natural	7
lest	7
known	7
infinite	7
inasmuch	7
immortal	7
fruitful	7
familiar	7
eminent	7
divine	7
devout	7
dear	7
daily	7
christian	7
brotherly	7
bad	7
amazed	7
willing	6
wholesome	6
whither	6
whatsoever	6
skilled	6
secular	6
safe	6
proper	6
outward	6
ordinary	6
manifold	6
living	6
huge	6
horrible	6
enough	6
dark	6
dangerous	6
celestial	6
about	6
worldly	5
wonted	5
unwonted	5
universal	5
uncertain	5
troubled	5
sufficient	5
solid	5
rational	5
public	5
private	5
pestilent	5
married	5
manifest	5
lowly	5
likely	5
latter	5
jealous	5
idle	5
guilty	5
further	5
fellow	5
feigned	5
extreme	5
eloquent	5
drunk	5
displeased	5
desirous	5
deeper	5
deadly	5
crooked	5
corruptible	5
copious	5
content	5
cometh	5
chaste	5
bright	5
betwixt	5
awake	5
ancient	5
absurd	5
younger	4
workest	4
wiser	4
utter	4
useful	4
ungodly	4
unformed	4
unclean	4
unbounded	4
troublesome	4
thankful	4
sure	4
soft	4
smooth	4
slow	4
sixteenth	4
shineth	4
sharp	4
shadowy	4
sensible	4
sayest	4
restless	4
residest	4
religious	4
pleasant	4
petty	4
pernicious	4
original	4
noble	4
next	4
native	4
mad	4
low	4
loth	4
lofty	4
larger	4
just	4
intelligible	4
impressed	4
hast	4
glorious	4
general	4
fresh	4
fragrant	4
female	4
everlasting	4
entire	4
easy	4
dumb	4
deaf	4
cruel	4
captive	4
barren	4
asleep	4
apparent	4
anxious	4
afraid	4
acute	4
acceptable	4
ye	3
wooden	3
wilt	3
willest	3
wild	3
usual	3
unworthy	3
unwilling	3
unshaken	3
unseen	3
unrighteous	3
unreal	3
unmeasurable	3
united	3
unconscious	3
transitory	3
tender	3
sung	3
suitable	3
stable	3
spacious	3
sorrowful	3
sobriety	3
slower	3
simple	3
seventh	3
satisfied	3
rugged	3
reasonable	3
rash	3
quick	3
profitable	3
preferable	3
powerful	3
poetic	3
pious	3
perpetual	3
perchance	3
pale	3
obedient	3
nineteenth	3
needy	3
nearer	3
narrow	3
mindful	3
minded	3
middle	3
meek	3
loud	3
joyous	3
impatient	3
immoderate	3
idleness	3
hopeful	3
honourable	3
honest	3
heldest	3
healthful	3
happier	3
gross	3
green	3
greek	3
grave	3
glad	3
gentle	3
frequent	3
fourth	3
formless	3
footed	3
fleeting	3
fitting	3
finite	3
fillest	3
fearful	3
faint	3
even	3
endureth	3
domestic	3
discern	3
difficult	3
deepest	3
contemptible	3
confess	3
cold	3
circensian	3
careful	3
broken	3
broad	3
boundless	3
bare	3
ascertained	3
ardent	3
aged	3
abundant	3
youthful	2
wroth	2
wrong	2
wide	2
well	2
weighty	2
weaker	2
vocal	2
vivid	2
violent	2
vile	2
victorious	2
venerable	2
upper	2
untainted	2
unsettled	2
unseemly	2
unsearchable	2
unlawful	2
unjust	2
uninjurable	2
unholy	2
unfeigned	2
uncorrupted	2
unbroken	2
twentieth	2
turbulent	2
tumultuous	2
treacherous	2
thither	2
thirtieth	2
thick	2
theatrical	2
terrible	2
terrestrial	2
temporary	2
superstitious	2
subtle	2
substantial	2
stormy	2
spoken	2
sovereign	2
soundeth	2
sorry	2
sole	2
smallest	2
smaller	2
slippery	2
sixth	2
singular	2
shod	2
shameless	2
shameful	2
serene	2
sentest	2
senseless	2
scornful	2
savage	2
rough	2
ridiculous	2
reproachful	2
repose	2
renowned	2
remittest	2
regular	2
recovered	2
rare	2
random	2
quiet	2
purest	2
prudent	2
probable	2
primitive	2
possible	2
plentiful	2
plenteous	2
pleasurable	2
persuasive	2
penal	2
painful	2
overwhelmed	2
offensive	2
numberless	2
naked	2
mystic	2
mysterious	2
mutual	2
mule	2
monstrous	2
minutest	2
minute	2
male	2
magical	2
lucid	2
lost	2
lewd	2
learned	2
lawless	2
kind	2
irrational	2
intricate	2
intolerable	2
intelligent	2
inseparable	2
innocent	2
indignant	2
incorporeal	2
incomprehensible	2
inchoate	2
impious	2
imperturbable	2
imperfect	2
imaginary	2
hurtful	2
hungry	2
hot	2
hideous	2
hereafter	2
hearted	2
hateful	2
greatest	2
gracious	2
goodly	2
golden	2
godly	2
frenzied	2
frantic	2
forgetful	2
fleshly	2
far	2
famous	2
extremest	2
extended	2
existeth	2
execrable	2
enlightening	2
enjoinest	2
elder	2
eighth	2
egyptian	2
early	2
doubtful	2
disgraceful	2
deceitful	2
crafty	2
contented	2
conscious	2
confused	2
conflicting	2
compassionate	2
compact	2
commendable	2
co	2
cleared	2
childish	2
chiefest	2
cheerful	2
cheap	2
changest	2
canst	2
busied	2
bulk	2
brighter	2
bold	2
blessed	2
belongeth	2
beholdeth	2
beggar	2
beauteous	2
beatific	2
aware	2
attuned	2
astonished	2
armed	2
arithmetic	2
apt	2
anon	2
amiss	2
alive	2
actual	2
accustomed	2
abominable	2
abject	2
-	2
zealous	1
woundest	1
worthless	1
wordy	1
womanish	1
wither	1
withal	1
winning	1
windy	1
willed	1
white	1
weary	1
wealthy	1
