adverb	frequency
not	1821
so	478
then	439
yet	337
now	279
also	259
even	192
more	190
only	169
up	144
most	135
therefore	130
thus	120
away	116
out	114
there	110
far	107
again	96
as	84
much	80
very	79
ever	78
forth	73
never	71
rather	70
still	68
together	65
down	58
well	57
too	56
long	54
all	54
already	51
truly	47
first	44
whatsoever	41
that	41
indeed	41
alone	40
back	39
therein	38
once	38
no	38
else	38
often	37
on	35
before	35
altogether	34
is	33
longer	32
in	32
thereof	30
sometimes	30
over	30
off	27
hence	26
wholly	25
here	25
soon	24
nt	24
verily	23
otherwise	23
less	23
almost	23
by	22
utterly	20
thereby	20
at	20
further	18
better	18
however	17
afterwards	17
just	16
above	16
unchangeably	15
aside	15
abroad	15
daily	14
clearly	14
perchance	13
inwardly	13
though	12
rightly	12
readily	12
namely	12
fast	12
certainly	12
willingly	11
always	11
after	11
whither	10
vehemently	10
strongly	10
ill	10
especially	10
severally	9
near	9
justly	9
greatly	9
falsely	9
deep	9
unto	8
suddenly	8
somewhat	8
properly	8
presently	8
plainly	8
easily	8
deeply	8
since	7
secretly	7
freely	7
entirely	7
chiefly	7
aloud	7
wonderfully	6
within	6
twice	6
thoroughly	6
simply	6
scarcely	6
saith	6
perhaps	6
oft	6
miserably	6
lastly	6
instead	6
instantly	6
enough	6
earnestly	6
below	6
astray	6
afar	6
abundantly	6
about	6
thither	5
surely	5
supremely	5
spiritually	5
right	5
past	5
outwardly	5
openly	5
neither	5
meanwhile	5
manifoldly	5
likewise	5
idly	5
firmly	5
eternally	5
either	5
diligently	5
corporeally	5
confidently	5
behind	5
abidest	5
wondrously	4
round	4
publicly	4
proudly	4
piously	4
patiently	4
mercifully	4
lo	4
little	4
lightly	4
incomparably	4
heretofore	4
hereafter	4
headlong	4
grievously	4
fully	4
formerly	4
excellently	4
exceedingly	4
equally	4
eagerly	4
continually	4
comely	4
boldly	4
bitterly	4
asunder	4
without	3
wickedly	3
unjustly	3
ungodly	3
through	3
speedily	3
soundly	3
slowly	3
slightly	3
singly	3
rashly	3
quickly	3
privily	3
pervertedly	3
notwithstanding	3
new	3
nevertheless	3
mostly	3
moreover	3
mightily	3
merely	3
manifestly	3
loose	3
lest	3
lawfully	3
late	3
knowingly	3
intently	3
immediately	3
healthfully	3
hard	3
gladly	3
gently	3
forward	3
elsewhere	3
darkly	3
confusedly	3
close	3
briefly	3
book	3
bodily	3
besides	3
apart	3
any	3
aloft	3
ago	3
zealously	2
wisely	2
wilfully	2
wide	2
whole	2
where	2
watchfully	2
variableness	2
vainly	2
upwards	2
upward	2
unlike	2
unhesitatingly	2
true	2
thereupon	2
sweetly	2
subsequently	2
straitly	2
