id	author	title	date	words	sentences	pages	flesch	cache	txt	summary
chapter-001		chapter-001		7099	341		83	./cache/chapter-001.txt	./txt/chapter-001.txt	for Thy mercies'' sake, tell me, O Lord my God, what Thou art unto me. Behold, Lord, my heart is before Thee; open Thou the ears thereof, and say unto my soul, I am thy salvation. Thou, then, O Lord my God, who gavest life to this my infancy, furnishing thus with senses (as we see) the frame Thou gavest, compacting its limbs, ornamenting its proportions, and, for its general good and safety, implanting in it all vital functions, Thou commandest me to praise Thee in these things, to confess unto Thee, and sing unto Thy name, Thou most Highest. For those first lessons were better certainly, because more certain; by them I obtained, and still retain, the power of reading what I find written, and myself writing what I will; whereas in the others, I was forced to learn the wanderings of one Aeneas, forgetful of my own, and to weep for dead Dido, because she killed herself for love; the while, with dry eyes, I endured my miserable self dying among these things, far from Thee, O God my life.
chapter-002		chapter-002		3797	176		79	./cache/chapter-002.txt	./txt/chapter-002.txt	I will now call to mind my past foulness, and the carnal corruptions of my soul; not because I love them, but that I may love Thee, O my God. For love of Thy love I do it; reviewing my most wicked ways in the very bitterness of my remembrance, that Thou mayest grow sweet unto me (Thou sweetness never failing, Thou blissful and assured sweetness); and gathering me again out of that my dissipation, wherein I was torn piecemeal, while turned from Thee, the One Good, I lost myself among a multiplicity of things. Upon occasion of all these, and the like, is sin committed, while through an immoderate inclination towards these goods of the lowest order, the better and higher are forsaken,--Thou, our Lord God, Thy truth, and Thy law.
chapter-003		chapter-003		5495	189		71	./cache/chapter-003.txt	./txt/chapter-003.txt	But those were not even any way like to Thee, as Thou hast now spoken to me; for those were corporeal fantasies, false bodies, than which these true bodies, celestial or terrestrial, which with our fleshly sight we behold, are far more certain: these things the beasts and birds discern as well as we, and they are more certain than when we fancy them. For other than this, that which really is I knew not; and was, as it were through sharpness of wit, persuaded to assent to foolish deceivers, when they asked me, "whence is evil?" "is God bounded by a bodily shape, and has hairs and nails?" "are they to be esteemed righteous who had many wives at once, and did kill men, and sacrifice living creatures?" At which I, in my ignorance, was much troubled, and departing from the truth, seemed to myself to be making towards it; because as yet I knew not that evil was nothing but a privation of good, until at last a thing ceases altogether to be; which how should I see, the sight of whose eyes reached only to bodies, and of my mind to a phantasm?
chapter-004		chapter-004		7003	282		78	./cache/chapter-004.txt	./txt/chapter-004.txt	For, it is a good thing to confess unto Thee, and to say, Have mercy upon me, heal my soul, for I have sinned against Thee; and not to abuse Thy mercy for a licence to sin, but to remember the Lord''s words, Behold, thou art made whole, sin no more, lest a worse thing come unto thee. May I learn from Thee, who art Truth, and approach the ear of my heart unto Thy mouth, that Thou mayest tell me why weeping is sweet to the miserable? But far better than these is He who made all; and He is our God, nor doth He pass away, for neither doth aught succeed Him. If bodies please thee, praise God on occasion of them, and turn back thy love upon their Maker; lest in these things which please thee, thou displease.
chapter-005		chapter-005		6723	205		67	./cache/chapter-005.txt	./txt/chapter-005.txt	They discourse many things truly concerning the creature; but Truth, Artificer of the creature, they seek not piously, and therefore find Him not; or if they find Him, knowing Him to be God, they glorify Him not as God, neither are thankful, but become vain in their imaginations, and profess themselves to be wise, attributing to themselves what is Thine; and thereby with most perverse blindness, study to impute to Thee what is their own, forging lies of Thee who art the Truth, and changing the glory of uncorruptible God into an image made like corruptible man, and to birds, and four-footed beasts, and creeping things, changing Thy truth into a lie, and worshipping and serving the creature more than the Creator. For Thy hands, O my God, in the secret purpose of Thy providence, did not forsake my soul; and out of my mother''s heart''s blood, through her tears night and day poured out, was a sacrifice offered for me unto Thee; and Thou didst deal with me by wondrous ways.
chapter-006		chapter-006		7880	250		68	./cache/chapter-006.txt	./txt/chapter-006.txt	Then Thou, O Lord, little by little with most tender and most merciful hand, touching and composing my heart, didst persuade me--considering what innumerable things I believed, which I saw not, nor was present while they were done, as so many things in secular history, so many reports of places and of cities, which I had not seen; so many of friends, so many of physicians, so many continually of other men, which unless we should believe, we should do nothing at all in this life; lastly, with how unshaken an assurance I believed of what parents I was born, which I could not know, had I not believed upon hearsay--considering all this, Thou didst persuade me, that not they who believed Thy Books (which Thou hast established in so great authority among almost all nations), but they who believed them not, were to be blamed; and that they were not to be heard, who should say to me, "How knowest thou those Scriptures to have been imparted unto mankind by the Spirit of the one true and most true God?" For this very thing was of all most to be believed, since no contentiousness of blasphemous questionings, of all that multitude which I had read in the self-contradicting philosophers, could wring this belief from me, "That Thou art" whatsoever Thou wert (what I knew not), and "That the government of human things belongs to Thee."
chapter-007		chapter-007		8447	274		71	./cache/chapter-007.txt	./txt/chapter-007.txt	And I, a man, and such a man, sought to conceive of Thee the sovereign, only, true God; and I did in my inmost soul believe that Thou wert incorruptible, and uninjurable, and unchangeable; because though not knowing whence or how, yet I saw plainly, and was sure, that that which may be corrupted must be inferior to that which cannot; what could not be injured I preferred unhesitatingly to what could receive injury; the unchangeable to things subject to change.
chapter-008		chapter-008		8152	327		77	./cache/chapter-008.txt	./txt/chapter-008.txt	But after that by reading and earnest thought he had gathered firmness, and feared to be denied by Christ before the holy angels, should he now be afraid to confess Him before men, and appeared to himself guilty of a heavy offence, in being ashamed of the Sacraments of the humility of Thy Word, and not being ashamed of the sacrilegious rites of those proud daemons, whose pride he had imitated and their rites adopted, he became bold-faced against vanity, and shame-faced towards the truth, and suddenly and unexpectedly said to Simplicianus (as himself told me), "Go we to the Church; I wish to be made a Christian." But he, not containing himself for joy, went with him.
chapter-009		chapter-009		8868	304		72	./cache/chapter-009.txt	./txt/chapter-009.txt	Thanks unto Thee, our God, we are Thine: Thy suggestions and consolations tell us, Faithful in promises, Thou now requitest Verecundus for his country-house of Cassiacum, where from the fever of the world we reposed in Thee, with the eternal freshness of Thy Paradise: for that Thou hast forgiven him his sins upon earth, in that rich mountain, that mountain which yieldeth milk, Thine own mountain. Whom, not long after our conversion and regeneration by Thy Baptism, being also a faithful member of the Church Catholic, and serving Thee in perfect chastity and continence amongst his people in Africa, his whole house having through him first been made Christian, didst Thou release from the flesh; and now he lives in Abraham''s bosom. I trembled for fear, and again kindled with hope, and with rejoicing in Thy mercy, O Father; and all issued forth both by mine eyes and voice, when Thy good Spirit turning unto us, said, O ye sons of men, how long slow of heart?
chapter-010		chapter-010		16376	707		80	./cache/chapter-010.txt	./txt/chapter-010.txt	For, what is literature, what the art of disputing, how many kinds of questions there be, whatsoever of these I know, in such manner exists in my memory, as that I have not taken in the image, and left out the thing, or that it should have sounded and passed away like a voice fixed on the ear by that impress, whereby it might be recalled, as if it sounded, when it no longer sounded; or as a smell while it passes and evaporates into air affects the sense of smell, whence it conveys into the memory an image of itself, which remembering, we renew, or as meat, which verily in the belly hath now no taste, and yet in the memory still in a manner tasteth; or as any thing which the body by touch perceiveth, and which when removed from us, the memory still conceives.
