entity	type	frequency
thee	PERSON	848
thou	PERSON	665
thy	PERSON	162
earth	LOC	151
thou hast	PERSON	30
truth	LOC	26
alypius	PERSON	24
thy word	PERSON	23
thine	GPE	23
thou wert	PERSON	21
rome	GPE	20
yea	PERSON	19
thy spirit	PERSON	18
thou madest	PERSON	18
ye	PERSON	17
thou knowest	PERSON	15
god	PERSON	14
creator	PERSON	14
christ	ORG	14
spirit	ORG	13
nebridius	ORG	13
thy church	ORG	11
wisdom	ORG	8
thou hadst	PERSON	8
milan	GPE	8
earth	LOC	8
church	ORG	8
the holy ghost	ORG	7
moon	PERSON	7
trinity	ORG	7
thy son	PERSON	7
thy christ	ORG	7
thou seest	PERSON	7
jesus christ	PERSON	7
faustus	ORG	7
adam	PERSON	7
yea	ORG	6
victorinus	GPE	6
thy name	PERSON	6
simplicianus	ORG	6
lord	GPE	6
jerusalem	GPE	6
the creator	PERSON	5
thy wisdom	GPE	5
thy truth	GPE	5
thy scripture	PERSON	5
thy book	PERSON	5
son	PERSON	5
manichaeus	PERSON	5
light	PERSON	5
holy ghost	PERSON	5
gospel	ORG	5
east	LOC	4
whom thou	PERSON	4
verecundus	PERSON	4
thy scriptures	PERSON	4
thou mayest	PERSON	4
substance	ORG	4
sacraments	ORG	4
prophets	ORG	4
manichees	ORG	4
jesus	PERSON	4
jacob	PERSON	4
gentiles	PERSON	4
david	PERSON	4
bridegroom	ORG	4
apostle	ORG	4
angel	ORG	4
ambrose	PERSON	4
wherein thou	PERSON	3
wert thou	PERSON	3
loveth	PERSON	3
fed	ORG	3
whom	PERSON	3
thy sacrament	PERSON	3
thy grace	PERSON	3
thy gift	PERSON	3
thy catholic church	ORG	3
thy apostle	PERSON	3
ruler	PERSON	3
psalm	LOC	3
perchance	ORG	3
ostia	PERSON	3
manichee	PERSON	3
lo	PERSON	3
helper	ORG	3
firminus	PERSON	3
eve	PERSON	3
esau	ORG	3
egypt	GPE	3
dido	PERSON	3
comforter	PERSON	3
catechumen	GPE	3
behold	PERSON	3
antony	GPE	3
africa	LOC	3
the man christ jesus	ORG	2
the church catholic	ORG	2
loveth thee	PERSON	2
lo	PERSON	2
knoweth thee	PERSON	2
judgeth	PERSON	2
denieth	PERSON	2
ye	PERSON	2
willeth	PERSON	2
virgin	PERSON	2
victor	PERSON	2
victim	ORG	2
time	ORG	2
thyself	GPE	2
thy unity	ORG	2
thy substance	ORG	2
thy sacraments	PERSON	2
thy hymns	PERSON	2
thy creation	PERSON	2
thy books	ORG	2
thy baptism	PERSON	2
thy altar	PERSON	2
thou shouldest	PERSON	2
thou gavest	PERSON	2
thou art	PERSON	2
thagaste	GPE	2
sun	PERSON	2
strength	ORG	2
scripture	ORG	2
saviour	GPE	2
run ye	PERSON	2
psalter	PERSON	2
priest	LOC	2
physician	PERSON	2
paul	PERSON	2
patricius	PERSON	2
moses	PERSON	2
medea	PERSON	2
macedonia	GPE	2
law	PERSON	2
latins	PERSON	2
juno	PERSON	2
israel	GPE	2
isaac	PERSON	2
hortensius	ORG	2
holy, holy, holy	ORG	2
his word	PERSON	2
himself	GPE	2
guardian	ORG	2
good	PERSON	2
faith	PERSON	2
euodius	ORG	2
epicurus	PERSON	2
devil	PERSON	2
confessions	GPE	2
circus	LOC	2
cicero	ORG	2
beginning	LOC	2
babylon	ORG	2
apostle paul	PERSON	2
afric	ORG	2
abraham	PERSON	2
yea thou	PERSON	1
ye transgressors	ORG	1
ye stolen	PERSON	1
ye sons	ORG	1
ye shall	ORG	1
ye holy fires	LOC	1
whereon feedest thou	PERSON	1
whereof	ORG	1
wherein ye	PERSON	1
wherein	PERSON	1
whereby thou	PERSON	1
whereat rejoicest thou	ORG	1
wert infinite	PERSON	1
ways express	ORG	1
wantonness	PERSON	1
us	GPE	1
true,--what	ORG	1
thou wert	PERSON	1
thou incomprehensible inveigler	PERSON	1
thou	PERSON	1
thee withal	PERSON	1
the ministry of the outer	ORG	1
the ministry of mortal men	ORG	1
the heavens, sun	ORG	1
the fruitful earth	LOC	1
the virgin mary	PERSON	1
the unity of the trinity	ORG	1
the trinity of the unity	ORG	1
the roman forum	LOC	1
the psalmody of thy church	ORG	1
the man of thy	PERSON	1
the incarnation of thy son	ORG	1
the holy spirit	PERSON	1
the grammar school	ORG	1
the eternal truth	ORG	1
the emperor valentinian	ORG	1
the eastern churches	ORG	1
the divine books	ORG	1
the church of milan	ORG	1
the church of christ	ORG	1
the catholic church	ORG	1
the bridal city	GPE	1
the ambrosian basilica	LOC	1
supreme authority	ORG	1
sun	PERSON	1
standeth	LOC	1
