noun	verb	frequency
it	is	202
i	was	172
i	had	144
it	was	127
they	are	86
it	were	80
i	am	75
i	know	74
they	were	69
i	have	68
he	was	63
he	had	53
it	be	52
he	is	48
i	remember	38
we	were	36
i	did	34
we	are	34
i	say	32
i	knew	29
it	had	29
i	speak	27
i	do	26
i	loved	26
they	be	26
she	had	25
god	made	24
she	was	23
we	have	23
i	saw	22
i	heard	21
i	see	21
they	had	21
i	love	20
they	have	20
things	are	20
hast	made	19
he	made	18
i	said	18
i	thought	18
we	say	18
we	see	17
i	find	16
i	sought	16
i	found	15
god	is	14
hast	given	14
we	do	14
i	read	13
he	did	12
he	said	12
i	call	12
itself	is	12
thing	is	12
i	believe	11
i	believed	11
i	learnt	11
we	had	11
i	learned	10
they	do	10
things	be	10
thou	make	10
time	is	10
earth	was	9
they	hear	9
they	say	9
he	thought	8
he	were	8
i	hear	8
i	seek	8
life	is	8
thee	is	8
they	pass	8
things	were	8
we	find	8
we	remember	8
hast	created	7
he	be	7
he	came	7
i	be	7
i	came	7
i	lived	7
i	made	7
man	is	7
she	knew	7
they	love	7
truth	is	7
we	go	7
we	know	7
body	is	6
earth	were	6
god	created	6
god	make	6
i	were	6
they	call	6
they	knew	6
they	see	6
time	was	6
we	be	6
we	hear	6
we	speak	6
day	is	5
he	knew	5
heart	was	5
i	became	5
i	been	5
i	called	5
i	gave	5
i	live	5
i	went	5
soul	be	5
soul	is	5
soul	was	5
themselves	are	5
they	did	5
they	know	5
things	had	5
thou	made	5
thy	love	5
us	love	5
we	understand	5
he	have	4
he	know	4
he	saw	4
he	sees	4
himself	is	4
i	go	4
i	pass	4
i	understood	4
it	came	4
it	have	4
it	speaks	4
itself	was	4
joy	is	4
mind	is	4
she	loved	4
she	saw	4
them	say	4
they	heard	4
they	read	4
things	did	4
things	have	4
things	is	4
thou	give	4
thou	speak	4
way	be	4
we	believe	4
we	call	4
we	did	4
we	knew	4
we	love	4
words	are	4
words	be	4
day	come	3
earth	brings	3
earth	is	3
god	had	3
he	became	3
he	love	3
he	read	3
he	went	3
heart	is	3
himself	was	3
i	passed	3
i	remembered	3
i	think	3
i	understand	3
it	being	3
it	come	3
it	comes	3
it	did	3
it	passes	3
light	was	3
man	are	3
man	be	3
men	were	3
nothing	is	3
she	found	3
she	is	3
thee	do	3
them	be	3
them	is	3
they	believe	3
they	went	3
thing	be	3
things	was	3
thou	be	3
thou	being	3
thou	have	3
thou	sayest	3
us	make	3
we	live	3
we	read	3
we	seek	3
we	thought	3
world	was	3
you	say	3
earth	are	2
earth	be	2
god	said	2
god	was	2
hast	had	2
hast	said	2
he	being	2
he	borne	2
he	finds	2
he	found	2
he	having	2
he	loved	2
he	make	2
he	reads	2
he	speak	2
he	spoke	2
hearts	be	2
him	be	2
him	let	2
him	was	2
himself	had	2
i	bear	2
i	being	2
i	bring	2
i	come	2
i	give	2
i	learn	2
i	speaking	2
i	took	2
it	became	2
it	done	2
it	found	2
it	lived	2
it	made	2
it	said	2
it	took	2
it	went	2
its	being	2
life	are	2
life	was	2
light	is	2
man	being	2
man	had	2
man	sees	2
man	was	2
me	know	2
me	see	2
me	understand	2
me	was	2
me	were	2
memory	is	2
men	go	2
men	had	2
mind	was	2
my	being	2
my	love	2
myself	did	2
myself	had	2
nothing	were	2
place	is	2
she	be	2
she	said	2
soul	were	2
thee	was	2
their	love	2
them	did	2
themselves	be	2
themselves	were	2
they	called	2
they	come	2
they	find	2
they	found	2
they	give	2
they	go	2
they	lived	2
they	loved	2
they	made	2
they	make	2
they	said	2
they	saw	2
they	seek	2
they	thought	2
thing	made	2
thing	was	2
things	being	2
things	made	2
things	seen	2
thou	given	2
thou	loved	2
thou	see	2
time	be	2
time	went	2
times	are	2
times	be	2
truth	be	2
us	is	2
us	say	2
way	was	2
we	bear	2
we	found	2
we	give	2
we	learn	2
we	made	2
we	remembered	2
we	said	2
we	went	2
word	pass	2
world	are	2
you	have	2
''s	do	1
''s	go	1
art	found	1
art	love	1
art	made	1
arts	be	1
arts	were	1
bodies	live	1
body	be	1
body	were	1
day	give	1
day	gives	1
day	have	1
day	see	1
day	was	1
days	are	1
earth	bringing	1
earth	passing	1
earth	speak	1
eye	be	1
eyes	are	1
eyes	being	1
eyes	have	1
eyes	know	1
eyes	love	1
eyes	say	1
eyes	sought	1
eyes	was	1
form	is	1
formed	are	1
god	are	1
god	be	1
god	come	1
god	create	1
god	did	1
god	doing	1
god	gave	1
god	give	1
god	has	1
god	have	1
god	saying	1
hast	been	1
hast	born	1
hast	called	1
hast	done	1
hast	heard	1
he	been	1
he	believed	1
he	bore	1
he	call	1
he	called	1
he	created	1
he	do	1
he	gave	1
he	given	1
he	gives	1
he	go	1
he	goes	1
he	has	1
he	heard	1
he	let	1
he	lives	1
he	makes	1
he	pass	1
he	says	1
he	sought	1
he	speaks	1
he	taken	1
he	took	1
he	understands	1
heart	are	1
heart	be	1
heart	becomes	1
heart	been	1
heart	had	1
heart	have	1
hearts	had	1
heaven	have	1
heaven	is	1
her	love	1
her	was	1
him	are	1
him	born	1
him	call	1
him	did	1
him	do	1
him	is	1
him	love	1
him	make	1
him	see	1
him	take	1
him	thought	1
him	understand	1
himself	do	1
himself	loved	1
himself	made	1
himself	says	1
himself	went	1
his	going	1
his	having	1
his	is	1
his	love	1
his	passing	1
his	understanding	1
his	was	1
i	become	1
i	bore	1
i	borne	1
i	brought	1
i	done	1
i	known	1
i	take	1
it	are	1
it	bears	1
it	been	1
it	finds	1
it	given	1
it	goes	1
it	has	1
it	heard	1
it	knew	1
it	loves	1
it	makes	1
it	pass	1
it	passed	1
it	remembered	1
it	remembers	1
it	seek	1
it	sees	1
it	sought	1
it	spoken	1
it	understood	1
itself	be	1
itself	been	1
itself	being	1
itself	do	1
itself	had	1
itself	were	1
joy	do	1
joy	remember	1
joy	were	1
life	be	1
life	being	1
life	bring	1
light	made	1
lord	had	1
lord	is	1
man	created	1
man	did	1
man	do	1
man	know	1
man	knows	1
man	loves	1
man	saw	1
man	say	1
man	understand	1
me	are	1
me	be	1
me	born	1
me	did	1
me	have	1
me	learn	1
me	love	1
memory	bear	1
memory	did	1
memory	find	1
memory	have	1
memory	seeking	1
men	are	1
men	be	1
men	become	1
men	call	1
men	called	1
men	do	1
men	have	1
men	hear	1
men	is	1
men	live	1
mind	gave	1
mind	love	1
mind	making	1
mind	remembers	1
mine	do	1
myself	am	1
myself	have	1
myself	is	1
myself	seeking	1
myself	seen	1
nothing	come	1
nothing	made	1
nothing	passed	1
nothing	taken	1
nothing	was	1
our	doing	1
our	learning	1
our	love	1
our	passing	1
place	be	1
place	called	1
she	believed	1
she	bore	1
she	called	1
she	did	1
she	gave	1
she	having	1
she	heard	1
she	know	1
she	loves	1
she	make	1
she	remembered	1
she	say	1
she	sought	1
she	took	1
she	understand	1
she	were	1
soul	are	1
soul	being	1
soul	believe	1
soul	bring	1
soul	came	1
soul	had	1
soul	lives	1
soul	made	1
soul	takes	1
souls	are	1
thee	are	1
thee	be	1
thee	being	1
thee	calling	1
thee	live	1
thee	lived	1
thee	seeing	1
thee	were	1
them	do	1
them	done	1
them	gave	1
them	have	1
them	heard	1
them	knew	1
them	love	1
them	see	1
them	was	1
them	were	1
themselves	have	1
themselves	make	1
themselves	seek	1
they	bear	1
they	became	1
they	become	1
they	believed	1
they	brought	1
they	came	1
they	created	1
they	known	1
they	live	1
they	passed	1
they	speak	1
they	spoke	1
they	take	1
they	think	1
they	understand	1
thing	come	1
thing	loved	1
things	come	1
things	created	1
things	do	1
things	done	1
things	found	1
things	give	1
things	having	1
things	let	1
things	pass	1
things	said	1
things	spoken	1
things	understood	1
thou	been	1
thou	create	1
thou	created	1
thou	done	1
thou	find	1
thou	findest	1
thou	gone	1
thou	hear	1
thou	know	1
thou	said	1
thou	say	1
thou	take	1
thy	making	1
time	are	1
time	being	1
time	created	1
time	has	1
time	have	1
time	passed	1
time	passing	1
time	were	1
times	have	1
times	pass	1
times	passing	1
times	seen	1
times	takes	1
times	were	1
truth	did	1
truth	had	1
truth	have	1
truth	was	1
us	be	1
us	see	1
us	went	1
way	do	1
way	is	1
way	known	1
way	were	1
ways	said	1
we	become	1
we	been	1
we	believed	1
we	brought	1
we	called	1
we	came	1
we	gave	1
we	learned	1
we	learnt	1
we	lived	1
