noun	frequency
things	550
man	259
earth	235
time	226
soul	214
life	195
mind	181
heart	180
truth	174
thing	164
men	150
art	149
nothing	125
memory	124
hast	122
body	122
words	117
way	112
day	107
light	104
times	100
world	98
joy	95
flesh	93
form	87
didst	84
eyes	82
place	80
whence	79
name	74
love	74
mercy	73
voice	72
matter	70
mother	67
one	65
darkness	62
will	58
death	57
others	55
waters	51
hand	51
years	50
law	50
creature	50
thy	49
senses	49
rest	49
power	49
part	49
beginning	49
hath	47
space	46
pleasure	46
nature	46
knowledge	46
house	46
word	45
sight	44
image	44
end	44
wisdom	43
ways	43
something	43
servant	43
faith	43
books	43
praise	41
bodies	41
sin	40
wert	39
ears	39
tongue	38
sense	38
desire	38
kind	37
sea	36
people	36
images	36
firmament	36
tears	35
hope	35
evil	35
works	34
sound	34
fruit	34
days	34
sun	33
substance	33
self	33
spirit	32
good	32
reason	31
peace	31
face	31
sorrow	30
sins	30
night	30
mouth	30
mine	30
thence	29
past	29
order	29
formless	29
sort	28
hadst	28
friends	28
creatures	28
creation	28
book	28
whole	27
understanding	27
souls	27
salvation	27
pride	27
grace	27
friend	27
father	27
authority	27
stars	26
sake	26
water	25
eye	25
eternity	25
charity	25
affections	25
vanity	24
thoughts	24
sweetness	24
sons	24
parents	24
motion	24
food	24
behold	24
age	24
parts	23
health	23
doth	23
youth	22
presence	22
none	22
manner	22
gift	22
fear	22
divers	22
custom	22
air	22
year	21
children	21
care	21
beauty	21
yea	20
thought	20
spaces	20
service	20
purpose	20
ones	20
land	20
glory	20
future	20
ear	20
beasts	20
persons	19
lust	19
gifts	19
course	19
cause	19
boy	19
being	19
signs	18
punishment	18
pleasures	18
places	18
means	18
judgment	18
friendship	18
son	17
silence	17
righteousness	17
present	17
motions	17
grief	17
forms	17
forgetfulness	17
feet	17
error	17
discourse	17
desires	17
delight	17
corporeal	17
city	17
woman	16
wine	16
whither	16
remembrance	16
prayers	16
piety	16
need	16
lights	16
learning	16
iniquity	16
honour	16
heaven	16
hearts	16
fountain	16
fire	16
enemy	16
bitterness	16
answer	16
affection	16
wills	15
thither	15
state	15
shame	15
scripture	15
misery	15
mercies	15
meat	15
fowls	15
force	15
depth	15
thereon	14
thanks	14
pain	14
measure	14
limbs	14
husband	14
fruits	14
country	14
business	14
action	14
use	13
tune	13
strength	13
speech	13
sides	13
shalt	13
servants	13
neighbour	13
natures	13
members	13
marriage	13
living	13
infirmity	13
curiosity	13
continency	13
confess	13
wit	12
weight	12
vanities	12
syllables	12
society	12
shouldest	12
sacrifice	12
rhetoric	12
pity	12
meaning	12
mass	12
madness	12
likeness	12
language	12
hour	12
figure	12
degree	12
countenance	12
change	12
brethren	12
wife	11
thee	11
sounds	11
sleep	11
school	11
sacraments	11
rule	11
moon	11
longing	11
kinds	11
judge	11
infancy	11
ignorance	11
hopes	11
hands	11
ground	11
fictions	11
feeling	11
doctrine	11
delights	11
corruption	11
confessions	11
birth	11
belly	11
actions	11
abyss	11
wouldest	10
witness	10
wings	10
wind	10
wilt	10
variety	10
truths	10
tree	10
thirst	10
theft	10
temptation	10
sorrows	10
side	10
scriptures	10
mysteries	10
master	10
lie	10
interval	10
head	10
handmaid	10
experience	10
expectation	10
dust	10
difference	10
deep	10
deeds	10
conversation	10
confidence	10
concupiscence	10
choice	10
chance	10
carthage	10
burden	10
blood	10
blindness	10
baptism	10
angels	10
wound	9
woe	9
while	9
weeping	9
want	9
verses	9
universe	9
trial	9
tongues	9
syllable	9
steps	9
sickness	9
praises	9
