proper	frequency
thou	1063
thee	877
thy	814
god	510
lord	314
heaven	186
thine	93
spirit	62
word	58
yea	56
ye	52
hath	43
christ	42
holy	35
creator	32
father	31
church	31
son	29
alypius	29
knowest	28
heavens	28
whereof	26
moses	25
thyself	23
hadst	23
truth	21
rome	20
lo	20
hast	20
behold	19
knoweth	18
wisdom	16
nebridius	15
manichees	15
jesus	15
whoso	14
christian	14
catholic	14
ghost	13
latin	11
book	11
ambrose	11
victorinus	10
trinity	10
scripture	10
psalm	10
madest	10
greek	10
almighty	10
woe	9
milan	9
master	9
herein	9
therewith	8
name	8
faith	8
earth	8
begotten	8
substance	7
simplicianus	7
scriptures	7
gospel	7
faustus	7
apostle	7
adam	7
whom	6
saviour	6
sacrament	6
mightest	6
mediator	6
light	6
life	6
jerusalem	6
good	6
firminus	6
emperor	6
doth	6
didst	6
canst	6
betwixt	6
unity	5
thence	5
paul	5
only	5
ministry	5
manichaeus	5
man	5
king	5
griefs	5
gentiles	5
eternity	5
east	5
divine	5
catechumen	5
carthage	5
bridegroom	5
bishop	5
beginning	5
angel	5
aeneas	5
abideth	5
withal	4
willeth	4
verecundus	4
us	4
universe	4
self	4
sciences	4
sacraments	4
prophets	4
priest	4
pontitianus	4
platonists	4
manichaean	4
law	4
jacob	4
genesis	4
fountain	4
forthwith	4
eternal	4
david	4
bodily	4
authority	4
will	3
virgin	3
supreme	3
saith	3
sacrifice	3
rob	3
rhetoric	3
psalms	3
predicaments	3
philippians	3
ostia	3
manichee	3
judgeth	3
jove	3
hymns	3
homer	3
hearken	3
great	3
grace	3
governor	3
gift	3
eve	3
essence	3
esau	3
elijah	3
elect	3
egypt	3
dost	3
dido	3
createdst	3
confessions	3
comforter	3
christians	3
beauty	3
antony	3
africa	3
writ	2
whereupon	2
wherefore	2
whence	2
victor	2
venus	2
unchangeable	2
tully	2
treasury	2
to	2
time	2
thagaste	2
testament	2
sun	2
subverters	2
strength	2
speakest	2
sovereign	2
sayest	2
sabbath	2
righteousness	2
repent	2
remaineth	2
rejoiceth	2
rejoicest	2
psalter	2
professorship	2
power	2
physician	2
patricius	2
passion	2
one	2
o	2
multitude	2
multiply	2
mother	2
moon	2
