quadgram	frequency
o lord my god	30
invisible and without form	20
made heaven and earth	19
in the beginning god	13
of heaven and earth	13
past and to come	11
the spirit of god	10
heaven and the earth	10
the heaven and the	10
was invisible and without	10
god made heaven and	10
the beginning god made	9
earth invisible and without	9
darkness was upon the	9
the firmament of heaven	9
the heaven of heavens	9
was upon the deep	8
the name of heaven	8
and darkness was upon	8
by the name of	8
earth was invisible and	8
called heaven and earth	8
i know not what	8
those things which are	8
the earth was invisible	8
for it is not	8
name of heaven and	7
beginning god made heaven	7
the name of a	7
i knew it not	7
under the name of	7
the senses of the	7
i confess unto thee	7
fowls of the air	7
whom are all things	7
the earth invisible and	7
make heaven and earth	6
thou hast given me	6
that i might not	6
senses of the body	6
but out of the	6
that i might see	6
the fountain of life	6
lights in the firmament	6
that they may be	6
in the name of	6
the motion of a	6
the lust of the	6
motion of a body	6
which now is not	6
with a strong voice	5
createdst heaven and earth	5
and to what end	5
the form of the	5
which thou hast created	5
to confess unto thee	5
that it might be	5
and i knew it	5
they would not be	5
the life of the	5
the fowls of the	5
the heaven and earth	5
i know not how	5
in my inner ear	5
the spaces of the	5
the creator of all	5
to confess to thee	5
because it is not	5
but thou art the	5
created heaven and earth	5
but the spirit of	5
as it were the	5
word was made flesh	5
which thou hast given	5
in the firmament of	5
it is to be	5
let there be light	5
from day to day	4
beyond this power of	4
the beginning god created	4
after the image of	4
man that cometh into	4
the death of the	4
in the beginning of	4
things past and to	4
so much the more	4
out of the same	4
nor is there any	4
i confess to thee	4
and enjoin what thou	4
heaven and earth were	4
to conceive of thee	4
he made heaven and	4
when i love my	4
thanks be to thee	4
the space of a	4
so as not to	4
his word coeternal with	4
beginning god created heaven	4
multiplied upon the earth	4
the pleasures of the	4
that it may be	4
darkness upon the deep	4
out of the mouth	4
i love my god	4
the law and the	4
what is it to	4
wherein i was to	4
god created heaven and	4
so as to be	4
the light of the	4
thou wilt have mercy	4
i will pass beyond	4
for we do not	4
that heaven of heavens	4
another he who says	4
the motions of the	4
what i know not	4
be lights in the	4
for it was not	4
thou createdst heaven and	4
that it is good	4
law and the prophets	4
the nature of the	4
enjoin what thou wilt	4
madest heaven and earth	4
at the same time	4
for the most part	4
word coeternal with himself	4
at thy right hand	4
the things that are	4
the kingdom of heaven	4
in his word coeternal	4
borne above the waters	4
since i learnt thee	4
the voice of thy	4
it is one thing	4
the end of the	4
yet did i not	4
sense of the flesh	4
understood by the things	4
the sons of men	4
the word was made	4
thou commandest me to	4
heal all my infirmities	4
a happy life is	4
of whom are all	4
by the holy ghost	4
one and the same	3
thee the sacrifice of	3
there be three times	3
it is no longer	3
in the knowledge of	3
be more and more	3
earth were to be	3
with sobriety abide under	3
the eternity of the	3
from the bitterness of	3
in the sight of	3
i seem to myself	3
the ears of my	3
taken out of the	3
it be more and	3
measure times as they	3
me with sobriety abide	3
shed abroad in our	3
didst thou make heaven	3
give what thou enjoinest	3
for we are not	3
of the world to	3
of the earth invisible	3
the sun and moon	3
come wherein i was	3
the will of god	3
things visible and invisible	3
without any interval of	3
that the earth may	3
the eye of my	3
the son of thy	3
i had not done	3
is like unto thee	3
the mind commands the	3
we do not say	3
god of my heart	3
the firmament of thy	3
is not one with	3
the figure of a	3
our hearts by the	3
the firmament was made	3
this is in thy	3
a present of things	3
lust of the flesh	3
is not ye that	3
as far as i	3
by the space of	3
out of the deep	3
that i should be	3
i am thy salvation	3
say unto my soul	3
to the end of	3
art ever the same	3
the spirit of man	3
lust of the eyes	3
this power of mine	3
renewed in the knowledge	3
and seek after leasing	3
so shall it be	3
more and more cleared	3
confess unto thy name	3
the law of sin	3
and lowly in heart	3
for the sake of	3
sobriety abide under thy	3
before he made heaven	3
that for which i	3
thou art the lord	3
through the whole world	3
thou madest all things	3
which thou hast made	3
books of the platonists	3
in that which is	3
and sought after leasing	3
as not to be	3
to pray for me	3
of all these things	3
called by the name	3
day and the night	3
the health of my	3
and the spaces of	3
the earth may bring	3
that we may know	3
the lord my god	3
the service of my	3
would not be deceived	3
the fair and fit	3
fruits of the earth	3
fulness of thy goodness	3
things which are made	3
thou resistest the proud	3
this could not be	3
which the eye of	3
the affections of my	3
that i know not	3
for which i had	3
the word of life	3
yet suffer me to	3
a part of the	3
with the love of	3
as yet is not	3
is shed abroad in	3
light in the lord	3
so much as that	3
from east to east	3
let it be more	3
in the voice of	3
of wisdom and knowledge	3
him not as god	3
let us make man	3
was made by him	3
as it were a	3
let me with sobriety	3
thou madest heaven and	3
the force of memory	3
waters of the sea	3
create heaven and earth	3
know not of myself	3
not this or that	3
abide under thy wings	3
thou hast told me	3
shall i find thee	3
confess unto thee thy	3
who art the truth	3
of the holy ghost	3
the sons of adam	3
meek and lowly in	3
in the manifestation thereof	3
and let it be	3
things that are made	3
thou hast made me	3
thou createdst all things	3
for thou art the	3
it is not so	3
the knowledge of god	3
be bounded by the	3
when it is said	3
by the ministry of	3
is given unto us	3
end of the world	3
let him that is	3
it seemed to me	3
to whom shall i	3
is to be done	3
can do all things	3
have mercy upon me	3
the sense of the	3
present in my memory	3
firmament of thy book	3
the lights of heaven	3
by the things that	3
that by him i	3
in thy sight clear	3
is it to me	3
i can do all	3
the form of a	3
eternity of the creator	3
in the presence of	3
every man that cometh	3
all things visible and	3
to be bounded by	3
by little and little	3
it is the same	3
hearts by the holy	3
the weakness of my	3
thou make heaven and	3
which have no being	3
not to be at	3
thou in the beginning	3
earth may bring forth	3
could by no means	3
of a human body	3
the waters of the	3
and there is no	3
and in the manifestation	3
the soul of man	3
this way and that	3
