identifier	question
chapter-005	And how have they injured Thee?
chapter-005	And what, O Lord, was she with so many tears asking of Thee, but that Thou wouldest not suffer me to sail?
chapter-005	And where would have been those her so strong and unceasing prayers, unintermitting to Thee alone?
chapter-005	But what availed the utmost neatness of the cup- bearer to my thirst for a more precious draught?
chapter-005	But where was I, when I was seeking Thee?
chapter-005	But yet who bade that Manichaeus write on these things also, skill in which was no element of piety?
chapter-005	Doth then, O Lord God of truth, whoso knoweth these things, therefore please Thee?
chapter-005	For had I then parted hence, whither had I departed, but into fire and torments, such as my misdeeds deserved in the truth of Thy appointment?
chapter-005	For how should He, by the crucifixion of a phantasm, which I believed Him to be?
chapter-005	For whither fled they, when they fled from Thy presence?
chapter-005	Heal Thou all my bones, and let them say, O Lord, who is like unto Thee?
chapter-005	Is it not thus, as I recall it, O Lord my God, Thou judge of my conscience?
chapter-005	Or how shall we obtain salvation, but from Thy hand, re- making what it made?
chapter-005	Thou, by whose gift she was such?
chapter-005	or how have they disgraced Thy government, which, from the heaven to this lowest earth, is just and perfect?
chapter-005	or where dost not Thou find them?
chapter-006	Again, if he asked had I rather be such as he was, or what I then was?
chapter-006	Ambrose has no leisure; we have no leisure to read; where shall we find even the books?
chapter-006	And if ye have not been faithful in that which is another man''s, who shall give you that which is your own?
chapter-006	BOOK VI O Thou, my hope from my youth, where wert Thou to me, and whither wert Thou gone?
chapter-006	But should any ask me, had I rather be merry or fearful?
chapter-006	But when then pay we court to our great friends, whose favour we need?
chapter-006	But where shall it be sought or when?
chapter-006	Hadst not Thou created me, and separated me from the beasts of the field, and fowls of the air?
chapter-006	I should choose to be myself, though worn with cares and fears; but out of wrong judgment; for, was it the truth?
chapter-006	Life is vain, death uncertain; if it steals upon us on a sudden, in what state shall we depart hence?
chapter-006	See, it is no great matter now to obtain some station, and then what should we more wish for?
chapter-006	The forenoons our scholars take up; what do we during the rest?
chapter-006	What glory, Lord?
chapter-006	What, if death itself cut off and end all care and feeling?
chapter-006	When compose what we may sell to scholars?
chapter-006	When refresh ourselves, unbending our minds from this intenseness of care?
chapter-006	Whence, or when procure them?
chapter-006	Wherefore delay then to abandon worldly hopes, and give ourselves wholly to seek after God and the blessed life?
chapter-006	Whom so soon as Alypius remembered, he told the architect: and he showing the hatchet to the boy, asked him"Whose that was?"
chapter-006	Why not this?
chapter-006	Why say more?
chapter-006	and shall we not rather suffer the punishment of this negligence?
chapter-006	and where shall we learn what here we have neglected?
chapter-006	from whom borrow them?
chapter-003	"are they to be esteemed righteous who had many wives at once, and did kill men, and sacrifice living creatures?"
chapter-003	"is God bounded by a bodily shape, and has hairs and nails?"
chapter-003	And who is sufficient for these things?
chapter-003	Are griefs then too loved?
chapter-003	But what foul offences can there be against Thee, who canst not be defiled?
chapter-003	But what sort of compassion is this for feigned and scenical passions?
chapter-003	But whither goes that vein?
chapter-003	Can it at any time or place be unjust to love God with all his heart, with all his soul, and with all his mind; and his neighbour as himself?
chapter-003	For how much better are the fables of poets and grammarians than these snares?
chapter-003	How did I burn then, my God, how did I burn to re- mount from earthly things to Thee, nor knew I what Thou wouldest do with me?
chapter-003	Is justice therefore various or mutable?
chapter-003	My God, my Mercy, with how much gall didst Thou out of Thy great goodness besprinkle for me that sweetness?
chapter-003	My life being such, was it life, O my God?
chapter-003	Or whereas no man likes to be miserable, is he yet pleased to be merciful?
chapter-003	Shall compassion then be put away?
chapter-003	What is this but a miserable madness?
chapter-003	What marvel that an unhappy sheep, straying from Thy flock, and impatient of Thy keeping, I became infected with a foul disease?
chapter-003	What then could they be more truly called than"Subverters"?
chapter-003	Whence was this, but that Thine ears were towards her heart?
chapter-003	Where then wert Thou then to me, and how far from me?
chapter-003	Why is it, that man desires to be made sad, beholding doleful and tragical things, which yet himself would no means suffer?
chapter-003	or what acts of violence against Thee, who canst not be harmed?
chapter-003	which because it can not be without passion, for this reason alone are passions loved?
chapter-003	whither flows it?
chapter-007	And I said,"Is Truth therefore nothing because it is not diffused through space finite or infinite?"
chapter-007	And what can be unlooked- for by Thee, Who knowest all things?
chapter-007	And what more monstrous than to affirm things to become better by losing all their good?
