trigram	frequency
heaven and earth	90
o my god	57
as it were	52
out of the	47
i know not	42
in the beginning	33
lord my god	33
that i might	31
of the world	31
o lord my	30
it is not	29
confess unto thee	27
i could not	27
the name of	26
which thou hast	26
of my soul	25
of my heart	24
and without form	24
in my memory	24
so as to	22
because it is	21
not to be	21
of the flesh	21
invisible and without	20
made heaven and	19
the spirit of	19
that i may	18
of the earth	18
was to be	18
could not be	18
those things which	17
that i was	17
i beseech thee	17
it was not	17
to have been	16
of the body	16
thou art the	16
of this world	16
the heaven and	16
out of which	16
that we may	16
thou hast made	15
for it is	15
that i had	15
upon the earth	15
the life of	15
is to be	15
i knew not	14
i did not	14
to be a	14
of heaven and	14
the love of	14
and the earth	14
which i had	14
the firmament of	14
seemed to me	14
not as yet	14
of the sea	14
of my mind	14
that i should	14
out of my	13
the beginning god	13
the heaven of	13
i was not	13
the images of	13
a happy life	13
the voice of	13
that it was	13
according to the	13
confess to thee	13
and to come	13
heaven of heavens	13
there is no	13
things to come	13
it is true	13
were to be	13
of these things	12
creator of all	12
the light of	12
heaven and the	12
thou hast given	12
for it was	12
would not be	12
upon the deep	12
there was no	12
that they may	12
i had not	12
that which is	12
of the mind	12
in thy sight	12
but out of	12
that they were	12
and of the	12
out of a	12
the word of	12
and i was	12
is not yet	12
which is not	11
are all things	11
the motion of	11
things which are	11
it might be	11
of the things	11
if it be	11
in the memory	11
in the mind	11
past and to	11
thy right hand	11
not out of	11
when it is	11
it to be	11
the image of	11
the senses of	10
was invisible and	10
in the firmament	10
call on thee	10
of all things	10
this or that	10
spirit of god	10
the form of	10
in such wise	10
they may be	10
which thou madest	10
by the name	10
know not what	10
the body of	10
nor did i	10
all these things	10
for thou art	10
god made heaven	10
the law of	10
to be the	10
the power of	10
that he might	10
i might not	10
that it might	10
in my heart	10
but in the	10
of the air	10
more and more	10
in the lord	10
so soon as	10
on all sides	9
of the soul	9
firmament of heaven	9
as to be	9
these things i	9
darkness was upon	9
what is it	9
the sons of	9
earth invisible and	9
the bitterness of	9
because they are	9
was upon the	9
that thou wouldest	9
and that the	9
i would not	9
at that time	9
out of thy	9
they are not	9
we do not	9
was not yet	9
as they are	9
far be it	9
that it may	9
it is good	9
beginning god made	9
under the name	9
that thou hast	9
to be made	9
which i was	9
it is to	9
earth was invisible	9
the fountain of	9
in the same	9
the motions of	9
the holy ghost	9
of thy book	9
