unigram	frequency
things	551
yet	521
god	507
one	349
us	309
lord	308
now	279
good	279
made	267
also	259
man	251
earth	244
will	239
time	227
might	227
soul	211
may	205
life	201
heaven	199
truth	199
even	196
say	190
shall	190
mind	185
know	182
let	179
heart	178
without	174
love	167
art	165
thing	163
see	155
many	144
light	143
though	142
men	138
much	136
another	133
long	130
therefore	130
present	129
nothing	125
body	124
memory	124
neither	124
come	122
great	120
true	118
words	117
away	116
way	112
far	109
day	107
word	103
behold	100
times	100
world	98
like	98
joy	95
thine	95
whence	94
spirit	94
past	94
didst	93
flesh	93
make	92
form	92
name	92
speak	90
found	88
whole	87
thought	86
since	85
every	85
first	83
holy	83
loved	83
place	82
eyes	82
certain	78
unless	78
ever	78
hear	77
yea	76
confess	76
created	75
find	75
doth	75
whose	75
forth	74
mercy	74
evil	74
knew	73
well	73
whereby	72
matter	72
remember	72
voice	72
seeing	72
never	71
ye	71
whether	70
measure	70
rather	70
give	69
mine	69
still	68
heard	68
called	66
desire	66
read	66
together	65
go	64
little	63
better	63
given	63
darkness	62
done	61
praise	61
thyself	60
rest	60
hadst	60
alone	60
beginning	60
wisdom	59
wherein	58
death	57
seek	57
whereof	56
two	56
believe	56
deep	56
father	55
mother	55
pass	55
madest	55
corporeal	54
law	54
others	52
less	52
sought	52
waters	52
within	52
part	51
eternal	51
power	51
call	51
set	51
faith	51
already	51
hand	51
sound	50
become	50
creature	50
saw	50
years	50
senses	49
either	49
sin	48
understand	48
end	48
knowledge	48
whatsoever	48
spiritual	48
truly	47
whither	47
saith	47
happy	47
nature	46
space	46
pleasure	46
house	46
image	46
book	45
human	45
among	45
son	45
answer	45
came	45
live	45
books	45
sight	44
known	44
brought	44
back	43
something	43
ways	43
formed	43
wert	43
invisible	43
although	43
understood	43
went	42
christ	42
servant	42
dost	42
towards	41
bodies	41
works	41
hope	41
thence	41
kind	41
indeed	41
seen	41
fear	40
substance	40
turned	40
longer	40
ears	40
sense	39
whereas	39
learned	39
lest	39
church	39
spake	39
else	39
according	39
tongue	38
must	38
therein	38
held	38
take	38
living	38
self	37
firmament	37
future	37
received	37
sea	37
often	37
able	36
images	36
creator	36
whatever	36
days	35
people	35
believed	35
tears	35
understanding	35
false	34
sun	34
full	34
hold	34
taken	34
thereof	34
altogether	34
fruit	34
return	33
seemed	33
vain	33
spoken	33
cast	33
formless	33
faithful	33
face	33
borne	32
passed	32
tell	32
knowest	32
reason	32
sweet	32
moved	32
sorrow	31
authority	31
heavens	31
wilt	31
ask	31
peace	31
sometimes	30
creation	30
grace	30
judge	30
eternity	30
mouth	30
hidden	30
night	30
passing	30
sins	30
beautiful	30
order	29
think	29
feared	29
souls	29
please	29
alypius	29
ill	28
learn	28
creatures	28
follow	28
right	28
secret	28
sort	28
bring	28
wise	28
receive	28
conceive	27
salvation	27
told	27
miserable	27
knowing	27
speaking	27
pride	27
stars	27
friends	27
began	27
friend	27
wish	26
saying	26
charity	26
hence	26
sake	26
high	25
eye	25
scripture	25
perceived	25
wholly	25
asked	25
became	25
desired	25
visible	25
affections	25
gift	25
gave	25
born	25
water	25
greater	25
old	25
subject	24
knoweth	24
delighted	24
pleased	24
inward	24
vanity	24
laid	24
motion	24
use	24
care	24
sweetness	24
moses	24
age	24
custom	24
free	24
unchangeable	24
thoughts	24
strong	24
beseech	24
beauty	24
food	24
wont	24
lo	24
soon	24
begun	24
lay	24
need	23
thither	23
means	23
health	23
cause	23
taught	23
three	23
proud	23
wouldest	23
teach	23
verily	23
almost	23
divers	23
amid	23
otherwise	23
beyond	23
learning	23
parts	23
presence	23
suffer	23
aught	23
ear	22
none	22
betwixt	22
willed	22
sons	22
pure	22
air	22
took	22
perchance	22
wonderful	22
bodily	22
lost	22
youth	22
turn	22
written	22
manner	22
catholic	22
put	21
year	21
short	21
daily	21
appear	21
lived	21
foul	21
dead	21
former	21
christian	21
shalt	21
discourse	21
children	21
delight	21
changed	21
fell	20
beasts	20
spaces	20
purpose	20
change	20
just	20
glory	20
lust	20
land	20
die	20
ones	20
utterly	20
enter	20
rome	20
ignorant	20
perfect	20
committed	20
praised	20
thereby	20
new	20
service	20
fountain	20
rejoice	20
loving	19
persons	19
city	19
coeternal	19
poor	19
contain	19
righteousness	19
wherefore	19
desires	19
making	19
course	19
wills	19
learnt	19
boy	19
parents	19
open	19
gifts	19
blessed	19
serve	19
seeking	19
small	19
discern	19
sacrifice	18
punishment	18
pleasures	18
doubt	18
judgment	18
places	18
deceived	18
however	18
stand	18
hearing	18
signs	18
sounds	18
carthage	18
equal	18
last	18
mighty	18
near	18
woe	18
show	18
seem	18
increase	18
forgetfulness	18
concerning	18
innumerable	18
forgotten	18
honour	18
remembrance	17
conceived	17
gavest	17
fed	17
inner	17
till	17
troubled	17
carnal	17
feet	17
scriptures	17
forms	17
error	17
work	17
silence	17
grief	17
afterwards	17
heal	17
different	17
bound	17
wherewith	17
departed	17
friendship	17
motions	17
reading	17
wished	17
clear	17
affection	16
corrupted	16
piety	16
hearts	16
sounded	16
iniquity	16
lower	16
calling	16
search	16
enemy	16
sleep	16
force	16
incorruptible	16
earthly	16
enlightened	16
assured	16
prayers	16
lights	16
formlessness	16
fain	16
changeable	16
fall	16
entered	16
fire	16
weeping	16
wine	16
fair	16
bitterness	16
remembered	16
gone	16
sacraments	15
husband	15
master	15
stood	15
meat	15
abide	15
whoso	15
woman	15
utter	15
cry	15
delights	15
jesus	15
look	15
aside	15
kept	15
perceive	15
absent	15
settled	15
contrary	15
rhetoric	15
pain	15
createdst	15
run	15
loves	15
state	15
depth	15
limbs	15
abroad	15
mightest	15
drawn	15
wretched	15
unchangeably	15
kindled	15
strength	15
carried	15
mercies	15
fowls	15
besides	15
account	15
shame	15
young	15
misery	15
save	15
drink	15
pleasing	15
due	14
appeared	14
thereon	14
thanks	14
clearly	14
ashamed	14
moon	14
continency	14
madness	14
action	14
confessions	14
recognise	14
business	14
lie	14
perfected	14
broken	14
necessary	14
hate	14
righteous	14
coming	14
affirm	14
sinned	14
shouldest	14
served	14
fit	14
nebridius	14
number	14
rise	14
fruits	14
recall	14
mortal	14
imagine	14
weep	14
left	14
led	14
country	14
weak	14
commit	14
felt	13
pity	13
marriage	13
feeling	13
infirmity	13
rule	13
members	13
finding	13
measured	13
commanded	13
figure	13
universe	13
tune	13
saidst	13
fast	13
giving	13
empty	13
curiosity	13
least	13
countenance	13
speaketh	13
several	13
ghost	13
cleave	13
walk	13
answered	13
servants	13
natures	13
express	13
infinite	13
double	13
bear	13
neighbour	13
inwardly	13
grow	13
followed	13
willeth	13
