verb	frequency
is	1303
be	1180
was	1020
had	548
are	496
have	425
were	417
made	267
do	265
did	248
being	203
say	190
know	182
let	181
see	155
been	151
said	131
come	122
am	110
love	93
make	91
speak	88
found	88
loved	83
hear	76
find	75
created	75
knew	73
remember	72
seeing	70
give	69
heard	68
thought	66
read	66
called	66
go	64
having	63
given	63
done	61
confess	60
seek	57
behold	57
measure	56
believe	56
pass	55
sought	52
set	50
become	50
saw	49
understand	48
call	48
came	45
live	44
brought	44
understood	43
formed	43
went	42
seen	41
turned	40
according	39
take	38
spake	38
held	38
received	37
madest	37
learned	37
known	37
dost	36
believed	35
taken	34
seemed	33
hath	33
tell	32
passed	32
moved	32
borne	32
spoken	31
return	31
doth	31
cast	31
ask	31
think	29
passing	29
feared	29
receive	28
learn	28
follow	28
bring	28
answer	28
told	27
desire	27
conceive	27
began	27
hold	26
saying	25
perceived	25
gave	25
desired	25
born	25
became	25
asked	25
thou	24
please	24
laid	24
knowing	24
teach	23
taught	23
suffer	23
lay	23
beseech	23
begun	23
written	22
took	22
hidden	22
does	22
wish	21
willed	21
speaking	21
put	21
lived	21
changed	21
appear	21
turn	20
praised	20
praise	20
lost	20
fell	20
enter	20
serve	19
living	19
learnt	19
judge	19
die	19
committed	19
seem	18
seeking	18
forgotten	18
fear	18
doing	18
deceived	18
concerning	18
wished	17
rejoice	17
making	17
heal	17
fed	17
contain	17
conceived	17
blessed	17
wilt	16
stand	16
sounded	16
show	16
has	16
gone	16
entered	16
enlightened	16
departed	16
corrupted	16
art	16
stood	15
settled	15
saith	15
run	15
remembered	15
loving	15
kept	15
drawn	15
discern	15
carried	15
assured	15
weep	14
sinned	14
served	14
recognise	14
recall	14
perfected	14
perceive	14
look	14
left	14
led	14
kindled	14
imagine	14
hate	14
commit	14
calling	14
bound	14
appeared	14
will	13
pray	13
pleased	13
measured	13
hearing	13
grow	13
giving	13
followed	13
felt	13
fall	13
commanded	13
attain	13
answered	13
affirm	13
wrote	12
troubled	12
takes	12
speaketh	12
rise	12
placed	12
obeyed	12
name	12
looked	12
gathered	12
finding	12
filled	12
express	12
enjoy	12
eat	12
drew	12
draw	12
discovered	12
deliver	12
cry	12
cleaving	12
bounded	12
wherewith	11
walk	11
utter	11
use	11
suppose	11
speaks	11
signified	11
sent	11
sees	11
sawest	11
retained	11
rest	11
remain	11
rejoicing	11
reading	11
poured	11
observed	11
loves	11
knows	11
grieved	11
flying	11
fly	11
fixed	11
feed	11
fallen	11
discover	11
died	11
compared	11
coming	11
cleave	11
cease	11
broken	11
believing	11
begin	11
bear	11
aught	11
abide	11
wrought	10
work	10
wondered	10
wherefore	10
used	10
strive	10
sing	10
showed	10
says	10
save	10
renewed	10
rejoiced	10
preferred	10
opened	10
obtained	10
mentioned	10
lying	10
leave	10
judged	10
joyed	10
increase	10
