adjective	frequency
own	541
great	464
other	443
good	296
many	266
old	262
full	184
such	171
much	171
noble	158
dead	156
brave	152
fair	144
strong	138
mighty	124
young	122
whole	118
more	118
best	115
angry	114
first	110
high	109
dear	107
long	97
better	96
right	87
alive	85
little	79
thick	78
rich	76
golden	75
same	71
poor	71
true	66
close	66
immortal	63
dark	63
glad	61
ready	59
sure	57
goodly	56
last	55
fierce	53
valiant	52
loud	52
fine	51
bad	49
large	47
excellent	47
afraid	47
hard	46
deep	46
able	46
wild	45
mortal	45
single	43
clean	42
terrible	41
foremost	40
enough	40
cruel	40
stronger	39
achaean	39
open	37
furious	37
black	36
very	35
sweet	35
outer	35
minded	35
huge	35
due	35
vain	34
lovely	34
white	33
only	33
ill	32
worse	31
sorry	31
round	31
heavy	31
broad	31
bravest	31
beautiful	31
wicked	30
proud	29
main	29
low	29
alone	29
clear	28
wise	27
quick	27
fresh	27
firm	26
evil	26
third	25
sad	25
eager	25
drink-	25
safe	24
front	24
chief	24
certain	24
unhappy	23
murderous	23
most	22
mad	21
greater	21
further	21
bronze-	21
solemn	20
second	20
glorious	20
free	20
famous	20
well	19
small	19
red	19
present	19
plain	19
keen	19
in-	19
fond	19
fast	19
double	19
cunning	19
busy	19
younger	18
wide	18
warm	18
upper	18
short	18
redoubtable	18
public	18
older	18
likely	18
inner	18
finest	18
topmost	17
common	17
left	16
foreign	16
deadly	16
antinous	16
welcome	15
soft	15
silver	15
sharp	15
pleased	15
fourth	15
fit	15
fertile	15
fat	15
false	15
awful	15
asleep	15
tired	14
sheer	14
several	14
reasonable	14
miserable	14
mere	14
livelong	14
equal	14
drunk	14
about	14
wet	13
utmost	13
tenth	13
tall	13
skilled	13
next	13
new	13
near	13
narrow	13
light	13
kind	13
few	13
dry	13
distant	13
dense	13
dearest	13
cold	13
bitter	13
ashamed	13
scaean	12
satisfied	12
purple	12
pale	12
loth	12
insolent	12
hearted	12
happy	12
frightened	12
bold	12
weary	11
thankful	11
sturdy	11
pure	11
lofty	11
inward	11
infinite	11
hot	11
comely	11
youngest	10
willing	10
well-	10
mast	10
honourable	10
fearful	10
far	10
famed	10
fairest	10
divine	10
brawny	10
blood-	10
ambrosial	10
wondrous	9
victorious	9
vast	9
unseemly	9
taller	9
splendid	9
sick	9
rugged	9
rough	9
raw	9
proper	9
powerful	9
native	9
less	9
larger	9
inasmuch	9
hateful	9
handed	9
green	9
fragrant	9
everlasting	9
comfortable	9
bright	9
blue	9
blind	9
bier	9
bent	9
worth	8
twisted	8
straight	8
skilful	8
silly	8
savage	8
royal	8
rocky	8
precious	8
possible	8
monstrous	8
longer	8
least	8
imperishable	8
haired	8
flaming	8
extreme	8
empty	8
eldest	8
countless	8
armed	8
wrong	7
woollen	7
west	7
weak	7
usual	7
unweariable	7
trusty	7
thigh-	7
studded	7
staunch	7
stalwart	7
sound	7
snowy	7
smooth	7
shrill	7
seventh	7
sacred	7
pointed	7
mightiest	7
magnificent	7
lower	7
looking	7
like	7
leathern	7
largest	7
lame	7
idle	7
human	7
handsome	7
grim	7
foolish	7
fleetest	7
early	7
dreadful	7
disposed	7
delighted	7
bloody	7
big	7
barley-	7
amiss	7
yellow	6
worst	6
wisest	6
useful	6
upright	6
unmindful	6
unharmed	6
unable	6
thin	6
sufficient	6
sudden	6
strongest	6
stranger	6
stern	6
steep	6
spacious	6
smaller	6
silent	6
serious	6
sensible	6
respectable	6
replied	6
real	6
rare	6
quiet	6
prodigious	6
pressed	6
pitiable	6
orderly	6
lycian	6
lusty	6
jagged	6
intolerable	6
heavenly	6
hardest	6
greatest	6
former	6
fifth	6
fewer	6
feeble	6
fallow	6
different	6
crafty	6
argive	6
anxious	6
wakeful	5
vouchsafe	5
uneasy	5
thracian	5
terrific	5
surprised	5
strange	5
stately	5
south	5
sorrowful	5
solid	5
shaggy	5
shabby	5
remiss	5
pontonous	5
piteous	5
phaeacian	5
painful	5
olympian	5
ogygian	5
obedient	5
north	5
noblest	5
nearest	5
naked	5
mightier	5
middle	5
loveliest	5
loose	5
longest	5
lawful	5
hospitable	5
horse-	5
holy	5
highest	5
harder	5
half	5
grey	5
gold	5
friendly	5
fraught	5
foul	5
footed	5
favourite	5
ere	5
easy	5
easier	5
displeased	5
disgraceful	5
dirty	5
delicate	5
dardanian	5
covered	5
confident	5
brilliant	5
aged	5
admirable	5
wretched	4
wounded	4
wealthy	4
vanquished	4
unjust	4
uncivilised	4
twenty-	4
twentieth	4
thrinacian	4
thesprotian	4
tattered	4
tasselled	4
swollen	4
swiftest	4
swift	4
strict	4
speechless	4
sore	4
slow	4
shrewd	4
shameless	4
rude	4
righteous	4
richest	4
radiant	4
private	4
pretty	4
polished	4
pelian	4
patient	4
past	4
mixing-	4
mid	4
melancholy	4
luscious	4
intent	4
incessant	4
implacable	4
hungry	4
humane	4
high-	4
hideous	4
heavier	4
hearty	4
graceful	4
general	4
gainsaid	4
finer	4
fiery	4
fellow-	4
faithful	4
eurypylus	4
eighth	4
echoing	4
earth-	4
doughty	4
desolate	4
daring	4
daily	4
curious	4
consummate	4
careful	4
bread-	4
blank	4
bearded	4
bastard	4
aloof	4
alcinous	4
aeaean	4
acceptable	4
worthless	3
wooded	3
wine-	3
wealthiest	3
war-	3
waiting-	3
visible	3
valuable	3
utter	3
useless	3
unyielding	3
unspeakable	3
unrecorded	3
unfortunate	3
undressed	3
unburied	3
unbroken	3
twelfth	3
top	3
sweeter	3
suspicious	3
sun-	3
subject	3
