adverb	frequency
not	1714
then	1234
so	1113
now	769
up	619
even	469
out	457
thus	434
down	418
back	417
here	366
on	358
as	335
therefore	329
still	327
again	301
off	288
away	271
also	270
there	235
yet	226
once	226
never	217
home	196
ever	189
too	181
far	177
very	176
long	173
soon	168
well	165
more	164
first	164
much	150
all	150
however	144
in	124
only	123
most	123
over	115
no	115
indeed	109
just	107
forward	93
meanwhile	92
together	91
presently	91
moreover	88
longer	87
round	86
always	79
else	78
close	78
nevertheless	72
about	71
already	69
further	68
alone	64
surely	63
hard	60
fast	55
straight	54
enough	54
forth	52
right	51
quite	50
better	42
aloud	42
bitterly	41
rather	40
heavily	40
inside	39
hardly	37
by	37
furiously	34
alike	34
hereafter	32
fiercely	32
at	30
safely	29
matter	29
high	28
greatly	28
often	27
easily	27
aside	27
through	26
after	26
near	25
truly	24
converse	24
outside	23
gladly	23
best	23
along	23
really	21
next	21
less	21
behind	21
before	21
apart	21
headlong	20
utterly	19
ill	19
upstairs	17
onward	17
last	17
furthermore	17
richly	16
everywhere	16
ere	16
afterwards	16
quickly	15
later	15
foremost	15
swiftly	14
sorely	14
particularly	14
loudly	14
immediately	14
aloft	14
instead	13
ill-	13
dearly	13
beautifully	13
any	13
sooner	12
sometimes	12
hence	12
continually	12
carefully	12
below	12
telemachus	11
plainly	11
piteously	11
onwards	11
nearly	11
instantly	11
henceforth	11
elsewhere	11
deep	11
backwards	11
afar	11
upwards	10
otherwise	10
low	10
hospitably	10
directly	10
sternly	9
quietly	9
lately	9
heretofore	9
heartily	9
especially	9
comely	9
closely	9
badly	9
angrily	9
sadly	8
perfectly	8
lightly	8
kindly	8
fairly	8
exceedingly	8
terribly	7
sufficiently	7
somewhere	7
reasonably	7
perhaps	7
openly	7
main	7
generally	7
fondly	7
exactly	7
early	7
ashore	7
abroad	7
wide	6
thoroughly	6
suddenly	6
possibly	6
outright	6
menacingly	6
lustily	6
fearfully	6
faster	6
either	6
duly	6
desperately	6
anew	6
wisely	5
thickly	5
sweetly	5
straitly	5
solemnly	5
shortly	5
securely	5
of	5
nt	5
likewise	5
lastly	5
inland	5
ingloriously	5
goodly	5
gently	5
freely	5
equitably	5
deeply	5
cowardly	5
comfortably	5
certainly	5
bravely	5
boldly	5
anywhere	5
ahead	5
ago	5
vainly	4
upright	4
though	4
thick	4
steadily	4
soundly	4
sorrowfully	4
skilfully	4
singularly	4
silently	4
severally	4
secretly	4
roughly	4
newly	4
merely	4
late	4
homeward	4
great	4
firmly	4
ewer	4
convulsively	4
contumely	4
both	4
besides	4
almost	4
aeneas	4
above	4
within	3
untimely	3
two-	3
twice	3
tightly	3
thither	3
therein	3
thereafter	3
strongly	3
stout	3
softly	3
righteously	3
pretty	3
pleasantly	3
peacefully	3
overhead	3
overboard	3
neither	3
naturally	3
miserably	3
masterfully	3
madly	3
little	3
inwardly	3
incessantly	3
hugely	3
harshly	3
hardest	3
happily	3
haply	3
half	3
gloriously	3
fully	3
flat	3
downwards	3
deftly	3
cunningly	3
constantly	3
around	3
aforetime	3
actually	3
wonderfully	2
wilfully	2
wildly	2
wickedly	2
valorously	2
usually	2
unseemly	2
underneath	2
trippingly	2
thirdly	2
third	2
thereof	2
terror-	2
tamely	2
sulkily	2
stubbornly	2
steadfastly	2
specially	2
somewhat	2
slowly	2
since	2
short	2
separately	2
seldom	2
sally	2
ruthlessly	2
rightly	2
recklessly	2
readily	2
ravenously	2
purposely	2
poorly	2
patiently	2
opposite	2
nevermore	2
nearer	2
narrowly	2
namely	2
moodily	2
mightily	2
midway	2
marvellously	2
magnificently	2
largely	2
kind	2
justly	2
immoderately	2
idly	2
humbly	2
hitherto	2
highly	2
heavy	2
harder	2
ghastly	2
freshly	2
fourth	2
foul	2
forwards	2
foolishly	2
fine	2
favourably	2
farther	2
falsely	2
extremely	2
exquisitely	2
expressly	2
excellently	2
evenly	2
erewhile	2
earth-	2
earnestly	2
earlier	2
double	2
divinely	2
despairingly	2
delicately	2
craftily	2
contemptuously	2
confidently	2
closer	2
cleverly	2
burly	2
brilliantly	2
blood-	2
awake	2
asunder	2
astride	2
assuredly	2
anxiously	2
altogether	2
aft	2
afield	2
accurately	2
accordingly	2
a	2
wretchedly	1
worst	1
woolly	1
wondrously	1
wise	1
willy	1
willingly	1
widely	1
wholly	1
whither	1
white-	1
whatsoever	1
way	1
warmly	1
warily	1
wakefully	1
visibly	1
vigorously	1
vaingloriously	1
urgently	1
upward	1
uprightly	1
unwarily	1
