id	author	title	date	words	sentences	pages	flesch	cache	txt	summary
homer-iliad_01		homer-iliad_01		5850	252		84	./cache/homer-iliad_01.txt	./txt/homer-iliad_01.txt	"Achilles, loved of heaven, you bid me tell you about the anger of King Apollo, I will therefore do so; but consider first and swear that you will stand by me heartily in word and deed, for I know that I shall offend one who rules the Argives with might, to whom all the Achaeans are in subjection. And Achilles answered," Fear not, but speak as it is borne in upon you from heaven, for by Apollo, Calchas, to whom you pray, and whose oracles you reveal to us, not a Danaan at our ships shall lay his hand upon you, while I yet live to look upon the face of the earth— no, not though you name Agamemnon himself, who is by far the foremost of the Achaeans."
homer-iliad_02		homer-iliad_02		7966	308		79	./cache/homer-iliad_02.txt	./txt/homer-iliad_02.txt	Jove sends a lying dream to Agamemnon, who thereon calls the chiefs in assembly, and proposes to sound the mind of his army—In the end they march to fight—Catalogue of the Achaean and Trojan forces. But Juno said to Minerva," Alas, daughter of aegisbearing Jove, unweariable, shall the Argives fly home to their own land over the broad sea, and leave Priam and the Trojans the glory of still keeping Helen, for whose sake so many of the Achaeans have died at Troy, far from their homes? Those who held the strong city of Mycenae, rich Corinth and Cleonae; Orneae, Araethyrea, and Licyon, where Adrastus reigned of old; Hyperesia, high Gonoessa, and Pellene; Aegium and all the coastland round about Helice; these sent a hundred ships under the command of King Agamemnon, son of Atreus.
homer-iliad_03		homer-iliad_03		4055	167		81	./cache/homer-iliad_03.txt	./txt/homer-iliad_03.txt	They ceased taking aim and were still, whereon Hector spoke." Hear from my mouth," said he," Trojans and Achaeans, the saying of Alexandrus, through whom this quarrel has come about. He bids the Trojans and Achaeans lay their armour upon the ground, while he and Menelaus fight in the midst of you for Helen and all her wealth. He went up to Priam and said," Son of Laomedon, the princes of the Trojans and Achaeans bid you come down on to the plain and swear to a solemn covenant. Then Priam, descendant of Dardanus, spoke, saying," Hear me, Trojans and Achaeans, I will now go back to the windbeaten city of Ilius: I dare not with my own eyes witness this fight between my son and Menelaus, for Jove and the other immortals alone know which shall fall."
homer-iliad_04		homer-iliad_04		5094	191		80	./cache/homer-iliad_04.txt	./txt/homer-iliad_04.txt	The son of Saturn then began to tease Juno, talking at her so as to provoke her." Menelaus," said he," has two good friends among the goddesses, Juno of Argos, and Minerva of Alalcomene, but they only sit still and look on, while Venus keeps ever by Alexandrus '' side to defend him in any danger ;indeed she has just rescued him when he made sure that it was all over with him— for the victory really did lie with Menelaus. Tell Minerva to go and take part in the fight at once, and let her contrive that the Trojans shall be the first to break their oaths and set upon the Achaeans." Presently he found standing amid the brave warriors who had followed him from Tricca; thereon he went up to him and said," Son of Aesculapius, King Agamemnon says you are to come and see Menelaus immediately.
homer-iliad_05		homer-iliad_05		8656	328		80	./cache/homer-iliad_05.txt	./txt/homer-iliad_05.txt	Idaeus did not dare to bestride his brother ''s body, but sprang from the chariot and took to flight, or he would have shared his brother ''s fate; whereon Vulcan saved him by wrapping him in a cloud of darkness, that his old father might not be utterly overwhelmed with grief; but the son of Tydeus drove off with the horses, and bade his followers take them to the ships. Venus screamed aloud, and let her son fall, but Phoebus Apollo caught him in his arms, and hid him in a cloud of darkness, lest some Danaan should drive a spear into his breast and kill him; and Diomed shouted out as he left her," Daughter of Jove, leave war and battle alone, can you not be contented with beguiling silly women?
homer-iliad_06		homer-iliad_06		4997	184		78	./cache/homer-iliad_06.txt	./txt/homer-iliad_06.txt	Tell her to bid the matrons gather at the temple of Minerva in the acropolis ;let her then take her key and open the doors of the sacred building; there, upon the knees of Minerva, let her lay the largest, fairest robe she has in her house— the one she sets most store by; let her, moreover, promise to sacrifice twelve yearling heifers that have never yet felt the goad, in the temple of the goddess, if she will take pity on the town, with the wives and little ones of the Trojans, and keep the son of Tydeus from falling on the goodly city of Ilius; for he fights with fury and fills men ''s souls with panic.
homer-iliad_07		homer-iliad_07		4434	160		78	./cache/homer-iliad_07.txt	./txt/homer-iliad_07.txt	Hector and Ajax fight—Hector is getting worsted when night comes on and parts them—They exchange presents—The burial of the dead, and the building of a wall round their ships by the Achaeans—The Achaeans buy their wine of Agamemnon and Menelaus. Apollo, son of Jove, replied," Let us incite great Hector to challenge some one of the Danaans in single combat; on this the Achaeans will be shamed into finding a man who will fight him." He found the Danaans, servants of Mars, in council at the stern of Agamemnon ''s ship, and took his place in the midst of them." Son of Atreus," he said," and princes of the Achaean host, Priam and the other noble Trojans have sent me to tell you the saying of Alexandrus through whom this quarrel has come about, if so be that you may find it acceptable.
homer-iliad_08		homer-iliad_08		5347	202		80	./cache/homer-iliad_08.txt	./txt/homer-iliad_08.txt	Jove forbids the gods to interfere further—There is an even fight till midday, but then Jove inclines the scales of victory in favour of the Trojans, who eventually chase the Achaeans within their wall—Juno and Minerva set out to help the Trojans: Jove sends Iris to turn them back, but later on he promises Juno that she shall have her way in the end—Hector''s triumph is stayed by nightfall—The Trojans bivouac on the plain. Hector was greatly grieved at the loss of his charioteer, but let him lie for all his sorrow, while he went in quest of another driver; nor did his steeds have to go long without one, for he presently found brave Archeptolemus the son of Iphitus, and made him get up behind the horses, giving the reins into his hand.
homer-iliad_09		homer-iliad_09		6878	248		79	./cache/homer-iliad_09.txt	./txt/homer-iliad_09.txt	Menservants poured water over the hands of the guests, while pages filled the mixingbowls with wine and water, and handed it round after giving every man his drinkoffering; then, when they had made their offerings, and had drunk each as much as he was minded, the envoys set out from the tent of Agamemnon son of Atreus; and Nestor, looking first to one and then to another, but most especially at Ulysses, was instant with them that they should prevail with the noble son of Peleus. They all held their peace, dismayed at the sternness with which he had denied them, till presently the old knight Phoenix in his great fear for the ships of the Achaeans, burst into tears and said," Noble Achilles, if you are now minded to return, and in the fierceness of your anger will do nothing to save the ships from burning, how, my son, can I remain here without you?
homer-iliad_10		homer-iliad_10		5540	217		83	./cache/homer-iliad_10.txt	./txt/homer-iliad_10.txt	First they went to Diomed son of Tydeus, and found him outside his tent clad in his armour with his comrades sleeping round him and using their shields as pillows; as for their spears, they stood upright on the spikes of their butts that were driven into the ground, and the burnished bronze flashed afar like the lightning of father Jove. The two Ajaxes, servants of Mars, Meriones, and the son of Nestor all wanted to go, so did Menelaus son of Atreus; Ulysses also wished to go among the host of the Trojans, for he was ever full of daring, and thereon Agamemnon king of men spoke thus:" Diomed," said he," son of Tydeus, man after my own heart, choose your comrade for yourself— take the best man of those that have offered, for many would now go with you.
