entity	type	frequency
achilles	PERSON	442
ulysses	GPE	401
jove	PERSON	342
minerva	ORG	281
hector	ORG	267
menelaus	ORG	197
agamemnon	PERSON	173
priam	PERSON	151
peleus	PERSON	134
mars	LOC	129
apollo	ORG	125
ajax	GPE	113
neptune	ORG	112
juno	PERSON	100
penelope	PERSON	96
ilius	GPE	95
atreus	ORG	89
tydeus	PERSON	88
idomeneus	ORG	84
troy	GPE	81
nestor	ORG	79
ithaca	GPE	75
trojan	ORG	70
earth	LOC	65
helen	PERSON	64
eumaeus	PERSON	52
mercury	ORG	47
telamon	PERSON	46
pylos	PERSON	46
antilochus	PERSON	45
venus	LOC	42
argos	GPE	42
sarpedon	ORG	41
ida	PERSON	40
saturn	PERSON	39
diomed	ORG	39
oceanus	ORG	37
circe	PERSON	36
alexandrus	ORG	35
thetis	LOC	33
phoebus apollo	PERSON	32
meriones	GPE	31
laertes	ORG	31
menoetius	ORG	30
neleus	ORG	29
diana	PERSON	28
dawn	PERSON	27
polydamas	GPE	26
olympus	GPE	24
hercules	GPE	23
aeneas	PERSON	23
paris	GPE	22
pallas minerva	PERSON	22
calypso	ORG	22
oileus	PERSON	21
aeacus	GPE	21
lycia	GPE	20
king agamemnon	PERSON	20
lycaon	PERSON	19
argives	ORG	19
vulcan	PERSON	18
phthia	ORG	18
melanthius	ORG	18
deiphobus	GPE	18
thebes	GPE	17
iris	GPE	17
mentor	GPE	16
medon	ORG	16
lacedaemon	GPE	16
asius	ORG	16
teiresias	ORG	15
eurymachus	PERSON	15
west	LOC	14
phoenix	PERSON	14
machaon	ORG	14
leto	PERSON	14
gerene	PERSON	14
dardanus	LOC	14
cyclops	ORG	14
xanthus	ORG	13
teucer	GPE	13
telemachus	PERSON	13
myrmidons	ORG	13
irus	ORG	13
eurylochus	PERSON	13
demodocus	PERSON	13
bellerophon	PERSON	13
argus	GPE	13
nausicaa	PERSON	12
dolon	PERSON	12
dolius	PERSON	12
autolycus	ORG	12
philoetius	PERSON	11
laomedon	ORG	11
hellespont	GPE	11
forthwith	PERSON	11
elis	PERSON	11
egypt	GPE	11
tlepolemus	ORG	10
thereon	ORG	10
sparta	GPE	10
polybus	PERSON	10
lemnos	PERSON	10
king apollo	PERSON	10
hellas	GPE	10
glaucus	PERSON	10
danaan	GPE	10
antenor	ORG	10
theoclymenus	PERSON	9
talthybius	PERSON	9
pisander	PERSON	9
laodamas	PERSON	9
icarius	GPE	9
hippolochus	PERSON	9
eurypylus	ORG	9
cyclopes	PERSON	9
amphinomus	PERSON	9
agelaus	ORG	9
thrasymedes	PERSON	8
thrace	ORG	8
sirens	PERSON	8
scamander	LOC	8
piraeus	PERSON	8
phemius	ORG	8
oeneus	PERSON	8
north	LOC	8
minos	PERSON	8
hecuba	ORG	8
eumelus	ORG	8
briseis	GPE	8
automedon	PERSON	8
asteropaeus	PERSON	8
andromache	ORG	8
adrestus	PERSON	8
acamas	PERSON	8
sthenelus	ORG	7
simois	ORG	7
queen penelope	PERSON	7
protesilaus	ORG	7
proserpine	PERSON	7
polyphemus	GPE	7
peneleos	PERSON	7
king alcinous	GPE	7
hyrtacus	LOC	7
helenus	LOC	7
euphorbus	ORG	7
eupeithes	ORG	7
erebus	GPE	7
east	LOC	7
cicons	ORG	7
