noun	frequency
son	1237
man	766
men	698
house	535
ships	520
gods	419
spear	409
father	388
hand	358
people	343
hands	328
way	319
horses	310
ship	296
sea	295
city	291
ground	255
one	254
armour	254
ulysses	242
day	240
heart	238
battle	237
suitors	235
body	235
head	231
time	219
others	206
mother	204
side	200
sons	198
chariot	183
death	178
fight	167
daughter	165
eyes	159
wine	157
fire	157
end	157
water	156
shield	156
nothing	155
place	153
land	152
wife	150
women	149
night	149
wall	144
blood	138
words	129
bronze	129
country	127
feet	126
river	123
home	122
wind	121
earth	121
king	119
mind	117
gold	116
host	115
life	114
friends	112
bow	112
woman	108
things	108
goddess	106
town	103
strength	102
sheep	101
bed	100
sword	99
child	98
husband	95
room	94
arrow	92
sun	90
seat	90
plain	89
fleet	88
shoulders	87
achilles	87
whereon	85
gates	85
front	85
comrades	85
spears	83
morning	83
face	83
war	81
servants	81
part	81
honour	80
foot	80
fear	80
helmet	79
fighting	79
sorrow	78
cry	76
rest	75
darkness	74
comrade	74
days	73
anger	73
point	72
none	72
matter	72
moment	71
dust	70
children	70
sleep	68
brother	68
voice	67
god	67
shore	66
name	66
middle	66
knees	66
island	66
hold	66
stranger	65
arms	65
tears	64
friend	64
world	63
work	63
will	62
top	62
counsel	62
stone	61
fury	61
cattle	61
board	61
waters	60
servant	60
glory	60
mountain	59
swineherd	58
ranks	58
light	57
everything	57
word	56
neck	56
dogs	56
court	56
master	55
hector	55
tent	54
return	54
immortals	54
meat	53
lion	53
heroes	53
hero	53
field	53
something	52
destruction	52
peace	51
maids	51
silver	50
shoulder	50
shirt	50
chest	50
waves	49
thing	49
presents	49
dinner	49
back	49
victory	48
hither	48
cup	48
tents	47
kind	47
grief	47
fellow	47
door	47
cloud	47
chariots	47
cave	47
bones	47
prize	46
pieces	46
crew	46
course	46
clothes	46
assembly	46
anything	46
wives	45
princes	45
prayer	45
offerings	45
might	45
iron	45
years	44
trouble	44
sight	44
hair	44
force	44
cloak	44
supper	43
goats	43
gifts	43
bread	43
arrows	43
truth	42
trench	42
places	42
parents	42
care	42
wood	41
winds	41
table	41
fate	41
cloister	41
wound	40
stream	40
steeds	40
horse	40
year	39
walls	38
rock	38
daughters	38
courage	38
tree	37
speed	37
seats	37
girl	37
doors	37
voyage	36
story	36
spite	36
skin	36
race	36
mischief	36
hearts	36
boar	36
shields	35
sacrifice	35
rage	35
pigs	35
mules	35
flight	35
flesh	35
age	35
wealth	34
reins	34
pity	34
orders	34
meal	34
manner	34
captain	34
breast	34
while	33
present	33
council	33
saying	32
pain	32
offering	32
mouth	32
mountains	32
mankind	32
aim	32
store	31
round	31
property	31
oxen	31
oath	31
knight	31
guest	31
forest	31
cities	31
allies	31
warriors	30
times	30
soul	30
peer	30
number	30
heads	30
case	30
beauty	30
air	30
rocks	29
ransom	29
piece	29
person	29
penelope	29
news	29
hounds	29
evil	29
charge	29
bodies	29
toil	28
sea-	28
revenge	28
panic	28
lot	28
help	28
fat	28
combat	28
clouds	28
brothers	28
bowl	28
belly	28
answer	28
waggon	27
triumph	27
tramp	27
thigh	27
squire	27
shepherd	27
limbs	27
flocks	27
estate	27
doom	27
warrior	26
valour	26
stones	26
sound	26
sake	26
presence	26
pair	26
message	26
haste	26
crowd	26
bard	26
aegis-	26
trees	25
threshold	25
thought	25
sign	25
shame	25
reason	25
hope	25
harm	25
ghosts	25
foe	25
cover	25
bird	25
whip	24
understanding	24
space	24
midst	24
love	24
goddesses	24
ghost	24
ear	24
youth	23
yoke	23
wave	23
treasure	23
sir	23
quarrel	23
ones	23
meriones	23
lyre	23
loss	23
line	23
likeness	23
law	23
harbour	23
guests	23
ears	23
dead	23
chieftains	23
captains	23
breath	23
arm	23
yourselves	22
ways	22
uproar	22
turn	22
tongue	22
speech	22
sorrows	22
share	22
sails	22
sail	22
respect	22
raft	22
pyre	22
purpose	22
prowess	22
post	22
oil	22
mortals	22
minds	22
lightning	22
hour	22
hosts	22
heifer	22
form	22
flames	22
feast	22
eye	22
drink	22
dismay	22
counsels	22
company	22
blow	22
vultures	21
strangers	21
spirit	21
rain	21
queen	21
prizes	21
oak	21
lambs	21
hecatombs	21
funeral	21
family	21
dream	21
distress	21
cloisters	21
charioteer	21
bosom	21
birds	21
youths	20
tale	20
sweat	20
stand	20
spoils	20
order	20
nurse	20
meats	20
marriage	20
lands	20
hide	20
heed	20
food	20
folly	20
enemy	20
driver	20
dawn	20
cuirass	20
corn	20
chiefs	20
car	20
bone	20
banks	20
absence	20
vessel	19
temple	19
staff	19
questions	19
monster	19
means	19
luck	19
length	19
judgement	19
fill	19
daybreak	19
councillors	19
couch	19
trial	18
thrice	18
thither	18
thereon	18
soldiers	18
sandals	18
raiment	18
quarter	18
pride	18
power	18
pleasure	18
oars	18
nymphs	18
messenger	18
mares	18
linen	18
leader	18
labour	18
kings	18
fool	18
floor	18
deeds	18
deed	18
cups	18
creature	18
corpses	18
cloaks	18
chief	18
banquet	18
axes	18
aloof	18
abundance	18
tower	17
spits	17
smoke	17
sire	17
sides	17
road	17
right	17
rank	17
prayers	17
mistress	17
mast	17
kinds	17
joy	17
insolence	17
fray	17
foes	17
flock	17
favour	17
earthquake	17
eagle	17
desire	17
darts	17
crest	17
coward	17
bull	17
beach	17
bath	17
barrow	17
wrong	16
weeping	16
use	16
tripod	16
thunder	16
suppliant	16
string	16
song	16
service	16
self	16
seas	16
ruin	16
robe	16
rags	16
pursuit	16
ox	16
lives	16
legs	16
leaves	16
journey	16
jaws	16
guardian	16
guard	16
girdle	16
followers	16
defence	16
danger	16
confusion	16
chase	16
cauldron	16
belt	16
bearing-	16
account	16
wounds	15
weight	15
veil	15
thence	15
teeth	15
springs	15
spring	15
soldier	15
slayer	15
sky	15
skill	15
silence	15
shirts	15
sceptre	15
rites	15
rate	15
posts	15
olive	15
mercy	15
maid	15
lions	15
lineage	15
hospitality	15
herd	15
havoc	15
half	15
goodwill	15
gate	15
descendant	15
command	15
camp	15
bowls	15
battle-	15
barley	15
band	15
yard	14
wedding	14
weapons	14
stockman	14
stern	14
shout	14
rout	14
roof	14
rim	14
ram	14
priest	14
onset	14
noise	14
mark	14
ill-	14
horsemen	14
hardship	14
flame	14
fall	14
escort	14
drink-	14
dread	14
distance	14
directions	14
cows	14
arts	14
array	14
altar	14
abode	14
wolves	13
woe	13
wing	13
watch	13
summits	13
suffering	13
storm	13
stature	13
spoil	13
savage	13
sailors	13
ruler	13
reach	13
quiver	13
question	13
prophet	13
ox-	13
numbers	13
nestor	13
money	13
mist	13
milk	13
mantle	13
living	13
lips	13
left	13
herds	13
heralds	13
helmets	13
hecatomb	13
fame	13
ends	13
displeasure	13
cries	13
contest	13
companions	13
companies	13
comfort	13
cheeks	13
champion	13
business	13
birth	13
beggar	13
archer	13
yards	12
whence	12
weapon	12
throat	12
swords	12
station	12
singing	12
shod	12
shepherds	12
shelter	12
sense	12
salt	12
ring	12
palace	12
need	12
moon	12
mainland	12
loom	12
leaders	12
lament	12
islands	12
horns	12
groaning	12
gleam	12
gatehouse	12
gale	12
fountain	12
covenant	12
compassion	12
coming	12
chance	12
burden	12
breastplate	12
blade	12
benches	12
battlements	12
battalions	12
bane	12
yesterday	11
workmanship	11
wand	11
vineyard	11
troubles	11
tomb	11
thighs	11
talents	11
tables	11
summer	11
snow	11
slumber	11
signs	11
seer	11
satisfaction	11
safety	11
rugs	11
rivers	11
prisoner	11
plenty	11
offspring	11
oaths	11
nymph	11
matters	11
level	11
lamentation	11
hurt	11
houses	11
heaven	11
grass	11
goat	11
gift	11
garden	11
forehead	11
fishes	11
enemies	11
ease	11
dart	11
crests	11
chamber	11
boy	11
bidding	11
bands	11
attack	11
applause	11
yonder	10
wrist	10
wretch	10
wool	10
wheels	10
wheel	10
want	10
voices	10
victims	10
tongues	10
tin	10
substance	10
store-	10
star	10
soil	10
sigh	10
sands	10
sand	10
sacrifices	10
roots	10
promise	10
prey	10
press	10
portion	10
omens	10
nipple	10
neighbour	10
mortal	10
months	10
moan	10
misfortunes	10
meeting	10
mare	10
look-	10
limb	10
liking	10
layers	10
knowledge	10
instructions	10
heat	10
hearth	10
grove	10
fruit	10
forces	10
footstool	10
firmament	10
figure	10
effect	10
dress	10
dance	10
couple	10
counsellors	10
brains	10
bottom	10
blows	10
beginning	10
bank	10
ashes	10
art	10
aegis	10
advice	10
witness	9
winter	9
well-	9
watches	9
wallet	9
visit	9
tops	9
throne	9
temples	9
talk	9
streams	9
stock	9
sterns	9
stakes	9
sisters	9
sincerity	9
sin	9
season	9
scar	9
runner	9
rear	9
quarters	9
quantity	9
protection	9
pole	9
plant	9
plan	9
peak	9
nostrils	9
multitude	9
mound	9
messengers	9
memory	9
maidens	9
lust	9
lots	9
lies	9
lair	9
kinsmen	9
