proper	frequency
jove	647
achaeans	608
trojans	580
ulysses	485
hector	435
achilles	365
minerva	313
heaven	311
telemachus	251
agamemnon	238
menelaus	213
priam	194
patroclus	180
ajax	179
apollo	171
argives	152
atreus	151
god	149
king	148
troy	147
peleus	145
mars	130
juno	129
nestor	122
neptune	122
danaans	114
diomed	104
olympus	103
ilius	99
tydeus	97
saturn	92
ithaca	92
aeneas	87
idomeneus	86
penelope	80
hades	78
eumaeus	76
trojan	71
helen	66
lord	61
antilochus	61
vulcan	60
alcinous	59
father	56
phaeacians	55
sir	51
laertes	51
argos	50
sarpedon	49
mercury	49
pylos	48
venus	47
telamon	47
ida	47
alexandrus	47
son	44
thetis	43
circe	43
antinous	43
iris	40
phoebus	39
teucer	37
oceanus	37
meriones	37
myrmidons	35
lycians	35
euryclea	34
forthwith	33
polydamas	32
menoetius	32
diana	30
calypso	30
thereon	29
neleus	29
eurymachus	28
dawn	28
ajaxes	27
aegisthus	26
deiphobus	25
stranger	24
hercules	24
antenor	24
xanthus	23
rang	23
pisistratus	23
paris	23
glaucus	23
pallas	22
melanthius	22
automedon	22
rosy-	21
oileus	21
lycaon	21
aeacus	21
lycia	20
phthia	18
mt.	18
idaeus	18
asius	18
lacedaemon	17
gerene	17
west	16
thebes	16
teiresias	16
scylla	16
queen	16
mentor	16
medon	16
madam	16
machaon	16
crete	16
autolycus	16
sea	15
mixing-	15
leto	15
epeans	15
dardanus	15
agenor	15
phoenix	14
lemnos	14
irus	14
dulichium	14
danaan	14
bellerophon	14
thrice	13
thoas	13
theoclymenus	13
philoetius	13
nausicaa	13
heavens	13
grey	13
eurypylus	13
eurylochus	13
ere	13
demodocus	13
cyclops	13
briseis	13
argus	13
arete	13
sthenelus	12
scamander	12
proserpine	12
polybus	12
panthous	12
orestes	12
laomedon	12
helenus	12
goddess	12
dolius	12
dardanians	12
cretans	12
asteropaeus	12
anchises	12
pisander	11
phyleus	11
oeneus	11
mell	11
many-	11
hut	11
holy	11
hellespont	11
eumelus	11
elis	11
egypt	11
eetion	11
cyclopes	11
amphinomus	11
ambrosia	11
aetolians	11
acamas	11
us	10
tlepolemus	10
thracians	10
talthybius	10
sparta	10
south	10
pandarus	10
morrow	10
laodamas	10
icarius	10
hippolochus	10
hellas	10
euryalus	10
antiphus	10
agelaus	10
thrasymedes	9
pylians	9
phemius	9
north	9
mount	9
iphitus	9
gore	9
euphorbus	9
dolon	9
aeolus	9
thrace	8
protesilaus	8
piraeus	8
peneleos	8
pedasus	8
minos	8
menestheus	8
melanippus	8
herald	8
east	8
cicons	8
chromius	8
andromache	8
adrestus	8
actor	8
whereon	7
tros	7
swam	7
suitors	7
sirens	7
single-	7
simois	7
silver-	7
same	7
rout	7
polypoetes	7
polyphemus	7
parnassus	7
nurse	7
noman	7
mecisteus	7
lotus	7
lesbos	7
hyrtacus	7
hecuba	7
hand-	7
fed	7
eurynome	7
erebus	7
epeus	7
clytius	7
charybdis	7
capaneus	7
calchas	7
bow	7
boreas	7
boeotians	7
barley	7
alpheus	7
aesculapius	7
zacynthus	6
wife	6
to-	6
thoon	6
theban	6
styx	6
samos	6
phylace	6
phorcys	6
peteos	6
pergamus	6
percote	6
pell-	6
orsilochus	6
omen	6
olympian	6
noemon	6
nectar	6
mycene	6
mycenae	6
mother	6
meleager	6
lycurgus	6
lampus	6
graces	6
fight	6
euaemon	6
erinyes	6
ephyra	6
egyptians	6
dolops	6
cyprus	6
cephallenians	6
calydon	6
athens	6
argive	6
aretus	6
antiphates	6
amphimedon	6
amphimachus	6
alcimedon	6
aegis-	6
achaean	6
vow	5
tenedos	5
sun	5
sceptre	5
rob	5
rhesus	5
polydorus	5
polites	5
phrygia	5
pherae	5
perseus	5
panic	5
paeeon	5
ormenus	5
orchomenus	5
noble	5
neritum	5
mysians	5
muses	5
mid	5
meges	5
megapenthes	5
lyrnessus	5
locrians	5
leitus	5
jason	5
ilus	5
hyperion	5
house	5
hippasus	5
far-	5
eyed	5
eurytus	5
eurystheus	5
ethiopians	5
eteoneus	5
dodona	5
deucalion	5
deipyrus	5
curetes	5
council	5
chryseis	5
chryse	5
brave	5
bacchus	5
axius	5
athenians	5
ascalaphus	5
arisbe	5
antimachus	5
andraemon	5
aldermen	5
alcmena	5
alastor	5
adamas	5
zephyrus	4
white	4
van	4
trito-	4
thou	4
thestor	4
thesprotians	4
themis	4
thebe	4
theano	4
taphians	4
supreme	4
spercheius	4
socus	4
sleep	4
simoeisius	4
selleis	4
scheria	4
proteus	4
pleuron	4
pisenor	4
pirithous	4
phylacus	4
phoenicians	4
phoceans	4
pheidon	4
panopeus	4
niobe	4
nausithous	4
naiad	4
mulius	4
morn	4
mighty	4
mentes	4
lycomedes	4
lycian	4
lovely	4
lotus-	4
laodice	4
iphidamas	4
ino	4
imbrus	4
imbrius	4
iasus	4
horse-	4
hitherto	4
hippothous	4
hiketaon	4
hewn	4
halitherses	4
great	4
ford	4
fair-	4
eurymedon	4
eurybates	4
eupeithes	4
euboea	4
enops	4
elpenor	4
echius	4
earth	4
dread	4
doubling-	4
diores	4
diocles	4
darter	4
damastor	4
cythera	4
cyprian	4
ctesippus	4
clytemnestra	4
chryses	4
chiron	4
chalcis	4
cebriones	4
cadmeans	4
buprasium	4
august	4
arceisius	4
ancle-	4
anchialus	4
amphitrite	4
ambush	4
alcimus	4
aesopus	4
admetus	4
woe	3
well-	3
vixen	3
vain	3
tithonus	3
thyestes	3
theseus	3
strife	3
stichius	3
starry	3
spear-	3
solymi	3
smote	3
sirs	3
sidonians	3
sidon	3
sheep-	3
scyros	3
schedius	3
satnioeis	3
rhodes	3
rhadamanthus	3
pytho	3
pylus	3
prothoenor	3
promachus	3
proetus	3
post	3
polyidus	3
placus	3
phoenicia	3
philoctetes	3
pheres	3
phegeus	3
phaestus	3
phaenops	3
periphas	3
perimedes	3
periboea	3
peneus	3
pelias	3
pelegon	3
pelasgi	3
paphlagonians	3
pandareus	3
otus	3
otrynteus	3
othryoneus	3
ortilochus	3
orion	3
oenomaus	3
odius	3
ocean	3
nisus	3
neoptolemus	3
muse	3
morning	3
midway	3
meonians	3
meonia	3
malea	3
lycon	3
libya	3
leonteus	3
lapithae	3
laestrygonians	3
kin	3
isus	3
iphiclus	3
ilithuia	3
ilioneus	3
idiot	3
hypereia	3
hither	3
helmet	3
helice	3
hecatomb	3
hebe	3
handed	3
haemon	3
grey-	3
gorgon	3
goat	3
glad	3
geese	3
gargarus	3
foot	3
folly	3
fleet	3
ewes	3
evenor	3
eurydamas	3
erinys	3
epistrophus	3
ennomus	3
egyptian	3
echetus	3
echeclus	3
dog	3
dione	3
cyllene	3
crethon	3
counsel	3
cos	3
coon	3
cnossus	3
clymene	3
cloak	3
cleitus	3
clasps	3
ceres	3
cauconians	3
cassandra	3
callicolone	3
bush	3
briseus	3
bias	3
begotten	3
bade	3
augeas	3
atlas	3
astyanax	3
assembly	3
ashen	3
areithous	3
archer	3
aphareus	3
amphitryon	3
amphion	3
amphidamas	3
altes	3
aloeus	3
aegis	3
aegae	3
abydos	3
abantes	3
zethus	2
zelea	2
year-	2
ye	2
wretch	2
windy	2
wind	2
whiter	2
weary	2
war-	2
urn	2
tyro	2
typhoeus	2
tricca	2
town	2
tityus	2
titaresius	2
titans	2
three-	2
thracian	2
thersites	2
thersilochus	2
therewith	2
tethys	2
tecton	2
tartarus	2
tamarisk	2
talaus	2
sundown	2
sulphur	2
subtlety	2
stratius	2
stockman	2
spirit	2
spear	2
son-	2
slumber	2
sisyphus	2
sintians	2
shod	2
shipboard	2
shield	2
semele	2
scamandrius	2
sangarius	2
sandy	2
salamis	2
saffron	2
ruth	2
rumour	2
rhigmus	2
rhexenor	2
red	2
pyrasus	2
pylartes	2
pylaemenes	2
pteleum	2
prince	2
polyctor	2
pollux	2
podes	2
podargus	2
podarge	2
podalirius	2
pleiads	2
plank	2
pieria	2
phylas	2
phrygians	2
phrontis	2
phronius	2
phorbas	2
philomeleides	2
phalces	2
phaedimus	2
phaeacian	2
periphetes	2
pelops	2
pelion	2
pelasgian	2
pelagon	2
peirous	2
peirithous	2
pasithea	2
panic-	2
paeonians	2
paeonia	2
paeon	2
ossa	2
ortygia	2
ops	2
opoeis	2
opheltius	2
ophelestes	2
oicleus	2
oenops	2
oechalia	2
nireus	2
nigh	2
nereus	2
nay	2
naubolus	2
nastes	2
naiads	2
mynes	2
mydon	2
multitude	2
mould	2
molus	2
moliones	2
miletus	2
mesthles	2
mesaulius	2
merops	2
mermerus	2
merman	2
menesthius	2
men-	2
men	2
melantho	2
melampus	2
meet	2
may	2
mastor	2
master	2
marpessa	2
mantius	2
maera	2
maeon	2
madman	2
mace-	2
lyctus	2
leucus	2
lethus	2
lesbians	2
lelegae	2
leiocritus	2
larissa	2
laothoe	2
laogonus	2
laodocus	2
laodameia	2
lampetie	2
laerceus	2
jut	2
jove-	2
ivory	2
ismarus	2
island	2
isander	2
iphianassa	2
iolcus	2
ill	2
iardanus	2
iamenus	2
ialmenus	2
hypsenor	2
hyperesia	2
hyperenor	2
hypeirochus	2
hyle	2
horn	2
hippotion	2
hippodameia	2
hermione	2
henceforward	2
helos	2
hellenes	2
heifer	2
hecamede	2
harpalion	2
halizoni	2
halius	2
gyrae	2
godlike	2
girt	2
ganymede	2
gaia	2
full-	2
fro	2
footed	2
fate	2
farewell	2
fair	2
exclaimed	2
eurynomus	2
eudorus	2
euchenor	2
erymas	2
eriopis	2
erichthonius	2
erechtheus	2
epicles	2
epicaste	2
ephialtes	2
enyo	2
enope	2
elephenor	2
eleon	2
elatus	2
elatreus	2
eioneus	2
echepolus	2
echephron	2
echeneus	2
earthquake	2
earth-	2
eagle	2
dymas	2
dun	2
discord	2
dine	2
demoptolemus	2
deep-	2
daughter	2
dares	2
ctimene	2
cteatus	2
cruel	2
cross	2
cretheus	2
cretan	2
corinth	2
coiranus	2
clytoneus	2
cloud	2
clonius	2
cleopatra	2
cisses	2
cilla	2
cilicians	2
chrysothemis	2
chimaera	2
chase	2
chalcodon	2
cephissus	2
castor	2
carians	2
cardamyle	2
capys	2
caletor	2
caeneus	2
cadmus	2
borus	2
bold	2
boeotian	2
blemish	2
bear	2
bathycles	2
bastard	2
barren	2
balius	2
awe	2
aulis	2
augeae	2
atymnius	2
assaracus	2
ascanius	2
ascania	2
arne	2
armed	2
ariadne	2
aretias	2
arene	2
areilycus	2
archeptolemus	2
archelochus	2
arcesilaus	2
arcadians	2
apisaon	2
apeira	2
anticlus	2
anthemion	2
anthea	2
anon	2
and-	2
ancaeus	2
amyntor	2
amydon	2
amphius	2
amphiaraus	2
amphialus	2
amazons	2
amarynceus	2
alcmaon	2
alcathous	2
alalcomene	2
agastrophus	2
aetolian	2
aetolia	2
aethon	2
aethe	2
aesepus	2
aepea	2
aegyptus	2
aegyptius	2
aeaean	2
adrastus	2
acropolis	2
achelous	2
zthem	1
zeus	1
yea	1
wrong?—but	1
wound	1
winnowing-	1
winning-	1
wine-	1
wind-	1
wildfire	1
wild-	1
whither	1
whet	1
wheel-	1
welkin	1
wedlock	1
wasps	1
washing-	1
washes	1
war	1
wain	1
vouchsafe	1
vivid	1
visits	1
varne	1
valour	1
valleyed	1
valiant	1
umpire	1
ucalegon	1
tyndarus	1
tyndareus	1
tychius	1
troilus	1
troezenus	1
troezene	1
tripods	1
trechus	1
trachis	1
topmost	1
titanus	1
tiryns	1
time	1
thymoetes	1
thymbraeus	1
thymbra	1
thunderer	1
thunder-	1
thunder	1
thryum	1
thryoessa	1
thronium	1
thrasydemus	1
thrasius	1
thootes	1
thoosa	1
thong-	1
thon	1
thoe	1
thither	1
thisbe	1
thessalus	1
thespeia	1
thebaeus	1
the	1
thaumacia	1
thamyris	1
thalysius	1
thalpius	1
thalia	1
teuthras	1
teuthranus	1
teutamus	1
terpes	1
tereia	1
tenthredon	1
temesa	1
telepylus	1
telepylos	1
telephus	1
telemus	1
telea	1
taygetus	1
tawny	1
tarphe	1
tantalus	1
talaemenes	1
syra	1
syme	1
swift	1
sweet-	1
sweet	1
surfeit	1
sunium	1
sun-	1
summon	1
styra	1
stymphelus	1
sturdy	1
strophius	1
strip	1
streams	1
stratie	1
straits	1
strait	1
stone	1
sthenelaus	1
stepmother	1
stentor	1
steersmen	1
starting-	1
star	1
stand	1
stag	1
stable-	1
spun	1
sphelus	1
speo	1
speeches	1
song	1
"soldiers—""hither"	1
solace	1
smith	1
sminthe	1
slim-	1
sister	1
sirrah	1
sipylus	1
sinews	1
silent	1
sidonia	1
sicyon	1
sicels	1
sicania	1
shun	1
"ships""—and"	1
shingle	1
shields	1
shall	1
shaggy	1
seven-	1
sestos	1
sesamus	1
selli	1
selepus	1
selagus	1
secret	1
sea-	1
scorn	1
scolus	1
schoenus	1
scarphe	1
scandea	1
satnius	1
samothrace	1
salmoneus	1
rush-	1
round	1
rocky	1
rivers	1
river	1
riot	1
ribald	1
rhytium	1
rhodius	1
rhipae	1
rhene	1
rheithron	1
rhea	1
rhaea	1
reconnoitre	1
rebukes	1
raven	1
ransom	1
quest	1
pyris	1
pyriphlegethon	1
pyraechmes	1
pylon	1
pylene	1
pylaeus	1
pylaemanes	1
pygmies	1
public	1
ptolemaeus	1
psyra	1
prytanis	1
prymneus	1
pry	1
proud	1
proto	1
protiaon	1
prothoon	1
proreus	1
proofs	1
procris	1
press	1
presently	1
pray	1
practius	1
portheus	1
poplar	1
ponteus	1
polyxenus	1
polytherses	1
polyphontes	1
polyphetes	1
polypheides	1
polypemon	1
polyneus	1
polymelus	1
polymele	1
polydora	1
polydamna	1
polycaste	1
polyaemon	1
poias	1
podarces	1
plot	1
plataea	1
pityeia	1
pittheus	1
pig	1
pidytes	1
physicians	1
phylomedusa	1
phylo	1
phthires	1
phthians	1
phradmon	1
phoenician	1
phlegyans	1
philetor	1
pherusa	1
phereclus	1
phere	1
pheras	1
pheneus	1
pheidippus	1
pheidas	1
pheia	1
pheae	1
phausius	1
pharos	1
pharis	1
phaethusa	1
phaethon	1
phaesus	1
phaedra	1
peteon	1
perse	1
pero	1
perimus	1
perieres	1
periclymenus	1
pergasus	1
perea	1
peraebi	1
peloponnese	1
pellene	1
pelasgic	1
peires	1
peiraeus	1
pedaeus	1
pedaeum	1
pear	1
parthenius	1
parrhasia	1
paphos	1
panope	1
pandocus	1
pandion	1
pammon	1
palmys	1
palace	1
paesus	1
oxen	1
ox-	1
ox	1
otreus	1
orus	1
orthe	1
orthaeus	1
orneae	1
ormenius	1
oresbius	1
oreithuia	1
orcus	1
opous	1
onetor	1
onchestus	1
omens	1
olympians	1
oloosson	1
olizon	1
olenus	1
olene	1
ogygian	1
ogre	1
ofttimes	1
oetylus	1
oedipus	1
oedipodes	1
oechalian	1
ocyalus	1
ochesius	1
ocalea	1
oats	1
oath-	1
o	1
nysa	1
nymph	1
nomion	1
nisyrus	1
nisa	1
nightingale	1
news	1
nevertheless	1
nevermore	1
nesaia	1
neritus	1
nericum	1
nereids	1
nemertes	1
neaera	1
nauteus	1
natured	1
myrsinus	1
myrmidon	1
myrine	1
mygdon	1
mycalessus	1
mycale	1
mow	1
mountain	1
morys	1
mooring-	1
moly	1
molion	1
mnesus	1
minyeius	1
minyas	1
minyan	1
minstrel	1
mine	1
mimas	1
mightiest	1
mightier	1
might	1
mien	1
midriff	1
midea	1
