verb	frequency
was	2167
had	1731
is	1585
have	1521
were	1156
are	1119
be	1115
said	888
did	761
do	683
has	679
went	628
go	559
come	546
let	537
been	495
came	481
take	440
made	425
took	403
see	377
tell	351
am	340
set	323
answered	300
give	294
make	281
saw	266
spoke	254
fell	252
left	243
put	233
got	225
know	221
say	216
killed	216
brought	210
gave	207
fight	202
get	198
saying	193
heard	181
struck	177
sent	177
laid	167
stood	165
lay	163
going	157
bring	153
find	152
told	149
keep	149
done	147
being	139
stay	138
speak	138
held	135
drew	135
hear	132
reached	124
think	120
given	119
began	117
kept	115
gone	115
hold	114
sat	112
stand	111
sprang	111
leave	111
having	109
kill	108
taken	107
found	106
send	103
fall	101
cried	100
look	98
called	97
led	96
fighting	96
turned	95
coming	94
hit	93
live	92
cut	91
help	90
bore	90
lying	88
threw	87
eat	86
return	85
lie	83
raised	82
save	81
drink	80
rose	77
looking	77
flew	77
caught	77
turn	76
drove	76
drive	76
want	75
knew	75
bear	74
fallen	73
making	72
bid	71
stayed	70
ask	70
comes	69
looked	68
draw	67
fly	66
bade	66
show	64
seen	64
gathered	64
filled	64
sit	63
prayed	63
wounded	60
taking	59
slain	59
break	59
carried	58
lost	56
fought	56
does	56
covered	56
bound	56
doing	55
replied	54
call	54
weeping	52
pray	52
offered	52
followed	52
born	52
beat	52
sitting	51
reach	51
killing	51
escape	51
used	50
shouted	50
giving	50
getting	50
flying	50
driven	49
thought	48
sleep	48
listen	48
die	48
grant	47
trying	46
try	46
broke	46
bearing	46
wish	45
seeing	45
ran	45
fear	45
carry	45
built	45
flung	44
talk	43
passed	43
meet	43
wept	41
round	41
washed	40
like	40
talking	38
sped	38
run	38
lived	38
dare	38
wash	37
spoken	37
marry	37
lifted	37
learn	37
met	36
leaving	36
aimed	36
standing	35
face	35
blessed	35
suffered	34
saved	34
running	34
protect	34
poured	34
offer	34
living	34
become	34
wanted	33
wait	33
eating	33
attack	33
sail	32
lies	32
fetch	32
driving	32
deemed	32
closed	32
borne	32
sacked	31
mean	31
makes	31
hung	31
hide	31
cry	31
bringing	31
thrown	30
shed	30
praying	30
knows	30
holding	30
gleaming	30
forget	30
fled	30
dwell	30
swear	29
spread	29
perished	29
loved	29
defend	29
asked	29
appeared	29
whereon	28
waiting	28
tore	28
throw	28
slew	28
placed	28
pay	28
married	28
keeping	28
hurled	28
burning	28
smote	27
sailed	27
goes	27
follow	27
died	27
care	27
win	26
perish	26
hope	26
fingered	26
crying	26
turning	25
spring	25
sleeping	25
remember	25
pierced	25
happened	25
broken	25
suffer	24
stripped	24
sing	24
seems	24
lashed	24
clad	24
avenge	24
vouchsafed	23
tried	23
speaking	23
slay	23
seized	23
sack	23
returned	23
remain	23
received	23
gather	23
fail	23
begin	23
became	23
wrought	22
vouchsafe	22
takes	22
slept	22
roused	22
need	22
join	22
handed	22
grow	22
grew	22
divided	22
consider	22
thinking	21
strip	21
setting	21
seem	21
rushed	21
raise	21
pass	21
opened	21
moved	21
mixed	21
missed	21
lose	21
honoured	21
grasped	21
dwelt	21
understand	20
string	20
showed	20
says	20
rebuked	20
promised	20
joined	20
eaten	20
drawn	20
dragging	20
darted	20
cease	20
burned	20
served	19
seated	19
robbed	19
prove	19
grieve	19
gives	19
forced	19
feared	19
endowed	19
dropped	19
drawing	19
choose	19
armed	19
anointed	19
yield	18
treated	18
suppose	18
stretched	18
smiled	18
paid	18
marvelled	18
lives	18
lead	18
escaped	18
ate	18
addressed	18
accept	18
vaunted	17
urge	17
shook	17
sees	17
sacrifice	17
regards	17
please	17
persuade	17
paying	17
overcome	17
laughed	17
hidden	17
groaning	17
felt	17
failed	17
embrace	17
cross	17
cast	17
besought	17
beheld	17
begging	17
beaten	17
yoked	16
worn	16
weep	16
waited	16
visit	16
urged	16
treat	16
stuck	16
strike	16
shoot	16
seemed	16
rising	16
named	16
move	16
kissed	16
hurried	16
hate	16
growing	16
grieving	16
exclaimed	16
charge	16
calling	16
believe	16
wrapped	15
wanting	15
stricken	15
shown	15
shouting	15
sends	15
putting	15
picked	15
obeyed	15
mourned	15
mounted	15
meant	15
love	15
lift	15
leaning	15
leading	15
helping	15
grown	15
finished	15
entered	15
dismayed	15
cover	15
commanded	15
close	15
chosen	15
burn	15
behold	15
wound	14
won	14
thrust	14
throwing	14
spare	14
shot	14
rest	14
remained	14
refuse	14
rattling	14
rang	14
prevent	14
pressed	14
prepare	14
pierce	14
obey	14
mixing	14
miss	14
lit	14
keeps	14
hid	14
happen	14
girded	14
flowing	14
feeding	14
feed	14
falling	14
dying	14
devour	14
destroy	14
cunning	14
chose	14
cheering	14
bury	14
working	13
worked	13
wore	13
wear	13
tear	13
swore	13
strode	13
speared	13
settle	13
rue	13
raging	13
raged	13
quit	13
loosed	13
letting	13
known	13
gain	13
forgotten	13
fitted	13
feasted	13
expect	13
doomed	13
disposed	13
deal	13
daring	13
cheered	13
carrying	13
bred	13
blame	13
beginning	13
asking	13
trust	12
tearing	12
spear	12
sang	12
rouse	12
returning	12
rained	12
question	12
press	12
open	12
mind	12
