adjective	frequency
old	442
other	413
great	297
little	235
more	232
same	211
long	210
last	209
such	200
own	200
good	196
white	168
many	154
first	150
whale	134
small	125
full	114
whole	112
poor	109
strange	98
much	96
few	93
certain	89
dead	87
true	85
wild	83
young	79
large	79
black	75
high	74
vast	73
sperm	71
most	71
very	70
like	69
least	69
general	61
open	59
short	57
present	57
fine	57
second	56
peculiar	56
entire	55
broad	55
deep	54
curious	54
right	53
main	52
best	51
mast	50
dark	50
hard	49
particular	48
lower	48
common	48
several	47
mighty	46
green	44
noble	43
next	43
grand	43
wondrous	42
round	41
only	41
mere	41
better	41
new	40
wide	39
sudden	39
single	39
various	38
sharp	38
ready	38
mortal	38
whaling	37
sure	37
famous	37
strong	36
previous	35
heavy	35
easy	35
unknown	34
quick	34
mad	34
human	34
blue	34
red	33
natural	33
fair	33
visible	32
indian	32
half	32
proper	31
fresh	31
soft	30
possible	30
huge	30
clear	30
vain	29
upper	29
steady	29
plain	29
final	29
top	28
mild	28
low	28
free	28
fast	28
chief	28
ancient	28
wooden	27
live	27
less	27
cold	27
sweet	26
enormous	26
considerable	26
american	26
alive	26
third	25
thick	25
similar	25
silent	25
different	25
wise	24
watery	24
royal	24
regular	24
loose	24
english	24
complete	24
real	23
hot	23
fiery	23
d''ye	23
bright	23
wonderful	22
terrible	22
tall	22
worse	21
warm	21
swift	21
distant	21
deadly	21
spare	20
slightest	20
gigantic	20
former	20
empty	20
-	20
yellow	19
solitary	19
profound	19
precise	19
outer	19
original	19
ordinary	19
largest	19
important	19
eternal	19
enough	19
close	19
awful	19
straight	18
secret	18
prodigious	18
precious	18
pale	18
nameless	18
modern	18
lofty	18
intense	18
golden	18
dutch	18
thin	17
solid	17
separate	17
late	17
hollow	17
higher	17
foolish	17
fatal	17
cool	17
careful	17
broken	17
brave	17
bold	17
bad	17
unaccountable	16
scientific	16
rare	16
numerous	16
keen	16
ivory	16
invisible	16
impossible	16
immense	16
distinct	16
clean	16
violent	15
uncommon	15
special	15
perilous	15
mystic	15
marvellous	15
latter	15
horrible	15
horizontal	15
frantic	15
endless	15
civilized	15
calm	15
afraid	15
worth	14
weary	14
utmost	14
unseen	14
terrific	14
pleasant	14
lively	14
light	14
immortal	14
ill	14
french	14
earthly	14
customary	14
critical	14
continual	14
content	14
blind	14
subsequent	13
remarkable	13
private	13
practical	13
ponderous	13
pointed	13
opposite	13
honest	13
greater	13
gallant	13
extreme	13
eager	13
double	13
dim	13
deeper	13
dangerous	13
christian	13
big	13
unusual	12
unearthly	12
social	12
roman	12
rapid	12
quiet	12
past	12
native	12
narrow	12
naked	12
middle	12
lonely	12
holy	12
greatest	12
glad	12
further	12
fearful	12
external	12
excellent	12
equal	12
dumb	12
dry	12
desperate	12
crazy	12
additional	12
valuable	11
temporary	11
superior	11
subtle	11
stranger	11
spiritual	11
simple	11
significant	11
pagan	11
oriental	11
odd	11
obvious	11
mysterious	11
lovely	11
loud	11
left	11
leeward	11
known	11
indispensable	11
indifferent	11
hearted	11
fierce	11
convenient	11
central	11
wicked	10
vital	10
venerable	10
valiant	10
vague	10
uncertain	10
superstitious	10
spanish	10
southern	10
solemn	10
smallest	10
smaller	10
sick	10
serious	10
scarce	10
remote	10
pious	10
perpendicular	10
nearest	10
murderous	10
moody	10
monstrous	10
lean	10
inferior	10
individual	10
ignorant	10
hideous	10
grim	10
foul	10
fancy	10
faint	10
domestic	10
direful	10
dense	10
dear	10
cunning	10
clumsy	10
bodily	10
armed	10
appalling	10
vivid	9
vigorous	9
usual	9
unspeakable	9
tumultuous	9
troubled	9
tremendous	9
stiff	9
stern	9
stark	9
singular	9
seventh	9
sensible	9
savage	9
sad	9
queer	9
outward	9
occasional	9
northern	9
nigh	9
nervous	9
negro	9
mystical	9
miserable	9
malicious	9
larger	9
intolerable	9
interior	9
independent	9
incredible	9
imperial	9
grey	9
fourth	9
firm	9
fat	9
fashioned	9
far	9
everlasting	9
direct	9
devilish	9
confidential	9
bent	9
barbaric	9
awake	9
anxious	9
absent	9
able	9
worthy	8
western	8
unnatural	8
universal	8
transparent	8
timid	8
stout	8
spinal	8
specific	8
sole	8
snowy	8
smooth	8
slow	8
slight	8
rolling	8
rich	8
reasonable	8
pure	8
preliminary	8
popular	8
lucky	8
japanese	8
interesting	8
intent	8
inscrutable	8
infernal	8
hopeless	8
historical	8
highest	8
hardy	8
happy	8
grown	8
german	8
gay	8
future	8
foreign	8
fellow	8
exact	8
evil	8
earnest	8
daily	8
cruel	8
crooked	8
conscious	8
comfortable	8
brief	8
bitter	8
beautiful	8
active	8
about	8
wretched	7
wilful	7
upright	7
unctuous	7
ultimate	7
surprising	7
supernatural	7
stove	7
square	7
spout	7
sober	7
sized	7
shaggy	7
serene	7
sacred	7
romantic	7
revolving	7
proud	7
prolonged	7
pine	7
necessary	7
melancholy	7
mechanical	7
measureless	7
majestic	7
magnetic	7
lone	7
intelligent	7
inexplicable	7
inasmuch	7
immediate	7
identical	7
honorable	7
gentle	7
furious	7
funny	7
fearless	7
false	7
faithful	7
extraordinary	7
equatorial	7
enchanted	7
elevated	7
elastic	7
early	7
dull	7
dismal	7
delicate	7
conspicuous	7
busy	7
buoyant	7
brown	7
bottomless	7
bloody	7
bare	7
aught	7
apt	7
alone	7
wrong	6
wrinkled	6
woollen	6
wet	6
useless	6
uplifted	6
unnecessary	6
unconscious	6
treacherous	6
sullen	6
striking	6
strained	6
slouched	6
slippery	6
sleepy	6
silvery	6
seeming	6
sagacious	6
safe	6
ripe	6
probable	6
prime	6
potent	6
portentous	6
polished	6
polar	6
peaceful	6
motionless	6
minded	6
leviathanic	6
leaky	6
irregular	6
insufferable	6
inclined	6
immemorial	6
humorous	6
hidden	6
hereditary	6
heedful	6
heathenish	6
harmless	6
handed	6
frozen	6
fro	6
frightened	6
fragrant	6
foremost	6
fore	6
fond	6
flat	6
finest	6
fifth	6
extra	6
experienced	6
due	6
dreadful	6
divine	6
dexterous	6
deepest	6
decent	6
correct	6
conscientious	6
comparative	6
colossal	6
circular	6
capable	6
brawny	6
blank	6
bearded	6
aware	6
audacious	6
amazing	6
vertical	5
vengeful	5
vapory	5
vacant	5
utter	5
useful	5
unwonted	5
unimaginable	5
unharmed	5
unconditional	5
tough	5
touching	5
tolerable	5
tempestuous	5
swart	5
sunny	5
sunken	5
sufficient	5
successive	5
successful	5
subterranean	5
sublime	5
stubborn	5
strongest	5
steep	5
speedy	5
sorry	5
severe	5
semi	5
secure	5
saith	5
rude	5
ridiculous	5
remorseless	5
reliable	5
reckless	5
random	5
prudent	5
professional	5
pretty	5
preternatural	5
pre	5
polite	5
outlandish	5
mutual	5
mouldy	5
monomaniac	5
military	5
maternal	5
massive	5
marchant	5
looking	5
loaded	5
lighter	5
leathern	5
laden	5
joint	5
irresistible	5
internal	5
instantaneous	5
inner	5
infinite	5
incredulous	5
impatient	5
imminent	5
hospitable	5
heavenly	5
hearty	5
healthy	5
haughty	5
guilty	5
gracious	5
gold	5
glorious	5
gloomy	5
generous	5
furthest	5
forward	5
foremast	5
familiar	5
fabulous	5
exhausted	5
excited	5
egyptian	5
dusky	5
dreary	5
discernible	5
deliberate	5
darker	5
credulous	5
countless	5
cosy	5
corrupt	5
coral	5
continuous	5
constant	5
congenial	5
comical	5
colored	5
closed	5
cheerful	5
celestial	5
cannibal	5
backward	5
asleep	5
artificial	5
aright	5
anatomical	5
affrighted	5
admirable	5
woof	4
willing	4
well	4
welcome	4
warp	4
visual	4
veritable	4
unworthy	4
untutored	4
unsounded	4
unrecorded	4
unobstructed	4
unconquerable	4
unalterable	4
twisted	4
twin	4
turkish	4
tropical	4
tranquil	4
tragic	4
tossed	4
token	4
tight	4
tertiary	4
tendinous	4
tender	4
tawny	4
tame	4
suspicious	4
surprised	4
supplementary	4
sufferable	4
submerged	4
stronger	4
strict	4
strangest	4
stationary	4
stately	4
splintered	4
south	4
sociable	4
silver	4
silly	4
sidelong	4
sharper	4
shallow	4
russian	4
rough	4
rocky	4
riotous	4
respective	4
regal	4
ragged	4
purple	4
primal	4
prepared	4
predestinated	4
practicable	4
plaited	4
physical	4
personal	4
permanent	4
periodical	4
peaceable	4
parallel	4
palpable	4
pallid	4
oldest	4
oily	4
official	4
oblivious	4
oaken	4
numberless	4
nautical	4
naught	4
mouthed	4
momentous	4
mixed	4
mistaken	4
miscellaneous	4
miraculous	4
mightiest	4
manned	4
loftiest	4
lifeless	4
learned	4
larboard	4
laborious	4
kindred	4
kind	4
italian	4
involved	4
invariable	4
intrepid	4
insular	4
innocent	4
innermost	4
infallible	4
indolent	4
indefinite	4
impregnable	4
impious	4
hooded	4
helpless	4
heedless	4
heartless	4
haired	4
greek	4
gorgeous	4
globular	4
geological	4
genial	4
