adverb	frequency
not	1214
so	845
now	780
then	624
up	492
there	448
out	352
only	335
down	323
here	318
still	311
more	273
again	257
very	251
n''t	246
most	209
yet	207
never	206
ever	205
all	202
almost	194
even	190
too	182
away	181
off	178
as	171
far	155
once	141
on	141
well	135
over	135
thus	132
soon	129
much	127
long	118
just	117
back	99
however	93
also	91
in	90
perhaps	89
indeed	89
sometimes	87
at	83
always	80
first	76
often	72
though	71
rather	69
round	68
therefore	67
together	62
before	62
last	60
enough	57
aloft	56
no	55
slowly	52
forth	51
suddenly	50
nevertheless	50
about	50
further	49
forward	47
else	46
somehow	44
especially	44
by	44
along	42
half	41
plainly	39
below	39
right	36
that	34
nearly	34
hard	34
ashore	34
alone	34
ago	34
hardly	33
completely	33
close	33
quite	32
is	32
hence	32
already	32
generally	31
really	30
possibly	30
high	30
strangely	29
fast	29
entirely	29
certainly	29
altogether	29
meanwhile	28
aside	28
wholly	27
straight	27
precisely	27
overboard	27
finally	27
somewhat	26
otherwise	26
ahead	26
after	26
seldom	25
nt	25
less	25
somewhere	24
pretty	24
instead	24
exactly	24
afterwards	24
instantly	23
home	23
besides	23
likewise	22
better	22
truly	21
quickly	21
near	21
alongside	21
through	20
moreover	20
meantime	20
ere	20
directly	20
swiftly	19
sideways	19
rapidly	19
quietly	19
presently	19
merely	19
thereby	18
regularly	18
jolly	18
previously	17
originally	17
immediately	17
continually	17
longer	16
fully	16
fairly	16
behind	16
actually	16
above	16
silently	15
probably	15
frequently	15
doubt	15
chiefly	15
best	15
aboard	15
upwards	14
simultaneously	14
partly	14
occasionally	14
exceedingly	14
closely	14
apart	14
anywhere	14
utterly	13
sooner	13
slightly	13
readily	13
little	13
late	13
indirectly	13
elsewhere	13
calmly	13
aft	13
twice	12
sadly	12
new	12
naturally	12
involuntarily	12
freely	12
firmly	12
downwards	12
doubtless	12
deep	12
bodily	12
afloat	12
wide	11
strongly	11
steadily	11
of	11
mostly	11
invariably	11
infallibly	11
carefully	11
alike	11
softly	10
simply	10
shortly	10
mildly	10
gradually	10
gently	10
boldly	10
wildly	9
violently	9
temporarily	9
sufficiently	9
seemingly	9
scarcely	9
properly	9
lengthwise	9
intently	9
hereafter	9
full	9
either	9
easily	9
dimly	9
considerably	9
apparently	9
