bigram	frequency
sperm whale	148
white whale	94
moby dick	80
old man	62
captain ahab	61
right whale	42
cried ahab	32
captain peleg	29
let us	27
one hand	27
one side	23
never mind	22
every one	22
cried stubb	22
look ye	22
years ago	18
new bedford	18
sperm whales	17
whale fishery	17
will ye	17
cried starbuck	17
young man	16
something like	16
cape horn	16
lower jaw	16
greenland whale	15
whaling voyage	15
ivory leg	15
well known	15
ere long	14
old ahab	14
ye see	14
captain bildad	14
ever since	13
one hundred	12
three boats	12
much like	12
every way	11
poor queequeg	11
one knows	11
feet long	11
present day	11
forty years	11
chief mate	11
almost every	11
give way	11
must needs	11
great sperm	11
ahab stood	11
first time	11
one single	10
three years	10
half way	9
upper part	9
every day	9
mortal man	9
seven hundred	9
still another	9
old times	9
father mapple	9
first place	9
good time	9
will sometimes	9
four boats	9
one man	9
even now	8
good deal	8
next morning	8
may possibly	8
may seem	8
never heard	8
great leviathan	8
must go	8
open air	8
great whale	8
may say	8
general thing	8
one way	8
three mast	8
poor fellow	8
will tell	8
five feet	8
almost thought	8
south sea	8
come along	8
almost seemed	8
whale must	8
white water	8
old age	8
three days	8
good luck	7
new zealand	7
long time	7
three hundred	7
thousand miles	7
little negro	7
every time	7
one arm	7
one end	7
looks like	7
little flask	7
never yet	7
one day	7
good bye	7
one morning	7
hark ye	7
new england	7
stricken whale	7
twenty feet	7
three feet	7
book ii	7
come aboard	7
open sea	7
good hope	7
don sebastian	7
far away	7
come back	7
another thing	7
dead whale	7
great whales	7
whale now	7
next day	7
looked like	6
present case	6
turned round	6
drawing nigh	6
lower part	6
whale will	6
little king	6
watery world	6
run away	6
old dutch	6
every man	6
one else	6
well nigh	6
full grown	6
long ago	6
rolled away	6
closed eyes	6
poor pip	6
spare boats	6
stranger captain	6
whaling vessels	6
old manxman	6
american whale	6
see whether	6
great part	6
will yield	6
true enough	6
drew nigh	6
may well	6
indian ocean	6
centuries ago	6
two feet	6
white man	6
first man	6
ahab must	6
one leg	6
ten times	6
whale ship	6
one ship	6
heidelburgh tun	6
steering oar	6
headed whale	6
new york	6
samuel enderby	6
three masts	6
like two	6
fair wind	6
several times	6
old bildad	6
tell ye	6
thirty feet	5
will now	5
bless ye	5
slouched hat	5
will still	5
say ye	5
three mates	5
ship sailed	5
great god	5
one night	5
almost entirely	5
even though	5
little man	5
pequod meets	5
two hundred	5
never saw	5
might almost	5
however much	5
high time	5
turning round	5
set forth	5
god keep	5
two boats	5
second iron	5
poor little	5
drawing near	5
thank ye	5
saturday night	5
particular whale	5
rolling sea	5
ever sailed	5
queequeg now	5
think ye	5
one thing	5
next moment	5
ahab now	5
murmured starbuck	5
free will	5
every night	5
fiery pit	5
english whalers	5
well done	5
come hither	5
many years	5
give chase	5
must know	5
four oceans	5
huzza porpoise	5
six feet	5
last long	5
one jot	5
mast head	5
though indeed	5
one third	5
went forward	5
third day	5
pagan harpooneers	5
small degree	5
ever saw	5
now comes	5
nantucket sailor	5
captain sleet	5
feet high	5
ten thousand	5
three men	5
like one	5
poor devil	5
world like	5
whale alongside	5
poor devils	5
drew near	5
brought alongside	5
lower away	5
two thirds	5
two days	5
one word	5
one whale	5
just now	5
one small	5
dare say	5
white hump	5
entire length	5
second mate	5
well knew	5
case might	5
will see	5
ye mates	4
fully invested	4
old fleece	4
look sharp	4
last night	4
yet now	4
little pip	4
ye harpooneers	4
felt like	4
utterly unknown	4
round cape	4
old shipmate	4
almost invariably	4
ahab seemed	4
last one	4
see ye	4
ivory arm	4
whaling captains	4
lower end	4
still better	4
critical instant	4
cruising ground	4
sag harbor	4
something less	4
one poor	4
whole length	4
second thoughts	4
now come	4
sail yard	4
eight feet	4
will come	4
every soul	4
good cheer	4
little craft	4
first sight	4
ye hear	4
whole world	4
now took	4
forecastle deck	4
three whales	4
though now	4
almost wholly	4
present instance	4
will show	4
stove boat	4
last man	4
rare old	4
many cases	4
either hand	4
forty feet	4
man may	4
marchant service	4
last chapter	4
profound darkness	4
black fish	4
poor lad	4
sperm oil	4
look now	4
voyage round	4
pacific ocean	4
first descried	4
upper end	4
proper place	4
sleep two	4
three lines	4
old manx	4
another ship	4
wrinkled brow	4
anybody else	4
like three	4
will find	4
two ships	4
last came	4
four years	4
don pedro	4
cried peleg	4
fifty feet	4
cried queequeg	4
dat dam	4
rare virtue	4
mind ye	4
ten feet	4
last day	4
ye seen	4
give us	4
chapter iii	4
rather hard	4
fifty years	4
might well	4
wise stubb	4
two captains	4
south seas	4
dropped astern	4
good man	4
tells us	4
left behind	4
second day	4
proper time	4
will make	4
brave man	4
well know	4
hundred feet	4
nothing like	4
muttered ahab	4
one foot	4
far beneath	4
manx sailor	4
first thing	4
till morning	4
natural history	4
thirty years	4
thought ahab	4
three points	4
dat whale	4
golden inn	4
like stubb	4
clear spirit	4
ten inches	4
book iii	4
high aloft	4
stood erect	4
regularly hunted	4
fair play	4
now almost	4
ever heard	4
well enough	4
ivory heel	4
every eye	4
turn round	4
chapter ii	4
boats now	4
drugged whales	4
will yet	4
together like	4
captain mayhew	4
still remained	4
good night	4
will often	4
whaling scenes	4
pine tree	4
old black	4
low dutch	4
next instant	4
inclined plane	4
way along	4
god bless	4
around us	4
never seen	4
every sailor	3
new guinea	3
one time	3
five hundred	3
every year	3
strange captain	3
sir clifford	3
whispered stubb	3
now become	3
poor old	3
cried daggoo	3
hosea hussey	3
often happens	3
ye look	3
stop dat	3
great fish	3
due time	3
several days	3
ye shall	3
nearly one	3
cried flask	3
old sea	3
least among	3
white mass	3
old blacksmith	3
set sail	3
first glimpse	3
old thunder	3
rolling waves	3
head like	3
grim death	3
otherwise inexplicable	3
put together	3
one might	3
now take	3
still remain	3
royal mast	3
firmly secured	3
call ye	3
every boat	3
precise instant	3
right whalemen	3
set apart	3
milky way	3
still retained	3
indian oceans	3
wondrous whale	3
right whales	3
manned mast	3
ye raises	3
go back	3
one captain	3
general shape	3
starboard bow	3
old craft	3
whale hunters	3
royal fish	3
great heidelburgh	3
still half	3
pretty nearly	3
maritime life	3
various ships	3
might prove	3
black little	3
little behind	3
certain curious	3
vast bulk	3
much nearer	3
single word	3
till nearly	3
must see	3
like many	3
waves rolled	3
good will	3
going aboard	3
captain pollard	3
train oil	3
gives us	3
many hours	3
just beneath	3
cruising grounds	3
good heavens	3
door mat	3
ob de	3
like queequeg	3
cried don	3
old house	3
true whale	3
french sailor	3
now hard	3
go round	3
sea like	3
floating body	3
new hampshire	3
seemed quite	3
thick blood	3
one whit	3
boat seemed	3
black hull	3
us now	3
large ship	3
old gay	3
shall hereafter	3
ivory pequod	3
bone whales	3
plainly saw	3
fifty yards	3
water like	3
go mad	3
old fellow	3
long rows	3
now called	3
still stranger	3
still higher	3
lower lip	3
cutting tackles	3
seventy breaths	3
tomahawk pipe	3
great south	3
old sag	3
two miles	3
brain seems	3
whale may	3
fresh water	3
ye pull	3
still greater	3
aunt charity	3
chapter iv	3
now came	3
keep cool	3
callest thyself	3
two distinct	3
thousand fathoms	3
precise bearing	3
red men	3
us like	3
whaling ships	3
gave chase	3
