entity	type	frequency
queequeg	PERSON	235
ahab	ORG	185
stubb	PERSON	170
pequod	PERSON	148
starbuck	PERSON	125
ye	PERSON	91
moby dick	PERSON	73
aye	PERSON	72
leviathan	PERSON	64
bildad	PERSON	63
pip	PERSON	59
sperm whale	PERSON	54
sperm	PERSON	53
the white whale	ORG	49
tashtego	PERSON	49
nantucket	GPE	49
daggoo	ORG	33
jonah	GPE	28
greenland	PERSON	28
pacific	LOC	25
fedallah	ORG	25
whale	PERSON	23
parsee	LOC	23
steelkilt	GPE	22
radney	PERSON	22
gabriel	PERSON	20
earth	LOC	19
perth	GPE	18
new bedford	GPE	18
lakeman	PERSON	18
ishmael	GPE	18
yojo	PERSON	17
nantucketer	PERSON	17
captain ahab	PERSON	17
atlantic	LOC	16
flask	PERSON	14
cape horn	LOC	14
captain	ORG	12
bunger	PERSON	12
manxman	PERSON	11
hussey	PERSON	11
fleece	PERSON	11
england	GPE	11
cook	PERSON	11
white whale	ORG	10
whales	PERSON	10
roman	PERSON	10
quaker	ORG	10
japan	GPE	10
derick	PERSON	10
sperm whale''s	PERSON	9
mapple	PERSON	9
london	GPE	9
lima	GPE	9
i.	ORG	9
the white whale''s	ORG	8
solomon	PERSON	8
polar	ORG	8
octavo	ORG	8
mediterranean	LOC	8
joppa	PERSON	8
guernsey	PERSON	8
dough-boy	ORG	8
china	GPE	8
america	GPE	8
africa	LOC	8
lee	PERSON	7
yarman	PERSON	7
west	LOC	7
typhoon	LOC	7
scoresby	PERSON	7
quohog	PERSON	7
pagan	PERSON	7
narwhale	PERSON	7
king-post	ORG	7
jeroboam	PERSON	7
east	LOC	7
don sebastian	PERSON	7
andes	LOC	7
cook	PERSON	6
yea	PERSON	6
vishnoo	GPE	6
thou	PERSON	6
tahiti	ORG	6
sunda	ORG	6
st. george	GPE	6
sperm whales	PERSON	6
noah	PERSON	6
monsieur	ORG	6
hercules	GPE	6
cape	PERSON	6
alabama	GPE	6
adam	PERSON	6
aye	ORG	5
vineyard	ORG	5
tash	PERSON	5
tarshish	ORG	5
sumatra	ORG	5
spain	GPE	5
south sea	LOC	5
sleet	PERSON	5
samuel enderby	PERSON	5
rome	GPE	5
rachel	PERSON	5
perseus	PERSON	5
new york	GPE	5
new england	LOC	5
nay	PERSON	5
mogul	PERSON	5
manilla	PERSON	5
macey	PERSON	5
linnus	GPE	5
line	LOC	5
jungfrau	GPE	5
jove	PERSON	5
java	ORG	5
india	GPE	5
hark ye	PERSON	5
god	PERSON	5
france	GPE	5
duodecimo	PERSON	5
don	PERSON	5
asia	LOC	5
ding	PERSON	4
bulwarks	LOC	4
virtue	PERSON	4
virginia	GPE	4
tranquo	PERSON	4
tis	PERSON	4
time	ORG	4
starbuck and stubb	ORG	4
sag-harbor	ORG	4
prometheus	PERSON	4
porpoise	ORG	4
peru	GPE	4
owen	PERSON	4
nineveh	GPE	4
new zealand	GPE	4
nature	ORG	4
mounttop	PERSON	4
moss	PERSON	4
martha	PERSON	4
jupiter	LOC	4
johnson	PERSON	4
holland	GPE	4
folio	ORG	4
europe	LOC	4
euroclydon	PERSON	4
equator	ORG	4
don pedro	PERSON	4
cologne	PERSON	4
christendom	GPE	4
cetology	GPE	4
carpenter	PERSON	4
captain mayhew	PERSON	4
burtons	ORG	4
bulkington	GPE	4
belshazzar	ORG	4
bachelor	PERSON	4
arctic	LOC	4
andromeda	ORG	4
sperm whale	PERSON	3
joky	PERSON	3
jesty	GPE	3
hem	ORG	3
gamy	GPE	3
dong	PERSON	3
yankees	ORG	3
washington	GPE	3
turk	PERSON	3
tertiary	LOC	3
tartar	ORG	3
starbuck, stubb	PERSON	3
st. peter''s	PERSON	3
st. george''s	GPE	3
spitzbergen	ORG	3
sperm whaler	PERSON	3
south	LOC	3
snodhead	PERSON	3
samuel	PERSON	3
sailor	ORG	3
right whale	PERSON	3
pupella	GPE	3
propontis	GPE	3
procopius	ORG	3
pollard	PERSON	3
pliny	ORG	3
pip	ORG	3
ohio	GPE	3
ocean	LOC	3
north	LOC	3
new guinea	GPE	3
nelson	PERSON	3
napoleon	ORG	3
nantucketers	PERSON	3
mexico	GPE	3
mayhew	PERSON	3
massachusetts	GPE	3
manx sailor	PERSON	3
low dutch	PERSON	3
loose-fish	GPE	3
lazarus	PERSON	3
langsdorff	PERSON	3
labrador	GPE	3
kings	PERSON	3
killer	PERSON	3
job	GPE	3
illinois	GPE	3
iii	ORG	3
hosea hussey	PERSON	3
harris	PERSON	3
grace	ORG	3
gomorrah	GPE	3
globe	ORG	3
garnery	ORG	3
fates	ORG	3
fate	ORG	3
french sailor	PERSON	3
emir	PERSON	3
elijah	ORG	3
egypt	GPE	3
deity	ORG	3
cuvier	ORG	3
crozetts	PERSON	3
constantinople	ORG	3
clifford	PERSON	3
captains	ORG	3
cadiz	PERSON	3
chapter iv	ORG	3
chapter ii	ORG	3
buffalo	GPE	3
bowditch	PERSON	3
bennett	PERSON	3
baltic	LOC	3
azores	ORG	3
aunt charity	ORG	3
antarctic	GPE	3
amsterdam	PERSON	3
alps	LOC	3
abraham	PERSON	3
ye shall	PERSON	2
ye harpooneers	PERSON	2
ye queen''s	PERSON	2
west	LOC	2
us	GPE	2
the united states	GPE	2
the true whale	ORG	2
the south seas	LOC	2
the polar sea	LOC	2
the persian gulf	LOC	2
the pacific ocean	LOC	2
the pacific ocean	LOC	2
the indian ocean	LOC	2
the indian ocean	LOC	2
the cinque ports	ORG	2
the black fish	LOC	2
sun	ORG	2
skirra	ORG	2
rap	ORG	2
oarsman	PERSON	2
negro	ORG	2
moon	PERSON	2
moody ahab	PERSON	2
maty	PERSON	2
lirra	ORG	2
i. e.	PERSON	2
house	ORG	2
helmsman	PERSON	2
harpoon	ORG	2
hark ye	PERSON	2
east	GPE	2
a''ready	PERSON	2
xerxes	PERSON	2
woebegone	ORG	2
whereupon	ORG	2
whalebone	ORG	2
wapping	GPE	2
whales	ORG	2
virgin	GPE	2
vineyarder	PERSON	2
vesuvius	ORG	2
venice	GPE	2
vedas	LOC	2
vancouver	GPE	2
typhoons	ORG	2
twins	PERSON	2
truth	GPE	2
tophet	ORG	2
tom	PERSON	2
thy	PERSON	2
the white whale	ORG	2
thames	GPE	2
texas	GPE	2
teneriffe	ORG	2
temple	LOC	2
tarquin	PERSON	2
tahitian	ORG	2
tashtego	ORG	2
stubb and flask	ORG	2
straightway	GPE	2
steward	PERSON	2
state	ORG	2
st. paul	GPE	2
squid	ORG	2
spring	PERSON	2
specksnyder	ORG	2
sovereign	ORG	2
south america	LOC	2
siberia	LOC	2
shaster	PERSON	2
sea	PERSON	2
savesoul	ORG	2
sam	PERSON	2
sal	PERSON	2
sagittarius	PERSON	2
sag harbor	ORG	2
sicilian sailor	PERSON	2
rose-bud	PERSON	2
rokovoko	GPE	2
right whale''s	PERSON	2
rib	PERSON	2
rattler	PERSON	2
ram	GPE	2
quito	GPE	2
queen anne''s	PERSON	2
quarto	PERSON	2
quakeress	ORG	2
providence	ORG	2
povelson	PERSON	2
poland	GPE	2
plowdon	ORG	2
plato	ORG	2
pharaoh	PERSON	2
peter coffin	PERSON	2
peleg	PERSON	2
paul	PERSON	2
patagonia	GPE	2
parliament	ORG	2
paradise	PERSON	2
pacific	LOC	2
owen chace	PERSON	2
oregon	GPE	2
nile	PERSON	2
niagara	ORG	2
newfoundland	GPE	2
new hampshire	GPE	2
national	ORG	2
