keyword	frequency
ahab	31
whale	26
stubb	11
queequeg	10
sperm	9
starbuck	8
pequod	6
flask	5
captain	5
ship	4
pip	4
head	4
sea	3
peleg	3
man	3
leviathan	3
bildad	3
white	2
tashtego	2
oil	2
jonah	2
harpooneer	2
dick	2
chapter	2
work	1
whiteness	1
water	1
tranquo	1
town	1
time	1
thunder	1
thing	1
temple	1
tail	1
sub	1
steelkilt	1
sleet	1
sir	1
shipmate	1
shark	1
school	1
sailor	1
sail	1
ramadan	1
radney	1
pliny	1
parsee	1
pacific	1
nuee	1
night	1
new	1
nantucket	1
mr.	1
moby	1
memory	1
mast	1
look	1
line	1
leg	1
landlord	1
lakeman	1
iron	1
idol	1
hussey	1
hand	1
guernsey	1
greenland	1
god	1
george	1
gabriel	1
foot	1
folio	1
fleece	1
fish	1
fire	1
father	1
english	1
dutch	1
duke	1
don	1
derick	1
carpenter	1
cabaco	1
bunger	1
bulkington	1
brain	1
book	1
boat	1
blubber	1
blacksmith	1
bedford	1
bed	1
bachelor	1
