noun	verb	frequency
it	was	294
it	is	280
he	was	145
he	had	112
i	have	112
he	''s	97
it	''s	90
i	was	84
i	am	73
i	do	72
i	say	71
they	were	71
they	are	64
he	is	55
i	had	50
he	has	45
whale	is	45
i	thought	44
i	know	42
it	were	40
it	seemed	38
they	have	34
we	are	33
i	think	32
it	has	32
it	had	30
you	are	30
he	seemed	28
he	did	27
i	''ve	27
i	''m	26
i	saw	26
we	were	26
you	see	26
they	had	24
whale	was	24
it	be	23
we	have	23
i	see	22
we	had	21
boat	was	20
i	did	20
it	seems	19
you	know	19
you	have	18
ahab	was	16
boats	were	16
i	tell	16
they	say	16
ship	was	14
we	saw	14
whale	had	14
he	cried	13
he	said	13
i	take	13
whale	has	13
ye	see	13
you	do	13
ahab	had	12
he	goes	12
he	went	12
i	felt	12
i	knew	12
it	said	12
ahab	stood	11
he	made	11
he	saw	11
he	were	11
one	knows	11
thing	is	11
ahab	is	10
he	called	10
he	came	10
he	looked	10
i	came	10
i	feel	10
i	heard	10
stubb	was	10
they	seemed	10
whales	were	10
you	think	10
he	stood	9
he	turned	9
i	told	9
i	went	9
it	came	9
she	had	9
she	was	9
ahab	did	8
he	does	8
he	says	8
he	took	8
head	was	8
i	found	8
line	is	8
queequeg	was	8
things	are	8
we	went	8
whale	are	8
ye	have	8
he	knew	7
he	thought	7
he	told	7
i	said	7
i	stood	7
it	being	7
it	did	7
it	turned	7
man	had	7
man	has	7
men	were	7
ship	had	7
ship	is	7
they	did	7
they	do	7
they	saw	7
we	do	7
whales	are	7
you	come	7
you	hear	7
you	say	7
you	were	7
boat	is	6
eyes	were	6
he	got	6
he	kept	6
he	takes	6
i	go	6
i	hold	6
i	look	6
i	stand	6
man	is	6
sea	is	6
starbuck	was	6
they	call	6
they	tell	6
we	did	6
we	found	6
whale	be	6
whales	had	6
you	''re	6
you	had	6
you	stand	6
''s	have	5
hands	were	5
he	ai	5
he	being	5
he	comes	5
he	do	5
he	gave	5
he	knows	5
he	looks	5
he	makes	5
he	seems	5
i	come	5
i	give	5
i	looked	5
i	made	5
i	seen	5
it	comes	5
it	does	5
it	go	5
man	was	5
men	are	5
she	is	5
they	look	5
they	said	5
we	find	5
world	is	5
ye	do	5
you	be	5
you	find	5
you	go	5
you	look	5
deck	is	4
eyes	are	4
he	be	4
he	bore	4
he	have	4
he	held	4
he	spoke	4
head	is	4
heads	are	4
him	go	4
him	is	4
himself	was	4
his	being	4
i	been	4
i	call	4
i	find	4
i	gave	4
i	got	4
i	leave	4
one	was	4
queequeg	had	4
stubb	did	4
they	called	4
they	know	4
they	made	4
they	stood	4
things	were	4
we	go	4
whales	have	4
ye	hear	4
ye	seen	4
you	call	4
you	saw	4
''s	see	3
ahab	has	3
ahab	seemed	3
boat	seemed	3
boats	had	3
day	was	3
decks	were	3
eyes	had	3
hands	are	3
he	been	3
he	calls	3
he	feels	3
he	found	3
he	gives	3
he	left	3
he	stands	3
he	turns	3
heads	were	3
her	hold	3
him	be	3
i	hear	3
i	kept	3
i	make	3
i	seem	3
i	took	3
it	goes	3
it	known	3
it	looks	3
itself	had	3
life	was	3
me	see	3
me	tell	3
one	had	3
queequeg	is	3
sea	was	3
seas	have	3
she	has	3
ship	are	3
stubb	had	3
them	is	3
they	came	3
they	go	3
they	stand	3
times	been	3
water	is	3
we	be	3
we	call	3
we	look	3
we	see	3
whale	have	3
whales	is	3
ye	are	3
ye	go	3
ye	look	3
you	feel	3
you	get	3
you	take	3
you	tell	3
''s	make	2
ahab	cried	2
ahab	said	2
ahab	standing	2
boat	had	2
boats	are	2
boats	gave	2
days	went	2
deck	was	2
eyes	seemed	2
