proper	frequency
ahab	498
whale	351
ye	344
stubb	254
queequeg	247
thou	243
starbuck	194
captain	180
pequod	171
sperm	143
god	143
chapter	120
white	113
flask	102
leviathan	95
nantucket	84
jonah	83
moby	82
dick	81
bildad	77
pip	73
peleg	73
lord	60
tashtego	55
mr.	55
sir	53
heaven	49
new	48
aye	40
right	39
king	38
daggoo	37
cape	37
greenland	35
pacific	34
ere	34
steelkilt	32
sea	27
fedallah	27
parsee	25
indian	25
english	25
i.	24
de	24
ho	23
st.	22
south	22
radney	22
nantucketer	22
lakeman	22
thee	21
whales	20
ishmael	20
gabriel	20
england	19
don	19
dat	19
book	19
sailor	18
perth	18
man	18
horn	18
bedford	18
atlantic	18
yojo	17
swam	17
leeward	17
hussey	17
lo	16
folio	16
town	15
queen	15
ocean	15
elijah	15
boy	15
west	14
london	14
lee	14
dough	14
post	13
nigh	13
east	13
cook	13
bunger	13
mrs.	12
manxman	12
john	12
hast	12
guernsey	12
derick	12
america	12
a.d.	12
tun	11
samuel	11
perseus	11
octavo	11
gay	11
fro	11
fleece	11
coffin	11
canst	11
bible	11
avast	11
yea	10
whaling	10
ramadan	10
quaker	10
negro	10
nantucketers	10
line	10
lima	10
japan	10
grand	10
george	10
fishery	10
fin	10
father	10
carpenter	10
black	10
art	10
spermaceti	9
solomon	9
sebastian	9
seas	9
scoresby	9
quohog	9
porpoise	9
peter	9
pagan	9
mediterranean	9
mapple	9
leviathans	9
jove	9
jeroboam	9
inn	9
hurrah	9
holy	9
hark	9
french	9
first	9
commodore	9
china	9
can''st	9
yon	8
tis	8
temple	8
sleet	8
shark	8
sag	8
pliny	8
noah	8
narwhale	8
mayhew	8
may	8
landlord	8
joppa	8
hell	8
heidelburgh	8
harbor	8
dutch	8
duke	8
d''ye	8
cuvier	8
bulkington	8
august	8
american	8
ambergris	8
africa	8
zealand	7
yarman	7
wilt	7
vishnoo	7
typhoon	7
sunday	7
sub	7
red	7
polar	7
monsieur	7
milky	7
merry	7
macey	7
loose	7
java	7
iii	7
ii	7
huzza	7
hope	7
head	7
great	7
good	7
german	7
frenchman	7
fish	7
enderby	7
e.	7
dey	7
devil	7
dan	7
chase	7
buffalo	7
beale	7
back	7
andes	7
york	6
yonder	6
virgin	6
v.	6
us	6
united	6
tahiti	6
sunda	6
sumatra	6
states	6
spirit	6
ship	6
rose	6
rachel	6
owen	6
old	6
north	6
nineveh	6
mr	6
meets	6
mary	6
leap	6
knowest	6
isle	6
islands	6
island	6
i	6
hereby	6
hercules	6
heavens	6
globe	6
general	6
fates	6
e	6
duodecimo	6
dost	6
ding	6
dam	6
christians	6
cetology	6
cabaco	6
browne	6
brow	6
blubber	6
bachelor	6
arctic	6
americans	6
alabama	6
adam	6
washington	5
vineyard	5
van	5
tranquo	5
tiger	5
thine	5
tash	5
tarshish	5
t.	5
sun	5
straits	5
spitzbergen	5
spain	5
saturday	5
rome	5
ribs	5
pedro	5
next	5
mogul	5
mark	5
manilla	5
louis	5
long	5
linnus	5
life	5
lazarus	5
jungfrau	5
job	5
iv	5
india	5
hunter	5
hosea	5
holland	5
hindoo	5
hill	5
hemp	5
hem	5
harris	5
halloa	5
gulf	5
grey	5
greek	5
france	5
fate	5
europe	5
euroclydon	5
englishman	5
dr.	5
czar	5
cried	5
church	5
christmas	5
christian	5
charity	5
chapel	5
bouton	5
blue	5
belshazzar	5
banks	5
astern	5
asia	5
ark	5
archy	5
anon	5
albatross	5
.	5
''s	5
woe	4
william	4
wigwam	4
whereupon	4
whaler	4
whalemen	4
watch	4
warden	4
voyages	4
voyage	4
virtue	4
virginia	4
turks	4
turk	4
try	4
truth	4
tranque	4
tower	4
thames	4
tartar	4
state	4
spouter	4
spermacetti	4
society	4
sabbath	4
propontis	4
prometheus	4
priest	4
pole	4
peru	4
paul	4
paradise	4
ottoman	4
ob	4
nuee	4
nay	4
nature	4
natur	4
mounttop	4
mountains	4
moss	4
monomaniac	4
martha	4
manx	4
latin	4
langsdorff	4
lad	4
la	4
killer	4
jupiter	4
judge	4
johnson	4
indians	4
iceland	4
high	4
herein	4
headsman	4
header	4
harpooneer	4
ground	4
green	4
goney	4
golden	4
garnery	4
gam	4
frederick	4
fore	4
erskine	4
erie	4
