quadgram	frequency
of the sperm whale	32
at the same time	20
the bottom of the	17
in the act of	12
in the case of	11
as if it were	11
and at the same	10
of the white whale	10
i should like to	10
the great sperm whale	10
on board the pequod	9
for the most part	9
in the first place	9
bottom of the sea	9
on the other side	9
seen the white whale	8
seven hundred and seventy	8
so much the more	8
at the bottom of	8
as a general thing	8
for the purpose of	8
in the heart of	8
by far the most	8
in the middle of	8
in the course of	7
the rest of the	7
the head of the	7
did not seem to	7
the upper part of	7
the end of the	7
the sperm whale is	7
there is no telling	7
in the midst of	7
the top of the	7
the middle of the	7
of the right whale	6
the skin of the	6
out of sight of	6
he seemed to be	6
for the first time	6
and not only that	6
cape of good hope	6
species of the leviathan	6
i do not know	6
in his own proper	6
that is to say	6
not to speak of	6
that the sperm whale	6
in the open air	6
here be it said	6
in the present case	6
was one of the	6
the centre of the	5
as well as the	5
the pequod meets the	5
the other side of	5
the white whale had	5
down into the cabin	5
the greenland or right	5
hast seen the white	5
greenland or right whale	5
should like to know	5
top of his head	5
the sea and the	5
of sight of land	5
one after the other	5
was it not so	5
to speak of the	5
at one and the	5
one to the other	5
at the present day	5
other side of the	5
in the vicinity of	5
as if it had	5
it seems to me	5
so much as a	5
and once more the	5
on each side of	5
that part of the	5
at the time of	5
in the face of	5
were it not for	5
the whale and the	5
out of the water	5
the skeleton of a	5
he must have been	5
from side to side	5
as you may say	5
so as to be	5
the stern of the	5
in the matter of	5
had thus far been	5
you would have thought	5
woe to him who	5
to be found in	5
out of the boat	5
at the base of	5
was by no means	5
one and the same	5
on the coast of	5
the cape of good	5
delight is to him	5
between the whale and	4
the white whale was	4
three hundred and sixty	4
this matter of the	4
in the present instance	4
out of the way	4
it is to be	4
whether it was that	4
the case might be	4
at the head of	4
it may have been	4
and as if the	4
what sort of a	4
with a sort of	4
a day or two	4
who thus far had	4
and with the other	4
as the case might	4
the matter with you	4
the sperm whale fishery	4
so soon as i	4
of one of the	4
be all this as	4
part of the ship	4
mercy on us all	4
gave me to understand	4
you would have seen	4
to the bottom of	4
in the bows of	4
if he did not	4
the sperm whale and	4
but it was not	4
in the sperm whale	4
this as it may	4
two in a bed	4
if it had been	4
round and round the	4
the rest of his	4
upper part of the	4
the straits of sunda	4
started to his feet	4
for all the world	4
in one of the	4
middle of the room	4
on the part of	4
it might have been	4
the summit of the	4
would have almost thought	4
the lower part of	4
all this as it	4
in advance of the	4
was not so much	4
it must have been	4
sleep two in a	4
that i think of	4
on the top of	4
i was going to	4
of the pequod was	4
to sea as a	4
the time of the	4
up into the air	4
every one knows that	4
the sperm whale has	4
from one to the	4
the isles of the	4
of the great sperm	4
the heads of the	4
as if he were	4
the surface of the	4
the seven hundred and	4
it is a thing	4
in a sort of	4
this business of whaling	4
and hoisted on deck	4
of the spare boats	4
it came to pass	4
go to sea as	4
i think of it	4
the entire length of	4
the minds of the	4
if it were a	4
the base of the	4
now that i think	4
what to make of	4
this way and that	4
not a few of	4
into the cabin to	4
for a long time	4
sperm whale and the	4
on the point of	4
have mercy on us	4
such or such a	4
rising to the surface	4
as in the case	4
the case of a	3
up and down in	3
is furnished with a	3
to carry off the	3
from the bottom of	3
when at last the	3
the rare virtue of	3
the bigness of a	3
but this is not	3
you observe that the	3
and the same time	3
of all the known	3
what it is to	3
seems to me that	3
be said to have	3
on one side of	3
i was thinking of	3
supposed to be the	3
isles of the sea	3
what is called the	3
moving his hand as	3
is lord over the	3
in the wake of	3
to go on a	3
to me as a	3
the face of all	3
whole of the law	3
in much the same	3
it was high time	3
of the whale is	3
for a period of	3
much as to say	3
never saw such a	3
one way or other	3
he had not been	3
in the minds of	3
the ends of the	3
me out in it	3
the part of the	3
and all of us	3
would be hard to	3
had it not been	3
to that sort of	3
no more of this	3
of the living god	3
the aspect of the	3
loss of his leg	3
the bones of the	3
and with one hand	3
but at the same	3
is not so much	3
it not been for	3
in this matter of	3
so have i seen	3
it seemed to me	3
all the things that	3
a species of the	3
the morning of the	3
seemed on the point	3
and ever and anon	3
shame upon all cowards	3
should like to see	3
the sight of the	3
one or two other	3
each side of his	3
but it is a	3
jonah and the whale	3
tell you what it	3
so soon as he	3
i thought i would	3
upon the top of	3
this part of the	3
dropped into the sea	3
by the sight of	3
to the business of	3
the business of whaling	3
the eyes of the	3
sacred to the memory	3
and one of the	3
end of the line	3
look at this matter	3
in the way of	3
his hand as with	3
story of jonah and	3
side of the deck	3
not far from the	3
it was only the	3
when the proper time	3
is the reason why	3
so soon as the	3
not so much as	3
it is not so	3
skin of the whale	3
jumped from a whale	3
the boat up to	3
to one of the	3
on top of his	3
thus far had been	3
not a man of	3
all the world like	3
the same way that	3
for the sake of	3
on the other hand	3
the captain of the	3
so as to get	3
the jaws of the	3
high in the air	3
pilot of the living	3
you would have almost	3
to the sperm whale	3
till at last the	3
by the sperm whale	3
will be sure to	3
it may possibly be	3
the whole of the	3
of the pequod had	3
it was only by	3
by the way of	3
the way of the	3
other part of the	3
as if they were	3
in quest of the	3
the greenland whale is	3
of the whale as	3
death and the judgment	3
the jaws of death	3
as a sort of	3
some four or five	3
owners of the pequod	3
entire length of the	3
as much as to	3
but as i was	3
may be said to	3
and there is a	3
it may well be	3
the will of god	3
i could not help	3
of a sperm whale	3
in the pacific ocean	3
with a view to	3
give it to him	3
bodily into the air	3
of the other boats	3
at last came to	3
cried stubb to the	3
for there was no	3
stern of the boat	3
in the bottom of	3
it is the whale	3
chase to moby dick	3
to the memory of	3
but it was only	3
which the right whale	3
the whole of this	3
as soon as possible	3
i do not think	3
round and round in	3
the whale in the	3
as if he had	3
is by far the	3
body of the whale	3
the wake of the	3
of the greenland or	3
is one of the	3
in this business of	3
the whale as a	3
the bows of the	3
were it not that	3
at last succeeded in	3
an inch in thickness	3
in some small degree	3
and so it was	3
to the distance of	3
some time or other	3
skeleton of the whale	3
the precise bearing of	3
the world like a	3
and for a moment	3
do you suppose that	3
on the summit of	3
will be all right	3
what is called a	3
whosoever of ye raises	3
the sound of the	3
for the white whale	3
a good deal more	3
is that of the	3
but it is only	3
to think of it	3
a little behind the	3
a few inches of	3
the word of command	3
of ye raises me	3
the sign of the	3
i have heard of	3
for a moment the	3
bear me out in	3
lower part of the	3
you suppose that that	3
but i do not	3
to call it so	3
hand as with a	3
even at the present	3
if he were a	3
the side of the	3
land and on sea	3
from the circumstance that	3
the front of the	3
the mouth of the	3
you what it is	3
the midst of the	3
of the present day	3
whale and the right	3
so that in the	3
is that of yours	3
corpusants have mercy on	3
in the last chapter	3
the whale has no	3
historical story of jonah	3
the head of a	3
the very heart of	3
the great south sea	3
in which he had	3
that sort of thing	3
the back of the	3
the whale in his	3
business is that of	3
the pequod had been	3
one of the most	3
at times by the	3
on land and on	3
the people of the	3
not seem to be	3
of a whaling voyage	3
brought to bear upon	3
in the same way	3
of jonah and the	3
of a dead whale	3
the whole length of	3
the corpusants have mercy	3
as the sperm whale	3
if it be really	3
roll of the sea	3
stern of the ship	3
but be all this	3
it would be hard	3
captain of the pequod	3
with reference to the	3
and turning to the	3
and the right whale	3
