trigram	frequency
of the whale	91
the sperm whale	89
the white whale	75
one of the	64
of the sea	60
out of the	56
a sort of	53
part of the	53
of the sperm	43
in the sea	32
it was a	31
it is a	30
of the ship	30
for a moment	29
of the boat	29
to the deck	27
the right whale	26
for the time	25
at the same	25
by no means	25
in order to	25
to be the	24
in the air	24
the same time	24
the bottom of	24
so as to	24
on the sea	23
must have been	23
of the pequod	23
in the fishery	22
now and then	22
at the time	22
out of sight	22
into the sea	22
there is no	22
there was a	21
it was the	20
it was not	20
as it were	20
up to the	19
as well as	19
and in the	19
into the air	19
as if it	19
one of those	19
it is not	19
so that the	18
down into the	18
and with a	18
bottom of the	18
in his own	18
of a whale	18
i do not	18
and all the	18
over the side	17
that in the	17
down to the	17
down in the	17
of the white	17
the old man	17
but it was	17
and at the	17
end of the	17
the pequod was	17
all the time	16
round and round	16
to be sure	16
of the world	16
to and fro	16
the head of	16
you would have	16
the act of	15
he seemed to	15
side of the	15
the whale is	15
more and more	15
it was that	15
owing to the	15
of the leviathan	15
on the other	15
some of the	15
of his head	15
it is the	14
he had been	14
the top of	14
that it was	14
not so much	14
as if to	14
so much as	14
there is a	14
in the first	14
to be a	14
of the great	14
to the last	14
there she blows	14
in the same	14
as for the	14
one of them	14
that he was	14
he did not	14
it was only	14
in the world	14
from the ship	13
the sight of	13
seemed to be	13
to the whale	13
up and down	13
a sperm whale	13
to the other	13
with all the	13
he was a	13
is to be	13
for an instant	13
with one hand	13
as it is	13
not at all	13
feet in length	13
the heart of	13
and the whale	13
here and there	13
that the whale	13
of his own	13
in the whale	13
was in the	13
this is the	13
the middle of	12
the case of	12
not to be	12
him in the	12
at any rate	12
three or four	12
the greenland whale	12
one of these	12
to speak of	12
in the act	12
by far the	12
to do with	12
i have heard	12
is but a	12
might have been	12
in the present	12
of the head	12
sight of the	12
the rest of	12
from the whale	12
i could not	12
as in the	12
of the same	12
if it were	12
so soon as	12
and at last	12
of that sort	12
into the cabin	12
by a whale	11
that of the	11
it may be	11
it has been	11
in the water	11
and that the	11
the name of	11
it must be	11
of the other	11
of all this	11
great sperm whale	11
of all the	11
with the same	11
in the pacific	11
as if the	11
the first time	11
of such a	11
and by the	11
in the case	11
two or three	11
of the water	11
seems to me	11
with his own	11
be it said	11
i began to	11
it would be	11
with the other	11
found in the	11
in this matter	11
of the deck	11
and as the	11
parts of the	11
so far as	11
of the crew	11
as he was	11
so that it	11
to the ship	11
by reason of	11
the whale was	11
on one side	11
that sort of	11
that he had	11
i know not	11
the business of	11
up into the	11
what it is	11
i should like	10
it to the	10
seemed to have	10
should like to	10
the present day	10
some of them	10
and so saying	10
down upon the	10
sperm whale is	10
whale and the	10
whale in the	10
in the bows	10
for some time	10
on board the	10
to be seen	10
away from the	10
this is a	10
of moby dick	10
board the pequod	10
off from the	10
in one hand	10
of one of	10
in the very	10
as soon as	10
head of the	10
so much the	10
not a little	10
supposed to be	10
when the ship	10
for the present	10
there was no	10
not seem to	10
with the whale	10
out of it	10
but it is	10
that it is	10
as a general	10
i thought i	10
of the most	10
in the middle	10
was one of	10
and with the	10
were it not	10
the end of	10
in which he	10
in the open	10
with all their	10
the other side	10
it had been	10
the great sperm	10
the point of	10
in the end	10
at the bottom	10
and as for	10
as if he	10
to have been	10
in such a	9
as it may	9
in the hold	9
species of the	9
to go to	9
the purpose of	9
the first place	9
to the sea	9
the face of	9
to his crew	9
and once more	9
to the surface	9
the way of	9
some sort of	9
much the more	9
in this world	9
all of ye	9
much the same	9
in his hammock	9
for the most	9
of the first	9
in an instant	9
but as the	9
length of the	9
what is the	9
attached to the	9
the most part	9
in his hand	9
beneath the surface	9
was to be	9
to his feet	9
every one knows	9
i know that	9
in the matter	9
the other boats	9
on board of	9
and from the	9
stubb and flask	9
top of the	9
of the voyage	9
of the land	9
is a thing	9
i will not	9
that of a	9
upon the whole	9
back to the	9
his ivory leg	9
of the seas	9
all at once	9
at the mast	9
have been a	9
of the two	9
by this time	9
whether it was	9
of the whales	9
from the sea	9
it is that	9
in the deep	9
at last the	9
the matter with	9
at that moment	9
in the morning	9
out of his	9
before the wind	9
and i will	9
it is to	8
is but the	8
business of whaling	8
in the ship	8
standing in the	8
so that when	8
by the lord	8
the coast of	8
him to the	8
which he had	8
of the fishery	8
even in the	8
of the night	8
a pair of	8
should have been	8
of the sun	8
and not only	8
seen the white	8
i think of	8
skin of the	8
up by the	8
of the three	8
the upper part	8
as i was	8
he must have	8
a general thing	8
all over the	8
the boat was	8
fore and aft	8
on account of	8
the midst of	8
in the other	8
by the way	8
of the chase	8
would have thought	8
from the mast	8
far the most	8
to each other	8
over his head	8
for the purpose	8
all the while	8
i told him	8
he would have	8
of the old	8
what is called	8
would have been	8
in the heart	8
he has a	8
in which the	8
of the whole	8
the whale and	8
not only that	8
of the room	8
there in the	8
in his head	8
hundred and seventy	8
in the sperm	8
for a time	8
in the cabin	8
in good time	8
the heads of	8
of this whale	8
all these things	8
the time of	8
among the crew	8
upper part of	8
to which the	8
here be it	8
stand by to	8
the course of	8
and with his	8
is in the	8
in the pequod	8
be said to	8
over the bulwarks	8
by all the	8
he had not	8
in the rigging	8
one of his	8
of the middle	8
according to the	8
seven hundred and	8
and though the	8
to be found	8
of the line	8
for the first	8
think of it	8
the whale in	8
body of the	8
is a very	8
upon the sea	8
of all sorts	8
close to the	8
the same way	8
the chief mate	8
a good deal	8
did not seem	7
be found in	7
in one of	7
the same instant	7
the three mast	7
and the ship	7
i should say	7
the thought of	7
surface of the	7
of this leviathan	7
a long time	7
was a little	7
the bows of	7
round the world	7
do you know	7
sign of the	7
not to speak	7
out to the	7
when he was	7
at the pumps	7
with such a	7
the man who	7
it is by	7
of the earth	7
in the midst	7
between the two	7
of the right	7
up with the	7
i have seen	7
to a whale	7
the front of	7
his own proper	7
had not been	7
the ship had	7
on both sides	7
had been a	7
it will be	7
to the boat	7
rest of the	7
the pequod had	7
and when the	7
to make a	7
nothing but a	7
from the water	7
he would be	7
point of view	7
all manner of	7
all sorts of	7
one side of	7
if he were	7
after the other	7
now that i	7
for it is	7
from the boat	7
of the greenland	7
the jaws of	7
the skin of	7
of the boats	7
skeleton of a	7
do you suppose	7
the whole of	7
of the deep	7
and what is	7
till at last	7
what do you	7
upon the whale	7
through the water	7
queequeg and i	7
seem to be	7
but in the	7
as to be	7
out upon the	7
me in the	7
the open air	7
to the bottom	7
to think of	7
part of him	7
but there is	7
what is it	7
for all his	7
the stricken whale	7
four or five	7
part of his	7
upon the deck	7
of the thing	7
what sort of	7
this was the	7
i take it	7
for the white	7
he must be	7
and the other	7
more than one	7
the skeleton of	7
as in a	7
that of all	7
is no telling	7
in the most	7
as the great	7
in the course	7
in the forecastle	7
in any other	7
up from the	7
if he had	7
once more the	7
do not know	7
it to be	7
you would not	7
go to sea	7
the ship was	7
must be the	7
