unigram	frequency
whale	1106
one	911
now	783
like	646
man	478
sea	453
old	449
ship	439
ahab	436
ye	430
will	388
though	383
yet	345
head	344
time	334
long	334
still	312
captain	308
great	306
two	298
boat	296
must	283
seemed	283
white	281
last	277
way	270
see	269
whales	268
little	249
round	244
three	244
sperm	243
say	241
men	240
may	239
first	235
stubb	233
every	232
well	228
us	228
queequeg	225
much	223
good	216
hand	211
side	210
never	206
ever	205
look	201
deck	196
almost	195
go	194
water	192
even	191
thing	188
away	183
might	183
starbuck	178
made	178
come	177
day	176
chapter	176
sir	175
life	169
among	167
far	166
many	166
seen	165
back	165
fish	164
world	159
line	159
eyes	156
without	156
cried	155
oh	155
sort	152
aye	151
right	150
thought	150
know	149
part	149
night	146
boats	145
air	143
crew	137
whole	137
half	137
take	136
god	136
let	135
tell	135
things	132
whaling	131
mast	130
hands	130
came	130
soon	129
small	128
feet	127
pequod	124
till	123
full	123
something	123
think	121
just	117
called	116
found	115
place	115
nothing	114
towards	114
poor	114
another	113
saw	113
times	113
make	112
heard	110
along	110
high	108
stand	107
body	107
sight	105
sail	103
voyage	103
moment	101
new	100
flask	100
end	100
strange	98
hold	98
sun	98
went	97
shall	96
nantucket	96
get	95
however	95
face	95
dead	93
leviathan	92
oil	91
heart	91
whether	91
black	91
stood	90
also	90
death	89
indeed	89
leg	89
certain	89
perhaps	89
heads	88
going	88
eye	88
whose	87
arm	87
seems	87
iron	87
seas	87
ships	87
true	87
sometimes	87
give	86
matter	86
wild	84
seem	84
cabin	84
hard	83
years	83
standing	82
moby	82
light	81
tail	81
mind	81
dick	81
soul	81
present	80
known	80
always	80
land	80
young	80
ere	79
fire	79
large	79
within	79
harpooneer	78
sailor	78
length	78
lay	78
open	77
enough	76
least	76
ocean	76
days	76
word	76
set	76
beneath	76
harpoon	75
instant	75
bed	75
done	74
bildad	74
board	74
four	74
morning	73
vast	73
put	73
living	73
rather	72
often	72
yes	72
point	72
case	72
jonah	72
near	70
peleg	70
looking	70
deep	70
wind	69
top	69
keep	69
whalemen	69
general	69
name	69
business	68
waters	68
mate	67
pip	67
left	67
therefore	67
turned	66
best	65
work	65
fishery	65
since	65
together	64
reason	64
order	64
lower	64
lord	64
looked	64
fast	63
hear	63
aloft	62
blood	62
mr	62
spout	62
better	62
mouth	61
short	60
live	60
second	59
book	59
fine	59
gone	59
chase	59
turn	58
boy	58
dark	58
watch	58
jaw	58
broad	58
room	57
feel	57
peculiar	56
find	56
home	56
king	56
main	56
close	56
rope	56
next	56
ivory	56
mark	56
call	55
harpooneers	55
bottom	55
goes	55
entire	55
grand	54
tashtego	54
curious	54
ground	54
run	54
green	54
coming	54
try	54
less	53
cut	53
comes	53
turning	53
taking	53
began	53
bone	53
forth	52
slowly	52
forward	52
craft	52
stern	52
speak	52
savage	52
indian	52
sharks	51
taken	51
thousand	51
rest	51
coffin	51
cook	51
nevertheless	50
wide	50
hundred	50
devil	50
broken	50
behind	50
suddenly	50
besides	50
english	49
particular	49
took	49
teeth	49
story	49
common	49
struck	49
bones	49
view	49
voice	48
waves	48
vessel	48
fellow	48
bows	48
pull	48
sailors	48
used	48
lost	48
ten	48
several	47
mighty	47
kept	47
quarter	47
else	46
fact	46
touching	46
sure	46
whatever	46
running	46
blue	46
sleep	46
says	46
chance	46
got	46
heaven	46
told	46
caught	45
lance	45
making	45
door	45
hole	45
mine	45
sat	45
straight	45
form	45
somehow	44
sails	44
queer	44
house	44
nigh	44
noble	44
means	44
especially	44
five	44
bow	44
sharp	43
anything	43
monster	43
rolled	43
knew	43
seamen	43
earth	43
sudden	43
surface	42
stranger	42
mere	42
wondrous	42
coast	42
carpenter	42
passed	42
alone	41
felt	41
brow	41
parts	41
calm	41
sound	41
clear	41
hours	41
quite	41
course	41
hat	40
ready	40
saying	40
cape	40
pipe	40
quick	40
around	40
mortal	40
people	40
gold	40
red	40
hour	40
wake	40
either	40
nature	40
purpose	40
concerning	40
object	39
forecastle	39
single	39
cry	39
mass	39
mates	39
distance	39
oars	39
makes	39
plainly	39
de	39
mean	39
art	39
brought	38
gave	38
plain	38
sailed	38
manner	38
easy	38
leaving	38
creature	38
fixed	38
darted	38
gentlemen	38
others	38
help	38
various	38
power	38
low	38
holding	37
chief	37
seeing	37
steelkilt	37
shot	37
suppose	37
famous	37
ha	37
bulwarks	37
table	37
whaleman	37
human	37
aspect	37
held	37
daggoo	37
cutting	37
arms	37
placed	37
middle	37
heavy	37
greenland	37
lines	37
flukes	37
skin	37
bear	36
legs	36
unknown	36
wood	36
use	36
town	36
wonder	36
fell	36
born	36
strong	36
given	36
natural	36
ago	36
truth	36
sky	36
brain	36
mad	36
boys	36
sign	36
weather	35
killed	35
rose	35
turns	35
forehead	35
helm	35
loose	35
previous	35
rolling	35
thoughts	34
skeleton	34
foot	34
nearly	34
rigging	34
sailing	34
creatures	34
ashore	34
remained	34
spring	34
pacific	34
passage	34
twenty	34
american	34
fin	34
start	34
account	34
none	34
blubber	34
hope	34
island	33
steel	33
kill	33
idea	33
fifty	33
hardly	33
fair	33
company	33
fear	33
hammock	33
want	33
completely	33
forty	33
drawing	33
third	33
bulk	32
free	32
strike	32
stop	32
intervals	32
doubt	32
nose	32
fresh	32
visible	32
aft	32
miles	32
