verb	frequency
is	1684
was	1645
be	1043
had	779
have	768
were	682
are	599
''s	492
been	415
do	412
has	296
said	295
did	284
seemed	283
see	263
say	238
being	209
go	189
made	177
come	174
seen	164
let	158
look	157
know	147
cried	142
take	133
came	130
tell	129
thought	119
think	118
called	116
found	115
saw	110
make	108
heard	105
went	97
does	97
stand	96
get	95
stood	90
am	89
going	88
seems	87
seem	84
give	84
standing	78
done	74
put	73
known	69
keep	67
turned	66
set	66
having	66
looking	65
looked	64
lay	62
hear	61
feel	57
gone	56
find	56
left	54
goes	54
turning	53
comes	53
call	53
began	53
coming	52
taken	51
hold	51
taking	50
took	49
struck	49
speak	49
cut	49
used	47
kept	47
turn	46
got	46
told	45
sat	45
run	45
making	45
lost	44
caught	44
says	43
rolled	43
pull	43
knew	43
whaling	42
passed	42
touching	41
living	41
felt	41
concerning	40
makes	39
sailed	38
sail	38
gave	38
brought	38
suppose	37
running	37
placed	37
leaving	37
held	37
saying	36
given	36
fell	36
born	36
mean	35
fixed	35
seeing	34
remained	34
killed	34
holding	34
darted	34
broken	33
live	31
help	31
bear	31
''ve	31
stop	30
show	30
shot	30
rising	30
considering	30
carried	30
bound	30
strike	29
mind	29
drawing	29
cast	29
want	28
suspended	28
stands	28
pass	28
knows	28
kill	28
die	28
become	28
try	27
tossed	27
started	27
looks	27
leaning	27
hoisted	27
believe	27
ye	26
received	26
read	26
hung	26
giving	26
getting	26
followed	26
flying	26
eyeing	26
dropped	26
drawn	26
according	26
''m	26
thrown	25
takes	25
sleep	25
seated	25
carry	25
owing	24
like	24
hinted	24
grow	24
floating	24
became	24
added	24
speaking	23
rose	23
remain	23
regarded	23
ran	23
gazing	23
following	23
flew	23
cutting	23
consider	23
commanded	23
ai	23
thinking	22
round	22
rolling	22
passing	22
lie	22
formed	22
filled	22
drew	22
descried	22
dashed	22
beat	22
sitting	21
sing	21
sailing	21
repeated	21
remains	21
pulling	21
learned	21
laid	21
invested	21
headed	21
attached	21
answered	21
