adjective	noun	frequency
mine	eye	18
mine	eyes	10
sweet	love	6
dear	love	5
sweet	self	5
own	hand	4
true	love	4
dear	heart	3
doth	beauty	3
better	part	2
black	night	2
doth	thy	2
more	doth	2
more	praise	2
own	love	2
proud	heart	2
sweet	beauty	2
true	minds	2
best	doth	1
black	beauty	1
dead	night	1
dear	time	1
dearest	love	1
doth	love	1
doth	thee	1
fair	doth	1
fair	eyes	1
fair	thou	1
fair	truth	1
false	art	1
false	eyes	1
false	heart	1
gentle	day	1
gentle	heart	1
gentle	love	1
gentle	thou	1
good	thoughts	1
great	mind	1
happier	men	1
mine	thou	1
more	hath	1
more	life	1
new	love	1
old	face	1
old	men	1
old	thing	1
old	time	1
old	world	1
other	mine	1
others	thou	1
own	heart	1
own	praise	1
own	self	1
own	thoughts	1
poor	beauty	1
poor	heart	1
proud	thy	1
strong	hand	1
strong	minds	1
such	art	1
such	day	1
sweet	face	1
sweet	thoughts	1
sweetest	things	1
true	hearts	1
true	mind	1
true	things	1
well	thou	1
