adjective	frequency
sweet	57
true	40
fair	36
more	34
own	32
old	24
new	24
such	23
dear	22
doth	21
best	20
false	19
other	17
poor	16
dead	16
better	16
gentle	15
full	15
proud	14
mine	14
many	12
ill	12
happy	12
good	12
black	12
rich	11
much	11
great	11
lovely	10
bright	10
beauteous	10
strong	9
worst	8
deep	8
cruel	8
worth	7
same	7
sad	7
most	7
kind	7
heavy	7
fresh	7
blind	7
bad	7
alone	7
white	6
thee	6
strange	6
sick	6
precious	6
outward	6
mortal	6
mad	6
gracious	6
fairest	6
eternal	6
dull	6
young	5
worse	5
wide	5
vile	5
swift	5
slow	5
sinful	5
past	5
large	5
green	5
golden	5
first	5
dumb	5
due	5
cold	5
absent	5
worthy	4
weary	4
subject	4
single	4
short	4
second	4
rude	4
red	4
rare	4
public	4
pretty	4
less	4
least	4
holy	4
free	4
former	4
common	4
careful	4
blessed	4
barren	4
asleep	4
antique	4
wretched	3
wise	3
weak	3
vulgar	3
virtuous	3
very	3
unused	3
unkind	3
tired	3
straight	3
sovereign	3
slight	3
simple	3
silent	3
seeming	3
right	3
quick	3
present	3
powerful	3
main	3
long	3
little	3
lest	3
lawful	3
keen	3
hot	3
high	3
heavenly	3
happier	3
greater	3
general	3
fairer	3
dark	3
constant	3
clear	3
brief	3
bloody	3
basest	3
bare	3
youthful	2
yellow	2
wrong	2
worthless	2
wondrous	2
willing	2
wasteful	2
untrue	2
unseen	2
unrespected	2
unperfect	2
tyrannous	2
twain	2
truant	2
torment	2
thy	2
tender	2
sweetest	2
sure	2
sullen	2
stronger	2
sour	2
small	2
sensual	2
sacred	2
rotten	2
restful	2
replete	2
ragged	2
pure	2
prophetic	2
pleasing	2
perpetual	2
perfect	2
pale	2
outlive	2
ornament	2
open	2
obsequious	2
nimble	2
newer	2
mutual	2
mute	2
murderous	2
mightier	2
married	2
maiden	2
lusty	2
loving	2
love-	2
lose	2
lofty	2
lively	2
lascivious	2
lame	2
inward	2
injurious	2
idle	2
hungry	2
humble	2
huge	2
hideous	2
healthful	2
guilty	2
gross	2
glorious	2
glad	2
foul	2
forward	2
forsworn	2
forbear	2
fond	2
fine	2
fierce	2
fickle	2
extreme	2
enough	2
drunk	2
double	2
decrepit	2
deceive	2
deceased	2
dearest	2
contented	2
canst	2
brave	2
bounteous	2
bold	2
bent	2
beloved	2
bastard	2
alive	2
zealous	1
writ	1
wretchcd	1
wrackful	1
woeful	1
wished	1
wiry	1
windy	1
wilful	1
wild	1
where-	1
whatsoever	1
well	1
welcome	1
watery	1
wary	1
warm	1
vouchsafe	1
virgin	1
vilest	1
vial	1
vexed	1
vengeful	1
vanish''d	1
vacant	1
utmost	1
up-	1
untrimm''d	1
unthrifty	1
unthrifts	1
untainted	1
unswept	1
unstained	1
unset	1
unprovident	1
unlettered	1
unknown	1
unjust	1
unfair	1
undivided	1
uncertain	1
unbred	1
ugly	1
twofold	1
truest	1
third	1
thine	1
thievish	1
testy	1
tenth	1
tall	1
sweet-	1
suspect	1
surly	1
surfeit	1
sunken	1
suited	1
successive	1
substantial	1
stout	1
stormy	1
stol''n	1
stern	1
steepy	1
sportive	1
speechless	1
special	1
spacious	1
sourest	1
soundless	1
sorry	1
sometime	1
solemn	1
sole	1
soft	1
sober	1
sluttish	1
sharp	1
shallowest	1
several	1
separable	1
seldom	1
seemly	1
secret	1
scarlet	1
saith	1
sable	1
rough	1
rosy	1
ripe	1
remote	1
religious	1
refined	1
rebel	1
raz''d	1
random	1
rainy	1
quiet	1
quicker	1
purple	1
purest	1
proudest	1
proof	1
prone	1
profound	1
profitless	1
private	1
possesseth	1
politic	1
poison''d	1
pleased	1
pleasant	1
plain	1
pitiful	1
pine	1
petty	1
perjur''d	1
perfumed	1
partial	1
palate	1
painful	1
over-	1
outworn	1
outgoing	1
only	1
older	1
oblivious	1
o''erpress''d	1
novel	1
noted	1
nobler	1
next	1
needy	1
necessary	1
near	1
naked	1
murd''rous	1
mouthed	1
mournful	1
morn	1
modern	1
minded	1
middle	1
makeless	1
low	1
loud	1
longer	1
long-	1
locked	1
live	1
liquid	1
like--	1
light	1
lesser	1
lean	1
last	1
judgement	1
jealous	1
inferior	1
inconstant	1
incapable	1
imperfect	1
immortal	1
imaginary	1
hush	1
honest	1
heinous	1
hearted	1
heart-	1
hast	1
harmful	1
hardest	1
hard	1
grey	1
grecian	1
greatest	1
goodly	1
gazed	1
front	1
frequent	1
frantic-	1
frank	1
fragrant	1
forsaken	1
forlorn	1
forgetful	1
fore-	1
for''t	1
footed	1
foolish	1
flourish	1
fleeting	1
firm	1
fiery	1
few	1
female	1
fell	1
feeble	1
fearful	1
fast	1
farthest	1
farther	1
familiar	1
fading	1
external	1
extant	1
express''d	1
excellent	1
evil	1
evident	1
equal	1
endless	1
elder	1
easy	1
earthly	1
early	1
eager	1
duteous	1
dun	1
divining	1
divine	1
diseas''d	1
disabled	1
dignified	1
different	1
dial-	1
determinate	1
deepest	1
dedicated	1
death-	1
death,--dear	1
dearer	1
curious	1
cunning	1
crooked	1
coward	1
covetous	1
costly	1
corrupt	1
cool	1
contrary	1
continual	1
consecrate	1
conquest	1
conquer''d	1
cloying	1
clearer	1
clean	1
civil	1
churl	1
chief	1
cheap	1
chaste	1
chary	1
certain	1
celestial	1
captive	1
busy	1
buriest	1
broad	1
boundless	1
blunt	1
blest	1
blessed-	1
blam''d	1
bitter	1
big	1
bier	1
bewailed	1
bevel	1
bereft	1
beguile	1
beautiful	1
bareness	1
bankrupt	1
balmy	1
badness	1
backward	1
awake	1
assemble	1
assail''d	1
aright	1
anew	1
amiss	1
allay''d	1
alien	1
after-	1
affable	1
adverse	1
adjunct	1
active	1
accessary	1
acceptable	1
abundant	1
able	1
