keyword	frequency
love	13
thy	9
thou	8
muse	7
time	5
thee	4
heart	3
xxxviii	1
xxxvii	1
xxxix	1
xxxiv	1
xxxiii	1
xxxii	1
xxxi	1
xxx	1
xxviii	1
xxvii	1
xxvi	1
xxv	1
xxix	1
xxii	1
xviii	1
xvii	1
xvi	1
xlviii	1
xlv	1
xliv	1
xliii	1
xiv	1
xiii	1
xii	1
xcviii	1
xcvii	1
xcvi	1
xcv	1
xcix	1
xciv	1
xcii	1
xci	1
woman	1
vile	1
vii	1
siren	1
new	1
music	1
mistress	1
lxxxviii	1
lxxxvi	1
lxxxix	1
lxxxiv	1
lxxxiii	1
lxxxi	1
lxxx	1
lxxvi	1
lxxv	1
lxxiv	1
lxxi	1
lxviii	1
lxvii	1
lxvi	1
lxix	1
lxiii	1
lxii	1
lviii	1
lvii	1
liv	1
liii	1
lii	1
kind	1
fortune	1
fair	1
eye	1
cxxxv	1
cxxxix	1
cxxxiv	1
cxxxii	1
cxxvi	1
cxxv	1
cxxix	1
cxxiv	1
cxx	1
cxviii	1
cxvii	1
cxvi	1
cxv	1
cxlvii	1
cxliii	1
cxl	1
cxiv	1
cxiii	1
cxii	1
cviii	1
cvii	1
cvi	1
cupid	1
cli	1
cix	1
civ	1
beauty	1
art	1
angel	1
