noun	verb	frequency
my	love	48
i	am	28
i	have	25
i	do	17
i	love	13
it	is	13
love	is	12
thou	dost	12
thy	love	12
you	were	8
eye	is	6
i	see	6
i	think	6
i	was	6
they	see	6
you	are	6
i	know	5
your	love	5
doth	lie	4
he	is	4
it	was	4
me	thou	4
thou	be	4
you	did	4
you	have	4
art	thou	3
doth	live	3
eyes	are	3
eyes	have	3
he	live	3
i	say	3
i	seen	3
it	be	3
it	were	3
mine	is	3
self	thou	3
she	is	3
they	are	3
thy	show	3
time	do	3
you	do	3
beauty	being	2
beauty	is	2
days	are	2
doth	give	2
doth	grow	2
face	thou	2
hand	did	2
he	takes	2
heart	are	2
his	love	2
i	be	2
i	been	2
i	bore	2
i	come	2
i	find	2
i	found	2
i	hold	2
i	left	2
i	live	2
i	saw	2
i	took	2
love	''s	2
love	be	2
love	was	2
love	were	2
me	are	2
me	be	2
me	love	2
my	loves	2
self	dost	2
thee	are	2
thee	is	2
thee	thou	2
their	show	2
they	grew	2
they	have	2
they	look	2
thou	being	2
thou	make	2
thou	spend	2
time	come	2
world	is	2
you	live	2
you	look	2
you	made	2
art	gone	1
art	left	1
art	made	1
beauties	do	1
beauty	do	1
beauty	grow	1
beauty	hold	1
beauty	lies	1
beauty	lived	1
beauty	making	1
beauty	show	1
beauty	thou	1
beauty	was	1
beauty	were	1
day	say	1
day	thou	1
days	seen	1
doth	bear	1
doth	come	1
doth	love	1
doth	make	1
doth	say	1
doth	spend	1
doth	take	1
doth	tell	1
eye	be	1
eye	loves	1
eyes	be	1
eyes	give	1
eyes	were	1
hath	found	1
hath	shown	1
hath	taken	1
hath	thought	1
he	''s	1
he	died	1
he	give	1
he	have	1
he	shows	1
he	thinks	1
he	was	1
he	went	1
heart	be	1
heart	did	1
heart	go	1
heart	have	1
heart	is	1
heart	knows	1
heart	let	1
heart	think	1
hearts	had	1
herself	is	1
him	dost	1
him	have	1
him	leave	1
him	seem	1
him	thou	1
his	looks	1
i	are	1
i	did	1
i	had	1
i	leave	1
i	lie	1
i	loved	1
i	make	1
i	tell	1
i	thought	1
i	were	1
it	bore	1
it	do	1
it	finds	1
it	gives	1
it	grows	1
it	had	1
it	lies	1
it	live	1
it	see	1
it	thou	1
itself	sees	1
life	thou	1
love	are	1
love	being	1
love	had	1
love	knows	1
love	looks	1
love	thou	1
loves	are	1
me	give	1
me	is	1
me	was	1
men	are	1
men	make	1
minds	let	1
mine	be	1
mine	was	1
my	looks	1
my	loving	1
night	giving	1
our	love	1
part	was	1
praise	is	1
praises	are	1
praises	be	1
self	am	1
self	were	1
she	gave	1
she	had	1
she	keeps	1
she	knows	1
she	lies	1
she	loves	1
she	saw	1
she	thinks	1
thee	did	1
thee	do	1
thee	going	1
thee	have	1
thee	hold	1
thee	lie	1
thee	living	1
thee	were	1
them	born	1
them	say	1
them	told	1
themselves	be	1
they	be	1
they	did	1
they	do	1
they	had	1
they	know	1
they	live	1
they	looked	1
they	were	1
thou	are	1
thou	leave	1
thou	live	1
thou	take	1
thought	is	1
time	have	1
time	thou	1
we	know	1
we	see	1
world	are	1
you	be	1
you	had	1
you	hold	1
you	is	1
you	know	1
you	living	1
you	make	1
you	see	1
your	being	1
