noun	frequency
love	162
beauty	67
heart	62
thy	59
eyes	59
time	50
doth	48
eye	46
thee	45
art	40
self	38
world	34
day	32
mine	30
thine	29
life	25
truth	23
praise	22
night	22
nothing	21
men	21
hand	21
face	21
summer	20
hath	20
part	19
mind	19
verse	18
thoughts	18
death	18
days	18
age	18
youth	17
sight	17
name	17
friend	17
others	16
state	15
soul	15
things	14
none	14
nature	14
earth	14
worth	13
tongue	13
thought	13
sun	13
shame	13
hours	13
glass	13
thing	12
shalt	12
pride	12
power	12
woe	11
will	11
spirit	11
pleasure	11
fire	11
end	11
words	10
music	10
mistress	10
form	10
deeds	10
way	9
treasure	9
times	9
store	9
show	9
sake	9
loss	9
lines	9
lie	9
hate	9
grace	9
glory	9
delight	9
child	9
winter	8
waste	8
war	8
slave	8
skill	8
sin	8
shadow	8
place	8
pen	8
parts	8
memory	8
light	8
brow	8
body	8
blood	8
woman	7
virtue	7
stars	7
roses	7
pity	7
might	7
man	7
lips	7
joy	7
head	7
hast	7
grief	7
flowers	7
faults	7
disgrace	7
desire	7
breath	7
breast	7
brain	7
year	6
wit	6
wherefore	6
wealth	6
view	6
tears	6
sweets	6
substance	6
strength	6
spring	6
sea	6
rest	6
reason	6
looks	6
honour	6
hell	6
gift	6
fortune	6
fear	6
faith	6
fair	6
decay	6
cheek	6
care	6
brand	6
book	6
birth	6
argument	6
wrong	5
wrinkles	5
water	5
use	5
tomb	5
thence	5
spite	5
sorrow	5
side	5
shape	5
self-	5
scope	5
rose	5
rank	5
rage	5
purpose	5
painting	5
pain	5
motion	5
mother	5
merit	5
manners	5
loves	5
leaves	5
judgment	5
invention	5
image	5
hearts	5
graces	5
flower	5
fault	5
doom	5
date	5
comfort	5
change	5
canker	5
beauties	5
appetite	5
angel	5
air	5
absence	5
worms	4
work	4
wish	4
widow	4
wert	4
weeds	4
tongue-	4
toil	4
thief	4
tender	4
story	4
stone	4
steel	4
song	4
shore	4
shade	4
scythe	4
sail	4
right	4
rhyme	4
respect	4
report	4
praises	4
poet	4
picture	4
painter	4
one	4
offence	4
o	4
numbers	4
moan	4
minutes	4
minds	4
leisure	4
lease	4
lack	4
knife	4
jewel	4
infection	4
husband	4
hour	4
hope	4
help	4
heat	4
fool	4
fears	4
expense	4
errors	4
cure	4
crime	4
conscience	4
clouds	4
cheeks	4
brass	4
boy	4
bosom	4
bath	4
base	4
account	4
abundance	4
wrongs	3
wretch	3
wood	3
women	3
winters	3
windows	3
whence	3
west	3
weed	3
violet	3
tyrant	3
trust	3
triumph	3
tongues	3
thrice	3
thorns	3
tables	3
sum	3
style	3
stay	3
star	3
stand	3
stage	3
son	3
smell	3
sins	3
shadows	3
sense	3
seasons	3
record	3
reasons	3
rain	3
prize	3
princes	3
prime	3
poverty	3
posterity	3
plea	3
plague	3
ornament	3
odour	3
ocean	3
oaths	3
number	3
nought	3
muse	3
morning	3
moon	3
map	3
loving	3
lovers	3
lov''d	3
look	3
living	3
line	3
lies	3
liberty	3
lays	3
knowledge	3
invent	3
ink	3
injury	3
increase	3
heir	3
height	3
heaven	3
growth	3
ground	3
groan	3
grave	3
good	3
frown	3
friends	3
force	3
foot	3
foes	3
flesh	3
flattery	3
flame	3
fingers	3
fever	3
favour	3
father	3
evil	3
eternity	3
effect	3
edge	3
duty	3
despair	3
desert	3
defence	3
defect	3
decease	3
creatures	3
course	3
conceit	3
complexion	3
compare	3
colour	3
clock	3
chest	3
buds	3
bonds	3
birds	3
bed	3
audit	3
all-	3
aid	3
action	3
years	2
wound	2
word	2
womb	2
wits	2
witness	2
wires	2
winds	2
wind	2
wilt	2
wills	2
whereon	2
well-	2
well	2
waves	2
wantonness	2
want	2
walls	2
vows	2
veins	2
vassalage	2
vassal	2
usurer	2
unkindness	2
tyrants	2
twain	2
triumphant	2
trespass	2
travel	2
title	2
tir''d	2
thou	2
tatter''d	2
taste	2
sweetness	2
sweetest	2
survey	2
subjects	2
subject	2
sport	2
spirits	2
speed	2
sound	2
sort	2
sorrows	2
something	2
soil	2
sleep	2
slander	2
silence	2
sightless	2
showers	2
shouldst	2
shine	2
shames	2
sessions	2
servant	2
seeing	2
seat	2
salve	2
robbery	2
riper	2
rime	2
riches	2
repair	2
remembrance	2
remedy	2
reign	2
quill	2
pursuit	2
prove	2
prov''d	2
prey	2
present	2
presence	2
potions	2
possession	2
policy	2
point	2
poets	2
pluck	2
plight	2
play''st	2
pitch	2
pilgrimage	2
physic	2
perfumes	2
perfection	2
pencil	2
peace	2
pay	2
paws	2
patience	2
pace	2
over-	2
orient	2
objects	2
nights	2
niggard	2
neglect	2
needs	2
mourners	2
mourn	2
mountain	2
morrow	2
monuments	2
monument	2
miles	2
meet	2
marriage	2
mark	2
marble	2
mansion	2
maladies	2
majesty	2
lust	2
lover	2
loveliness	2
lords	2
longing	2
lion	2
limbs	2
lily	2
league	2
kings	2
king	2
kindness	2
kind	2
key	2
judgement	2
jewels	2
jacks	2
issue	2
interest	2
injuries	2
influence	2
impression	2
ignorance	2
hymns	2
husbandry	2
humour	2
hue	2
housewife	2
horse	2
home	2
hide	2
health	2
hawks	2
hands	2
guest	2
goodness	2
gold	2
goddess	2
gay	2
garments	2
gain	2
frame	2
frailties	2
food	2
fix''d	2
fight	2
fiend	2
feeling	2
feeding	2
feast	2
fashion	2
fame	2
faces	2
eyelids	2
excuse	2
excellence	2
esteem''d	2
epitaph	2
enemies	2
elements	2
ease	2
ears	2
ear	2
dust	2
dreams	2
dream	2
disdain	2
discontent	2
didst	2
dial	2
deserts	2
deface	2
deaths	2
dateless	2
crow	2
cross	2
creation	2
cover	2
cost	2
control	2
content	2
constancy	2
conquest	2
confound	2
concord	2
compounds	2
commits	2
comments	2
cold	2
cloud	2
chronicle	2
children	2
chide	2
charter	2
character	2
centre	2
cause	2
captain	2
canopy	2
call''d	2
call	2
burthen	2
blot	2
blam''d	2
bitterness	2
benefit	2
behold	2
befriends	2
beast	2
barren	2
bark	2
bail	2
babe	2
autumn	2
arrest	2
antiquity	2
answer	2
amiss	2
amends	2
alters	2
alchemy	2
affords	2
affairs	2
advantage	2
addition	2
actor	2
acquaintance	2
abuse	2
yours	1
yore	1
xxxix	1
xviii	1
xlvi	1
xlix	1
xciv	1
xciii	1
wrought	1
writers	1
writ	1
wrinkle	1
wrack''d	1
wrack	1
wouldst	1
worths	1
worthiness	1
worthier	1
worth--	1
worship	1
worser	1
world-	1
works	1
workings	1
woo''d	1
wonder	1
wombs	1
woes	1
without-	1
wisdom	1
wing	1
win	1
wilfulness	1
wights	1
wife	1
whole	1
white	1
whit	1
while	1
whereupon	1
wh''rwe	1
were''t	1
welfare	1
welcome	1
weight	1
weeks	1
weakness	1
watchman	1
watch	1
wastes	1
warrior	1
warrantise	1
warm''d	1
wards	1
wardrobe	1
ward	1
wanton	1
walks	1
wake	1
wail	1
votary	1
voices	1
voice	1
vision	1
visage	1
victors	1
victories	1
victor	1
vices	1
vice	1
verses	1
vermilion	1
verdict	1
veil	1
variation	1
vantage	1
valley-	1
user	1
urge	1
unworthiness	1
untutor''d	1
unthrift	1
unrest	1
unknown	1
unkind	1
universe	1
unions	1
unear''d	1
tyranny	1
twixt	1
twilight	1
tune	1
truths	1
truth:--	1
true-	1
trouble	1
trophies	1
trimm''d	1
trim	1
trifles	1
trifle	1
tribes	1
trial	1
tresses	1
trenches	1
trees	1
treason	1
treads	1
travell''d	1
travail	1
transgression	1
traffic	1
tract	1
towers	1
