proper	frequency
thou	245
time	27
muse	21
art	19
thy	18
hath	18
heaven	16
love	15
doth	13
thine	12
mayst	12
wilt	10
thee	10
hast	10
dost	7
o''er	6
lov''st	6
self-	5
lo	5
know''st	5
ere	5
canst	5
shouldst	4
shall	4
god	4
fortune	4
beauty	4
april	4
alack	4
to-	3
tis	3
save	3
nature	3
mine	3
hue	3
grow''st	3
didst	3
cupid	3
bear	3
yea	2
ye	2
wouldst	2
whereof	2
whate''er	2
wane	2
vow	2
viewest	2
unlook''d	2
turn''d	2
though	2
siren	2
see''st	2
oppress''d	2
morrow	2
lord	2
kind	2
imprison''d	2
hell	2
hear''st	2
hate	2
hadst	2
gilding	2
gav''st	2
forget''st	2
fair	2
delights	2
cruel	2
blunt	2
belov''d	2
bear''st	2
babe	2
anon	2
am	2
yellow''d	1
xxxviii	1
xxxvii	1
xxxvi	1
xxxv	1
xxxiv	1
xxxiii	1
xxxii	1
xxxi	1
xxx	1
xxviii	1
xxvii	1
xxvi	1
xxv	1
xxix	1
xxiv	1
xxiii	1
xxii	1
xxi	1
xx	1
xvii	1
xvi	1
xv	1
xlviii	1
xlvii	1
xlv	1
xliv	1
xliii	1
xlii	1
xli	1
xl	1
xix	1
xiv	1
xiii	1
xii	1
xi	1
xcviii	1
xcvii	1
xcvi	1
xcv	1
xcix	1
xcii	1
xci	1
xc	1
x.	1
worthy	1
wolf	1
woe	1
withal	1
will''d	1
whom	1
whoe''er	1
whilst	1
whereto	1
whereon	1
were''t	1
well-	1
weary	1
wander''st	1
viii	1
vii	1
vi	1
ve	1
vaunt	1
use	1
unthrifty	1
unmoved	1
truth	1
tiger	1
thou--	1
this,--my	1
then--	1
thee,--	1
th	1
tender	1
tempteth	1
taste	1
tan	1
swift-	1
sweetest	1
sweet	1
suspect	1
suns	1
suffic''d	1
such	1
stirr''d	1
stick''st	1
stealth	1
spend''st	1
souls--	1
so;--	1
since	1
sin	1
show''st	1
shifts	1
shady	1
sense,--	1
send''st	1
season''d	1
savage	1
saucy	1
saturn	1
sap	1
runn''st	1
ruin	1
rud''st	1
robe	1
richer	1
renew''d	1
receiv''st	1
rebuk''d	1
raz''d	1
quest	1
proud-	1
prevent''st	1
present''st	1
potions	1
possesseth	1
points	1
plods	1
phoenix	1
philomel	1
perforce	1
perceiv''d	1
pen,--	1
pen	1
partake	1
owe	1
ow''st	1
oaths	1
o''erworn	1
o''ercharg''d	1
o''er-	1
number''d	1
new-	1
needs	1
need''st	1
ne''er	1
myself	1
muses	1
mortgag''d	1
misplac''d	1
metre	1
methinks	1
merchandiz''d	1
melancholy	1
may	1
mars	1
marjoram	1
march	1
mak''st	1
maiden	1
madmen	1
lxxxviii	1
lxxxvii	1
lxxxvi	1
lxxxv	1
lxxxix	1
lxxxiv	1
lxxxiii	1
lxxxi	1
lxxx	1
lxxviii	1
lxxvii	1
lxxvi	1
lxxv	1
lxxix	1
lxxiv	1
lxxii	1
lxxi	1
lxviii	1
lxvii	1
lxvi	1
lxv	1
lxix	1
lxiv	1
lxiii	1
lxi	1
lx	1
lviii	1
lvii	1
lvi	1
lv	1
love-	1
lour''st	1
live,--such	1
live	1
liv''d	1
liv	1
lilies	1
liii	1
lii	1
lifts	1
lie,--	1
li	1
leese	1
leap	1
l.	1
know	1
kind-	1
kill''d	1
keep''st	1
junes	1
joy	1
iv	1
issueless	1
informer	1
incertainties	1
impeach''d	1
if,--i	1
idolatry	1
i.	1
i	1
hung	1
highmost	1
hide	1
herein	1
herald	1
helen	1
hearsay	1
harsh	1
haply	1
hap	1
grant	1
gor''d	1
goest	1
give	1
gild''st	1
gentlest	1
gaudy	1
gainst	1
forsworn	1
for	1
folly--	1
foison	1
flatterer	1
flatter	1
finding	1
feed''st	1
featur''d	1
farewell	1
famish''d	1
falsehood	1
fadeth	1
eyes--	1
example	1
evermore	1
eve	1
enough	1
enlarg''d	1
enjoy''d	1
engross''d	1
endur''d	1
durst	1
drowns	1
drawn	1
doubting	1
divert	1
distill''d	1
dian	1
devouring	1
desire	1
deserv''st	1
describe	1
depart	1
denote	1
december	1
death	1
deaf	1
damask''d	1
cxxxviii	1
cxxxvi	1
cxxxv	1
cxxxix	1
cxxxiv	1
cxxxii	1
cxxxi	1
cxxx	1
cxxviii	1
cxxvii	1
cxxvi	1
cxxv	1
cxxix	1
cxxiv	1
cxxiii	1
cxxii	1
cxxi	1
cxx	1
cxvii	1
cxvi	1
cxv	1
cxlviii	1
cxlvii	1
cxlvi	1
cxlix	1
cxliv	1
cxliii	1
cxlii	1
cxli	1
cxix	1
cxiv	1
cxiii	1
cxi	1
cx	1
cviii	1
cvii	1
cvi	1
crooked	1
cries	1
couldst	1
convert	1
consum''st	1
consum''d	1
constancy	1
confin''d	1
conceal''d	1
compare	1
compar''d	1
come	1
cliv	1
cliii	1
cli	1
cl	1
cix	1
civ	1
cii	1
ci	1
churl	1
chopp''d	1
chiding	1
chase	1
cancell''d	1
calls	1
call''d	1
c.	1
bud	1
brow	1
break	1
brag	1
bounty	1
bound	1
bosom	1
borne	1
black	1
betwixt	1
betray	1
bestow''st	1
beseem	1
beauteous	1
beated	1
bare	1
askance	1
antique	1
answer	1
annoy	1
angry	1
amazeth	1
afresh	1
advocate,--	1
advis''d	1
advantage	1
adonis	1
adieu	1
addeth	1
