quadgram	frequency
mine eye and heart	4
when i have seen	4
how can i then	3
for i have sworn	3
my love is as	3
me confess that we	2
lovely dost thou make	2
to steal thyself away	2
verse so barren of	2
is it not with	2
thou art as tyrannous	2
black was not counted	2
expense of spirit in	2
an unperfect actor on	2
then do mine eyes	2
shall live your epitaph	2
do you with fortune	2
want subject to invent	2
too dear for my	2
verse in time to	2
so are you to	2
say that thou didst	2
were once unkind befriends	2
i have sworn thee	2
wise as thou art	2
thy image should keep	2
not me to justify	2
thou art too dear	2
unperfect actor on the	2
so am i as	2
or i shall live	2
saw that you did	2
what potions have i	2
your slave what should	2
in the chronicle of	2
winter hath my absence	2
then return in happy	2
lest the world should	2
the expense of spirit	2
sessions of sweet silent	2
as an unperfect actor	2
is made of truth	2
why didst thou promise	2
dear for my possessing	2
how can my muse	2
i love thee not	2
when the gracious light	2
the world should task	2
that she is made	2
wrongs that liberty commits	2
in loving thee thou	2
glass and tell the	2
is not all my	2
me to my bed	2
me i am old	2
do thy worst to	2
like as the waves	2
i do not love	2
thy fault is youth	2
your epitaph to make	2
thy glass will show	2
in favour with their	2
mayst in me behold	2
not be thy defect	2
a decrepit father takes	2
are at a mortal	2
much more doth beauty	2
never say that i	2
you never can be	2
was not counted fair	2
stars do i my	2
infection should he live	2
brand and fell asleep	2
which in thy breast	2
that heart that makes	2
hath my absence been	2
the old age black	2
let not my love	2
faint when i of	2
is in my mind	2
i have seen by	2
my verse so barren	2
cupid laid by his	2
thus did i chide	2
whoever hath her wish	2
i have scanted all	2
not with me as	2
nothing like the sun	2
nor the gilded monuments	2
let those who are	2
show thee how thy	2
power hast thou this	2
when that fell arrest	2
love swears that she	2
no longer mourn for	2
wert not married to	2
hate me when thou	2
thou mayst in me	2
pretty wrongs that liberty	2
me for some fault	2
but that which is	2
the clock that tells	2
my love swears that	2
spirit in a waste	2
my glass shall not	2
thee for my muse	2
made me first your	2
more weak in seeming	2
can i then return	2
so oft have i	2
how oft when thou	2
love is too young	2
what dost thou to	2
who are in favour	2
i of you do	2
to the sessions of	2
not boast that i	2
thou to mine eyes	2
you were once unkind	2
will show thee how	2
housewife runs to catch	2
that ink may character	2
i took my way	2
have power to hurt	2
shall not be thy	2
endeared with all hearts	2
dost thou to mine	2
potions have i drunk	2
better part of me	2
the centre of my	2
confess that we two	2
is thy good report	2
world should task you	2
wherefore with infection should	2
be as i am	2
worst to steal thyself	2
should task you to	2
it that says most	2
my love excuse the	2
eyes are nothing like	2
love is my sin	2
manners holds her still	2
art thou muse that	2
morning have i seen	2
task you to recite	2
a glorious morning have	2
heart are at a	2
the sessions of sweet	2
thy worst to steal	2
if ever that time	2
to know what conscience	2
glass will show thee	2
lord of my love	2
when thou shalt be	2
let me not to	2
supposing thou art true	2
it the proud full	2
year thou mayst in	2
parts of thee that	2
for restful death i	2
old age black was	2
of you do write	2
in thy glass and	2
it is not all	2
i shall live your	2
against my love shall	2
tell the face thou	2
thee how thy beauties	2
before have writ do	2
the dull substance of	2
where art thou muse	2
are nothing like the	2
love and pity doth	2
soul check thee that	2
heart that makes my	2
careful housewife runs to	2
you were your self	2
me not to the	2
you to my thoughts	2
art too dear for	2
thus can my love	2
dear love were but	2
what power hast thou	2
it for fear to	2
didst thou promise such	2
count the clock that	2
thee in such sort	2
that thou hast her	2
to be vile than	2
doth beauty beauteous seem	2
loves i have of	2
love thee with mine	2
that which thou hast	2
was it the proud	2
live your epitaph to	2
since i left you	2
to my thoughts as	2
is it that says	2
to the marriage of	2
better to be vile	2
from the stars do	2
mine eyes best see	2
wherefore do not you	2
that i do change	2
yea take them all	2
his cheek the map	2
map of days outworn	2
thou hast her it	2
or whether doth my	2
sweet and lovely dost	2
not married to my	2
that you were your	2
i was false of	2
that he is thine	2
to justify the wrong	2
forty winters shall besiege	2
love is as a	2
invoked thee for my	2
my muse brings forth	2
our appetite more keen	2
my dear love were	2
those parts of thee	2
the stars do i	2
of sweet silent thought	2
image should keep open	2
are within my brain	2
journey on the way	2
like a winter hath	2
so is it not	2
i been absent in	2
whereof are you made	2
as a fever longing	2
me i bore the	2
believe my verse in	2
and lovely dost thou	2
gentle work did frame	2
we two must be	2
been absent in the	2
eye and heart are	2
thine eyes i love	2
bosom is endeared with	2
a league is took	2
as thou shalt wane	2
i come so near	2
love put in my	2
are in favour with	2
if there be nothing	2
when most i wink	2
possesseth all mine eye	2
why dost thou spend	2
and thy dear virtue	2
my muse want subject	2
sake do you with	2
i bore the canopy	2
swears that she is	2
for my sake do	2
the orient when the	2
not to the marriage	2
some say thy fault	2
favour with their stars	2
a winter hath my	2
thy bosom is endeared	2
thou survive my well	2
is my verse so	2
never can be old	2
which can say more	2
alone did call upon	2
you a mightier way	2
i have gone here	2
shall not persuade me	2
thee how to make	2
who is it that	2
compare thee to a	2
how careful was i	2
dost thou make the	2
oft have i invoked	2
i alone did call	2
never saw that you	2
full sail of his	2
at that which thou	2
do mine eyes best	2
to set me light	2
and heart a league	2
have i invoked thee	2
barren of new pride	2
two must be twain	2
thou make the shame	2
as a decrepit father	2
married to my muse	2
you did painting need	2
eyes hath love put	2
there be nothing new	2
whether doth my mind	2
substance of my flesh	2
persuade me i am	2
the proud full sail	2
when to the sessions	2
thy soul check thee	2
me when thou wilt	2
consider every thing that	2
be vile than vile	2
say that i was	2
thy glass and tell	2
many a glorious morning	2
that i come so	2
my love shall be	2
lines that i before	2
hast her it is	2
is his cheek the	2
as thou art cruel	2
put in my head	2
but wherefore do not	2
when i do count	2
i as the rich	2
thy worth with manners	2
and thou shalt find	2
but the child of	2
too young to know	2
when forty winters shall	2
a waste of shame	2
know what conscience is	2
a careful housewife runs	2
not love thee with	2
eye is in my	2
my flesh were thought	2
say thy fault is	2
pity doth the impression	2
not persuade me i	2
muse in manners holds	2
are you to my	2
is it thy will	2
a fever longing still	2
have sworn thee fair	2
not mine own fears	2
absent in the spring	2
ever that time come	2
have writ do lie	2
faith i do not	2
to me i bore	2
shalt not boast that	2
i grant thou wert	2
with infection should he	2
mine is thy good	2
why is my verse	2
not from the stars	2
that makes my heart	2
from what power hast	2
laid by his brand	2
grant thou wert not	2
that we two must	2
as i am now	2
is as a fever	2
decrepit father takes delight	2
the marriage of true	2
promise such a beauteous	2
not all my grief	2
how like a winter	2
though more weak in	2
orient when the gracious	2
in manners holds her	2
that i have scanted	2
chronicle of wasted time	2
towards the pebbled shore	2
tired with all these	2
say i love thee	2
when i consider every	2
that time of year	2
excuse the slow offence	2
as fast as thou	2
thy dear virtue hate	2
forsake me for some	2
i before have writ	2
let me confess that	2
will believe my verse	2
beshrew that heart that	2
thus is his cheek	2
slave what should i	2
in the old age	2
what is your substance	2
that i before have	2
violet thus did i	2
muse want subject to	2
make towards the pebbled	2
i when i took	2
love possesseth all mine	2
is endeared with all	2
shall i compare thee	2
do not love thee	2
thou promise such a	2
in thy breast doth	2
i faint when i	2
age black was not	2
if thy soul check	2
muse what shall be	2
of his great verse	2
look in thy glass	2
at a mortal war	2
as with that muse	2
have i been absent	2
the painter and hath	2
thou this powerful might	2
your love and pity	2
me to justify the	2
doth the impression fill	2
sail of his great	2
me as with that	2
actor on the stage	2
you have i been	2
in faith i do	2
makes my heart to	2
more doth beauty beauteous	2
how much more doth	2
call not me to	2
is the time that	2
do count the clock	2
is it for fear	2
i invoked thee for	2
forward violet thus did	2
that made me first	2
such a beauteous day	2
cheek the map of	2
those lines that i	2
with manners may i	2
you with fortune chide	2
as a careful housewife	2
if thou survive my	2
shall be thy amends	2
to make our appetite	2
the chronicle of wasted	2
truant muse what shall	2
make our appetite more	2
the child of state	2
from you have i	2
thou didst forsake me	2
shall besiege thy brow	2
from fairest creatures we	2
be wise as thou	2
i do but tend	2
the forward violet thus	2
i consider every thing	2
how sweet and lovely	2
i my judgement pluck	2
do not you a	2
and heart are at	2
the face thou viewest	2
they that have power	2
is too young to	2
that thou didst forsake	2
she is made of	2
have gone here and	2
those pretty wrongs that	2
my sake do you	2
drunk of siren tears	2
i haste me to	2
of comfort and despair	2
with me as with	2
love excuse the slow	2
glorious morning have i	2
be it not said	2
thou muse that thou	2
have of comfort and	2
winters shall besiege thy	2
young to know what	2
that have power to	2
that with gentle work	2
careful was i when	2
shall be as i	2
in the orient when	2
was i when i	2
i love thee in	2
boast that i do	2
call upon thy aid	2
with gentle work did	2
i drunk of siren	2
dull substance of my	2
check thee that i	2
of my sinful earth	2
time of year thou	2
not you a mightier	2
gone here and there	2
disgrace with fortune and	2
what poverty my muse	2
how i faint when	2
being your slave what	2
in a waste of	2
aught to me i	2
of spirit in a	2
when in the chronicle	2
me first your slave	2
that tells the time	2
when i am dead	2
thee with mine eyes	2
proud full sail of	2
longer mourn for me	2
the beauty of thy	2
god lying once asleep	2
not my love be	2
glass shall not persuade	2
then hate me when	2
how thy beauties wear	2
those who are in	2
waves make towards the	2
o truant muse what	2
clock that tells the	2
which thou hast done	2
some glory in their	2
didst forsake me for	2
when my love swears	2
that you were once	2
manners may i sing	2
the map of days	2
my verse in time	2
every thing that grows	2
love were but the	2
should i do but	2
who will believe my	2
haste me to my	2
but do thy worst	2
betwixt mine eye and	2
heavy do i journey	2
thoughts as food to	2
whilst i alone did	2
thou wert not married	2
i think on thee	2
of year thou mayst	2
hast thou this powerful	2
mourn for me when	2
fairest creatures we desire	2
fast as thou shalt	2
what shall be thy	2
but do not so	2
that i was false	2
of my flesh were	2
i compare thee to	2
in disgrace with fortune	2
of thee that the	2
once unkind befriends me	2
the treasure of thy	2
take all my loves	2
thee that i come	2
was false of heart	2
some in their skill	2
own hand did make	2
to whom in vassalage	2
by his brand and	2
what eyes hath love	2
how thy worth with	2
heart a league is	2
thou shalt not boast	2
did call upon thy	2
fear to wet a	2
worth with manners may	2
nor the prophetic soul	2
were but the child	2
when in disgrace with	2
me when i am	2
my heart to groan	2
glory in their birth	2
i do count the	2
so as thou art	2
love thee in such	2
marriage of true minds	2
his brand and fell	2
restful death i cry	2
in time to come	2
what should i do	2
two loves i have	2
how heavy do i	2
return in happy plight	2
do i journey on	2
as food to life	2
it not with me	2
that you did painting	2
creatures we desire increase	2
hath love put in	2
