unigram	frequency
love	216
doth	92
time	78
mine	71
beauty	71
shall	67
will	63
heart	63
eyes	60
art	59
sweet	59
yet	51
now	50
self	48
make	48
eye	46
thine	46
fair	44
still	43
one	42
true	41
like	40
see	36
though	34
world	34
live	32
day	32
dost	32
say	31
let	31
every	31
may	31
praise	28
new	28
well	27
might	27
give	27
since	26
dear	25
old	25
life	25
even	24
show	24
muse	24
best	24
truth	24
look	23
night	22
must	22
made	22
hand	21
face	21
worth	21
death	21
men	20
better	20
alone	20
thought	20
false	20
whose	20
nothing	20
part	20
ill	20
thoughts	19
never	19
away	19
heaven	19
mind	19
summer	19
know	18
days	18
age	18
verse	18
come	18
much	18
friend	17
dead	17
youth	17
tongue	17
therefore	17
sight	17
name	17
find	16
poor	16
tell	16
nature	16
far	16
hate	16
others	16
good	15
think	15
state	15
proud	15
soul	15
gentle	15
many	15
wilt	15
take	15
full	15
earth	14
first	14
till	14
whilst	14
ever	14
shalt	14
things	14
black	14
none	14
lie	14
sun	13
mayst	13
hours	13
hold	13
seen	13
glass	13
use	13
change	13
long	13
shame	13
looks	13
seem	13
two	12
bear	12
rich	12
call	12
pride	12
lies	12
desire	12
thing	12
within	12
prove	12
woe	12
die	12
making	12
happy	12
another	12
power	12
kind	12
beauteous	11
bright	11
fire	11
spirit	11
form	11
write	11
fortune	11
end	11
grace	11
knows	11
loving	11
great	11
pleasure	11
right	10
found	10
loves	10
music	10
pity	10
deeds	10
store	10
lovely	10
sin	10
place	10
cruel	10
tis	10
gone	10
words	10
leave	10
keep	10
pen	10
treasure	9
disgrace	9
fear	9
winter	9
lines	9
view	9
decay	9
without	9
strong	9
save	9
past	9
makes	9
blessed	9
skill	9
although	9
lose	9
times	9
light	9
brow	9
stay	9
back	9
way	9
delight	9
sake	9
loss	9
lives	9
glory	9
lest	9
child	9
body	8
waste	8
parts	8
excuse	8
gives	8
worst	8
ah	8
put	8
deep	8
speak	8
forth	8
slave	8
lips	8
thyself	8
war	8
faults	8
behold	8
born	8
fell	8
bring	8
shadow	8
blood	8
joy	8
set	8
canst	8
three	8
hell	8
virtue	8
memory	8
sing	8
thence	8
leaves	8
grow	8
stand	8
flowers	7
honour	7
white	7
brain	7
heavy	7
longer	7
took	7
ten	7
living	7
fast	7
straight	7
compare	7
less	7
man	7
oft	7
blind	7
head	7
return	7
sad	7
breath	7
fresh	7
hear	7
fears	7
stars	7
bad	7
breast	7
swear	7
cold	7
writ	7
steal	7
wrong	7
painting	7
roses	7
outward	7
tender	7
grief	7
dull	7
foul	7
wide	7
chide	7
near	6
mad	6
rose	6
fairest	6
wealth	6
due	6
seeing	6
read	6
contented	6
eternal	6
spring	6
tears	6
sick	6
brand	6
substance	6
reason	6
gracious	6
year	6
spend	6
tied	6
left	6
strength	6
taught	6
mortal	6
swift	6
argument	6
wish	6
ere	6
slow	6
sea	6
hence	6
says	6
hope	6
strange	6
barren	6
rest	6
whether	6
go	6
cheek	6
shows	6
book	6
holds	6
gift	6
boast	6
birth	6
precious	6
dumb	6
care	6
done	6
dwell	6
saw	6
present	6
spent	6
subject	6
woman	6
wherefore	6
painted	6
need	6
despite	6
unless	6
green	6
sweets	6
wit	6
sometime	6
side	6
faith	6
mistress	6
enough	6
shouldst	6
canker	5
pluck	5
trust	5
weary	5
sinful	5
increase	5
ornament	5
comfort	5
play	5
didst	5
brass	5
count	5
toil	5
rage	5
spite	5
wherein	5
scope	5
seeming	5
grows	5
gainst	5
golden	5
wrinkles	5
manners	5
fault	5
hearts	5
god	5
lo	5
air	5
keeps	5
believe	5
moan	5
kill	5
pain	5
large	5
absence	5
forsworn	5
hue	5
want	5
hide	5
needs	5
shape	5
groan	5
invention	5
worthy	5
base	5
lend	5
mother	5
cure	5
work	5
sorrow	5
doom	5
speaking	5
beauties	5
bosom	5
laid	5
quite	5
grew	5
date	5
graces	5
tomb	5
grant	5
motion	5
calls	5
angel	5
image	5
rank	5
absent	5
vile	5
young	5
appetite	5
flower	5
water	5
buried	5
