verb	frequency
is	186
be	151
do	98
have	85
are	76
make	47
love	38
am	37
see	36
being	34
were	33
was	33
say	33
let	31
did	31
give	25
live	24
dost	23
made	22
thou	20
look	20
know	16
come	16
think	15
tell	15
take	15
show	15
had	15
find	15
seen	13
seem	13
''s	13
hold	12
die	12
write	11
making	11
knows	11
prove	10
keep	10
hath	10
gone	10
found	10
call	10
makes	9
lies	9
leave	9
doth	9
speak	8
put	8
lives	8
hate	8
grow	8
gives	8
change	8
bring	8
born	8
been	8
bear	8
use	7
took	7
thought	7
swear	7
steal	7
sing	7
set	7
lose	7
looks	7
hear	7
fell	7
tied	6
taught	6
stay	6
spent	6
spend	6
says	6
saw	6
return	6
read	6
painted	6
loving	6
left	6
holds	6
having	6
excuse	6
done	6
boast	6
behold	6
writ	5
stand	5
shows	5
save	5
said	5
praise	5
play	5
need	5
loves	5
laid	5
kill	5
keeps	5
grows	5
grew	5
go	5
gave	5
dwell	5
chide	5
buried	5
believe	5
wear	4
turns	4
told	4
thine	4
thee	4
tend	4
takes	4
speaking	4
seek	4
seeing	4
mine	4
lost	4
living	4
lie	4
lend	4
knowing	4
grown	4
grant	4
given	4
gilded	4
forgot	4
forbid	4
desire	4
dare	4
crown''d	4
count	4
contented	4
catch	4
blessed	4
appear	4
add	4
wink	3
win	3
wilt	3
weep	3
wanting	3
want	3
view	3
turn	3
touches	3
thinking	3
thence	3
tells	3
teach	3
taken	3
sworn	3
survive	3
stol''n	3
stands	3
shake	3
remov''d	3
remain	3
pluck	3
please	3
pass	3
mock	3
mend	3
losing	3
looking	3
lived	3
lends	3
leaves	3
kiss	3
kept	3
haste	3
hang	3
growing	3
greet	3
got	3
frame	3
forsake	3
flies	3
fill''d	3
fill	3
fears	3
fear	3
eat	3
draw	3
doing	3
decay	3
cry	3
compare	3
came	3
calls	3
burn	3
brought	3
brings	3
bore	3
blame	3
besiege	3
bears	3
aught	3
approve	3
accuse	3
yield	2
wound	2
works	2
wonder	2
wish	2
winter	2
whereto	2
wet	2
wasted	2
wait	2
unfather''d	2
trust	2
torture	2
tie	2
thy	2
thrive	2
thinks	2
task	2
swears	2
supposing	2
supposed	2
suffer	2
strive	2
strengthen''d	2
stop	2
stealing	2
stain	2
sleep	2
sings	2
shun	2
shown	2
shine	2
shalt	2
serving	2
send	2
seems	2
seeming	2
seem''d	2
scorn	2
scanted	2
runs	2
robs	2
rise	2
ride	2
reserve	2
resembling	2
renew	2
remove	2
remember	2
rehearse	2
recite	2
receives	2
ransom	2
question	2
purging	2
proves	2
promise	2
press	2
prepare	2
praising	2
possessing	2
plead	2
play''d	2
place	2
pitying	2
pine	2
persuade	2
perjur''d	2
pent	2
pebbled	2
pays	2
painting	2
outworn	2
needs	2
mourn	2
mightst	2
methinks	2
means	2
mark	2
lying	2
like	2
learning	2
learn	2
leads	2
lead	2
lay	2
lacked	2
justify	2
journey	2
invoked	2
increase	2
hurt	2
hope	2
hide	2
hid	2
held	2
hast	2
grounded	2
groan	2
griev''d	2
grace	2
goes	2
glance	2
giving	2
gain	2
fortify	2
forsworn	2
forget	2
fled	2
finds	2
feel	2
feeds	2
fall	2
faint	2
express''d	2
express	2
endeared	2
drink	2
drawn	2
doting	2
dispos''d	2
died	2
despised	2
despise	2
desired	2
depends	2
deny	2
created	2
counting	2
counted	2
converted	2
contracted	2
consider	2
confounds	2
confess''d	2
confess	2
coming	2
comes	2
checked	2
check	2
character	2
changing	2
cast	2
built	2
broke	2
breed	2
bred	2
break	2
blushing	2
bide	2
beshrew	2
bending	2
belongs	2
belong	2
belied	2
becoming	2
becomes	2
bearing	2
attending	2
assur''d	2
allow	2
added	2
acquainted	2
abhor	2
wrought	1
written	1
writes	1
wresting	1
wounded	1
work	1
woos	1
wooing	1
woo	1
wondering	1
won	1
witness	1
withering	1
wishing	1
winged	1
wherewith	1
wh''r	1
went	1
weighs	1
weigh	1
weakens	1
watching	1
watch	1
wastes	1
warning	1
waning	1
wandering	1
walks	1
walk	1
waking	1
waiting	1
wailing	1
wail	1
vowing	1
vow''d	1
vow	1
vouchsafe	1
virtue	1
vex''d	1
vex	1
varying	1
vantage	1
vanishing	1
vanished	1
vade	1
uttering	1
ushers	1
usest	1
used	1
urge	1
uphold	1
unused	1
unsway''d	1
unseeing	1
unlearned	1
unfolding	1
unbless	1
twixt	1
twire	1
twice,--in	1
tuned	1
try	1
trulysympathiz''d	1
tripping	1
travels	1
travel	1
transport	1
translated	1
translate	1
transfix	1
transferr''d	1
touch''d	1
touch	1
torn	1
torment	1
tongues--	1
tombed	1
toil''d	1
toil	1
time	1
tickled	1
thrust	1
throw	1
throned	1
threw	1
threescore	1
thralled	1
thank	1
tempting	1
temptation	1
telling	1
teeming	1
taste	1
tanned	1
swerving	1
swearing	1
sway''st	1
sway	1
survey	1
surmount	1
suppressed	1
suppose	1
sunk	1
summon	1
sum	1
sullied	1
suit	1
suggest	1
suffers	1
suffering	1
suffer''d	1
sue	1
succeeding	1
subsist	1
subscribes	1
suborned	1
strumpeted	1
struck	1
striving	1
stretched	1
strained	1
stores	1
store	1
stops	1
stopped	1
stole	1
stell''d	1
steep	1
steals	1
stays	1
statues	1
starved	1
stamp''d	1
stain''d	1
spurring	1
spur	1
spread	1
spot	1
spends	1
spending	1
speed	1
sparkling	1
sounds	1
sought	1
sold	1
snowed	1
smiling	1
smells	1
smell	1
slept	1
sleeping	1
slay	1
slavery	1
slander	1
sland''ring	1
slain	1
skill	1
sits	1
sit	1
sin	1
silvered	1
silence	1
sigh	1
side	1
sicken	1
showing	1
shorn	1
shoot	1
shook	1
shines	1
shifting	1
sheds	1
sharpened	1
share	1
shapes	1
shamed	1
shaken	1
settled	1
sets	1
selling	1
sell	1
seeting	1
sees	1
seeking	1
seals	1
seal''d	1
score	1
saying	1
sav''d	1
sang	1
salving	1
run	1
ruminate--	1
ruining	1
ruinate	1
ruin''d	1
rose	1
root	1
robbing	1
robb''d	1
rising	1
rid	1
reviewest	1
return''d	1
restor''d	1
respose	1
require	1
reproving	1
repose	1
repay	1
repair	1
renewest	1
render	1
removed	1
remembered	1
remains	1
releasing	1
reigns	1
register	1
refigur''d	1
reeleth	1
recur''d	1
recounting	1
reckoning	1
reckon	1
receiving	1
receive	1
reap	1
razed	1
ransoms	1
rais''d	1
quenched	1
qualify	1
puts	1
pursuing	1
purge	1
publish	1
provoke	1
proving	1
provide	1
prov''d	1
prognosticate	1
profan''d	1
proclaims	1
proceed	1
prizing	1
privilage	1
prevent	1
presume	1
preserve	1
presents	1
prefiguring	1
predict	1
pray	1
praised	1
prais''d	1
possess''d	1
poison	1
pointing	1
placed	1
pity	1
pitied	1
pierc''d	1
pied	1
perspective	1
permit	1
perceive	1
peep	1
paying	1
pay	1
pattern	1
passed	1
pass''d	1
part	1
paid	1
pace	1
own	1
owes	1
outlive	1
outbraves	1
open	1
offend	1
o''ertake	1
nurseth	1
nursed	1
nourish''d	1
noted	1
note	1
neglected	1
needing	1
ne''er	1
naming	1
mow	1
moving	1
mourning	1
mounted	1
moan	1
misuse	1
mistaking	1
mistake	1
miss''d	1
mended	1
measured	1
measure	1
meant	1
matter	1
master	1
masked	1
married	1
mar	1
maketh	1
maintain	1
madding	1
loved	1
lov''d	1
looked	1
look''d	1
lock''d	1
loathsome	1
liv''d	1
list	1
lips	1
linger	1
limping	1
level	1
lets	1
leaving	1
learned	1
learn''d	1
leap''d	1
leap	1
lays	1
lasting	1
languish''d	1
lacking	1
lace	1
labouring	1
known	1
knit	1
knew	1
kissing	1
kindling	1
kills	1
jump	1
join	1
issubdu''d	1
is,--	1
invocate	1
inviting	1
invited	1
intermix''d	1
intend	1
insults	1
inflaming	1
indigest	1
increasing	1
impute	1
impregnable	1
import	1
impart	1
impannelled	1
impair	1
immured	1
imitated	1
imitate	1
ill-	1
hunted	1
hung	1
hopes	1
honour	1
hoisted	1
hied	1
hiding	1
hides	1
hidden	1
heats	1
hearing	1
heard	1
heals	1
haveremember''d	1
hateth	1
hated	1
hasten	1
happies	1
hanging	1
hammer''d	1
halt	1
hallow''d	1
hadannex''d	1
gulls	1
guides	1
guess	1
guard	1
grind	1
grieve	1
graven	1
graced	1
governs	1
going	1
gluttoning	1
glazed	1
girded	1
get	1
gazeth	1
gaze	1
gav''st	1
gainst	1
fulfil	1
frown''st	1
fountains	1
foul	1
fortune	1
form	1
forgotten	1
forgoing	1
forgive	1
forged	1
forfeit	1
forced	1
forbidden	1
follows	1
followed	1
follow	1
fold	1
foil''d	1
fly	1
flown	1
flow	1
flatter''d	1
flatter	1
fixed	1
fitted	1
fired	1
finding	1
filching	1
figur''d	1
fight	1
felt	1
feel''st	1
feeding	1
feed	1
fed	1
feasting	1
fawn	1
favourites	1
favour	1
faults	1
farthest	1
faring	1
fangled	1
famoused	1
fame	1
falls	1
fairing	1
fair	1
fading	1
fade	1
ey''d	1
expressing	1
expired	1
expire	1
expiate	1
excusing	1
excel	1
exceeded	1
exceed	1
example	1
evermore	1
esteem	1
erst	1
err	1
ere	1
envy	1
entombed	1
entitled	1
entertain	1
ensconce	1
enlighten	1
enjoys	1
enjoy	1
engrafted	1
engraft	1
enforced	1
enfeebled	1
endure	1
endow''d	1
ending	1
enclose	1
eclipses	1
eating	1
ear	1
dying	1
dulling	1
dull	1
dry	1
drown	1
drop	1
drinks	1
dressing	1
dress''d	1
dress	1
dreaming	1
dreading	1
drain''d	1
doubting	1
double-	1
dote	1
divine	1
divided	1
divide	1
distill''d	1
dissuade	1
dispraise	1
disgrace	1
disdains	1
discloses	1
directed	1
dignifies	1
dig	1
dies	1
devouring	1
devour	1
devise	1
determined	1
detain	1
destroys	1
despising	1
despis''d	1
desperate	1
despair	1
desiring	1
deserves	1
deserve	1
derive	1
denied	1
delves	1
delivers	1
deliver''d	1
delighted	1
delayed	1
defy	1
define	1
defeated	1
deem''d	1
deem	1
declines	1
deceivest	1
deceived	1
debateth	1
debate	1
dart	1
darkening	1
dancing	1
cut	1
curse	1
cures	1
cure	1
cunning	1
crowning	1
crowned	1
crown	1
cross''d	1
cross	1
creep	1
credit	1
creating	1
crawls	1
crave	1
cover	1
corrupting	1
corrupt	1
correct	1
copy	1
controlling	1
control	1
contend	1
contains	1
contain	1
conspire	1
confounding	1
confounded	1
confin''d	1
condemned	1
compounded	1
composed	1
complain	1
compile	1
compil''d	1
committed	1
commits	1
commit	1
comment	1
commend	1
commanded	1
colour''d	1
climb''d	1
clears	1
churls--	1
chose	1
choose	1
cherish	1
cheered	1
character''d	1
changes	1
cease	1
carve	1
carv''d	1
carry	1
canopy	1
buy	1
burning	1
builded	1
buds	1
budding	1
broken	1
breathed	1
breathe	1
brave	1
brass	1
bow	1
boundless	1
bound	1
borrowed	1
borrow''d	1
borne	1
blunting	1
blunter	1
blunt	1
blot	1
blesses	1
bitter	1
bid	1
beweep	1
betwixt	1
bettering	1
better''d	1
betraying	1
betray	1
beterm''d	1
bestow	1
besmear''d	1
bemoaned	1
belov''d	1
believed	1
begins	1
begin	1
bedeceiv''d	1
become	1
beaten	1
battering	1
base	1
bars	1
bar	1
back	1
awards	1
authorizing	1
attend	1
attainted	1
astonished	1
assured	1
assure	1
assail''d	1
asked	1
array	1
arising	1
arise	1
applying	1
appears	1
appearing	1
anticipate	1
answers	1
answered	1
anger	1
altering	1
alter''d	1
alter	1
allege	1
aggravate	1
afford	1
adore	1
admitted	1
admit	1
admiring	1
admired	1
admire	1
adding	1
acquaintance	1
achieve	1
accusing	1
abuse	1
abus''d	1
absenceseem''d	1
abide--	1
abide	1
